key_droid	key_apple	base_value	lang_value	base_comment
flaxseeds	dozeFlaxseeds	Flaxseeds	Ленено семе	
cruciferous_vegetables	dozeVegetablesCruciferous	Cruciferous Vegetables	Кръстоцветни зеленчуци	
nuts	dozeNuts	Nuts and Seeds	Ядки	
whole_grains	dozeWholeGrains	Whole Grains	Пълнозърнести	
vitamin_b12	otherVitaminB12	Vitamin B12	Витамин B12	
beans	dozeBeans	Beans	Бобови	
beverages	dozeBeverages	Beverages	Напитки	
berries	dozeBerries	Berries	Горски плодове	
spices	dozeSpices	Herbs and Spices	Подправки	
other_fruits	dozeFruitsOther	Other Fruits	Други плодове	
other_vegetables	dozeVegetablesOther	Other Vegetables	Други зеленчуци	
exercise	dozeExercise	Exercise	Упражнения	
greens	dozeGreens	Greens	Зеленолистни зеленчуци	
food_info_serving_sizes_other_vegetables[imperial][0]	dozeVegetablesOtherServing[imperial][0]	1 cup raw leafy vegetables	1 чаша сурови листни зеленчуци	  
food_info_serving_sizes_other_vegetables[metric][0]	dozeVegetablesOtherServing[metric][0]	60 g raw leafy vegetables	60 грам сурови листни зеленчуци	  
food_info_serving_sizes_other_vegetables[imperial][1]	dozeVegetablesOtherServing[imperial][1]	½ cup raw or cooked nonleafy vegetables	½ чаша сурови или варени зеленчуци	  
food_info_serving_sizes_other_vegetables[metric][1]	dozeVegetablesOtherServing[metric][1]	50 g raw or cooked nonleafy vegetables	50 грам сурови или варени зеленчуци	  
food_info_serving_sizes_other_vegetables[imperial][2]	dozeVegetablesOtherServing[imperial][2]	½ cup vegetable juice	½ чаша зеленчуков сок	  
food_info_serving_sizes_other_vegetables[metric][2]	dozeVegetablesOtherServing[metric][2]	125 ml vegetable juice	125 мл. зеленчуков сок	  
food_info_serving_sizes_other_vegetables[imperial][3]	dozeVegetablesOtherServing[imperial][3]	¼ cup dried mushrooms	¼ чаша сушени гъби	  
food_info_serving_sizes_other_vegetables[metric][3]	dozeVegetablesOtherServing[metric][3]	7 g dried mushrooms	7 грам сушени гъби	  
food_info_serving_sizes_whole_grains[imperial][0]	dozeWholeGrainsServing[imperial][0]	½ cup hot cereal or cooked grains, pasta, or corn kernels	½ чаша топла зърнена закуска или сварени зърна, паста или царевица	  
food_info_serving_sizes_whole_grains[metric][0]	dozeWholeGrainsServing[metric][0]	100 g hot cereal or cooked grains, pasta, or corn kernels	100 грам топла зърнена закуска или сварени зърна, паста или царевица	  
food_info_serving_sizes_whole_grains[imperial][1]	dozeWholeGrainsServing[imperial][1]	1 cup cold cereal	1 чаша студена зърнена закуска	  
food_info_serving_sizes_whole_grains[metric][1]	dozeWholeGrainsServing[metric][1]	50 g cold cereal	50 грам студена зърнена закуска	  
food_info_serving_sizes_whole_grains[imperial][2]	dozeWholeGrainsServing[imperial][2]	1 tortilla or slice of bread	1 тортила или филия хляб	  
food_info_serving_sizes_whole_grains[metric][2]	dozeWholeGrainsServing[metric][2]	1 tortilla or slice of bread	1 тортила или филия хляб	  
food_info_serving_sizes_whole_grains[imperial][3]	dozeWholeGrainsServing[imperial][3]	½ a bagel or English muffin	½ поничка или английски мъфин	  
food_info_serving_sizes_whole_grains[metric][3]	dozeWholeGrainsServing[metric][3]	½ a bagel or English muffin	½ поничка или английски мъфин	  
food_info_serving_sizes_whole_grains[imperial][4]	dozeWholeGrainsServing[imperial][4]	3 cups popped popcorn	3 чаши пуканки	  
food_info_serving_sizes_whole_grains[metric][4]	dozeWholeGrainsServing[metric][4]	30 g popped popcorn	30 грам пуканки	  
food_info_serving_sizes_flaxseeds[imperial][0]	dozeFlaxseedsServing[imperial][0]	1 tablespoon ground	1 супена лъжица ленено семе	  
food_info_serving_sizes_flaxseeds[metric][0]	dozeFlaxseedsServing[metric][0]	1 tablespoon ground	1 супена лъжица ленено семе	  
food_info_serving_sizes_berries[imperial][0]	dozeBerriesServing[imperial][0]	½ cup fresh or frozen	½ чаша пресни или замразени боровинки	  
food_info_serving_sizes_berries[metric][0]	dozeBerriesServing[metric][0]	60 g fresh or frozen	60 грам пресни или замразени боровинки	  
food_info_serving_sizes_berries[imperial][1]	dozeBerriesServing[imperial][1]	¼ cup dried	¼ чаша изсушени боровинки	  
food_info_serving_sizes_berries[metric][1]	dozeBerriesServing[metric][1]	40 g dried	40 грам изсушени боровинки	  
food_info_serving_sizes_beans[imperial][0]	dozeBeansServing[imperial][0]	¼ cup of hummus or bean dip	¼ чаша хумус или бобова разядка	  
food_info_serving_sizes_beans[metric][0]	dozeBeansServing[metric][0]	60 g of hummus or bean dip	60 грам хумус или бобова разядка	  
food_info_serving_sizes_beans[imperial][1]	dozeBeansServing[imperial][1]	½ cup cooked beans, split peas, lentils, tofu, or tempeh	½ чаша сварен боб, грах, леща, тофу или темпе	  
food_info_serving_sizes_beans[metric][1]	dozeBeansServing[metric][1]	130 g cooked beans, split peas, lentils, tofu, or tempeh	130 грам сварен боб, грах, леща, тофу или темпе	  
food_info_serving_sizes_beans[imperial][2]	dozeBeansServing[imperial][2]	1 cup of fresh peas or sprouted lentils	1 чаша пресен грах или покълнала леща	  
food_info_serving_sizes_beans[metric][2]	dozeBeansServing[metric][2]	150 g of fresh peas or sprouted lentils	150 грам пресен грах или покълнала леща	  
food_info_serving_sizes_exercise[imperial][0]	dozeExerciseServing[imperial][0]	90 minutes of moderate-intensity activity	90 минути умерена интензивност на физическа дейност	  
food_info_serving_sizes_exercise[metric][0]	dozeExerciseServing[metric][0]	90 minutes of moderate-intensity activity	90 минути умерена интензивност на физическа дейност	  
food_info_serving_sizes_exercise[imperial][1]	dozeExerciseServing[imperial][1]	40 minutes of vigorous-intensity activity	40 минути енергично интензивност дейност	  
food_info_serving_sizes_exercise[metric][1]	dozeExerciseServing[metric][1]	40 minutes of vigorous-intensity activity	40 минути енергично интензивност дейност	  
food_info_serving_sizes_beverages[imperial][0]	dozeBeveragesServing[imperial][0]	One glass (12 ounces)	Една чаша (12 унции)	  
food_info_serving_sizes_beverages[metric][0]	dozeBeveragesServing[metric][0]	One glass (350 ml)	Една чаша (350 мл.)	  
food_info_serving_sizes_spices[imperial][0]	dozeSpicesServing[imperial][0]	¼ teaspoon of turmeric	¼ чаена лъжичка куркума	  
food_info_serving_sizes_spices[metric][0]	dozeSpicesServing[metric][0]	¼ teaspoon of turmeric	¼ чаена лъжичка куркума	  
food_info_serving_sizes_spices[imperial][1]	dozeSpicesServing[imperial][1]	Any other (salt-free) herbs and spices you enjoy	Всякакви други безсолни билки и подправки, които обичате	  
food_info_serving_sizes_spices[metric][1]	dozeSpicesServing[metric][1]	Any other (salt-free) herbs and spices you enjoy	Всякакви други безсолни билки и подправки, които обичате	  
