key_droid	key_apple	base_value	lang_value	base_note	lang_note
	CFBundleDisplayName	DailyDozen	DailyDozen	User-visible application name. Visible under icon. Used by Siri.	
	CFBundleName	DailyDozen	DailyDozen	User-visible application short name (15 Characters max)	
back_to_today	dateBackButtonTitle	Back to today	Върнете се към днешната дата	Date Button Title: ‘Back to today’	
	dateButtonTitle.today	Today	Днес	Date Button Title: ‘Today’	
serving_sizes	doze_detail_section_sizes	Serving Sizes (Suggested)	Размери на порции (препоръчани)	Doze Detail View subheading: ‘Serving Sizes’	
types	doze_detail_section_types	Types	Видове	Doze Detail View subheading: ‘Types’	
servings	doze_entry_header	Servings	Порция	Doze Entry View heading: ‘Servings’	
beans	dozeBeans.heading	Beans	Бобови	heading for daily data entry item	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup hummus or bean dip	¼ чаша хумус или боб		
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, or lentils	½ чаша сварен боб, грах или леща		
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	½ cup tofu or tempeh	½ чаша тофу или темпе		
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or snow peas	1 чаша пресен грах или снежен грах		
food_info_serving_sizes_beans_imperial.4	dozeBeans.Serving.imperial.4	1 cup fresh sprouted beans (lentils, mung beans)	1 чаша пресен покълнал боб (леща, боб мунг)		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g hummus or bean dip	60 г хумус или дип от боб		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	90 g cooked beans, split peas, or lentils	90 г варен боб, грах или леща		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	100 g tofu or tempeh	100 г тофу или темпе		
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	130 g fresh peas or snow peas	130 г пресен грах или снежен грах		
food_info_serving_sizes_beans_metric.4	dozeBeans.Serving.metric.4	100 g fresh sprouted beans (lentils, mung beans)	100 г пресен покълнал боб (леща, боб мунг)		
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	Черен боб		
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas	Папуда		
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans	Жълт боб		
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans	Бял боб		
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans	Нахут		
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame	Едамаме		
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas	Английски грах		
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans	Едър боб		
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans	Бъбрековиден боб		
food_info_types_beans.9	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)	Леща (белуга, френска и червени сортове)		
food_info_types_beans.10	dozeBeans.Variety.Text.10	Miso	Мисо		
food_info_types_beans.11	dozeBeans.Variety.Text.11	Navy beans	Дребен боб		
food_info_types_beans.12	dozeBeans.Variety.Text.12	Pinto beans	Боб Пинто		
food_info_types_beans.13	dozeBeans.Variety.Text.13	Small red beans	Дребен червен боб		
food_info_types_beans.14	dozeBeans.Variety.Text.14	Split peas (yellow or green)	Белен грах (жълт или зелен)		
food_info_types_beans.15	dozeBeans.Variety.Text.15	Tempeh	Темпе		
berries	dozeBerries.heading	Berries	Горски плодове	heading for daily data entry item	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup fresh or frozen	½ чаша пресни или замразени боровинки		
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup dried	¼ чаша изсушени боровинки		
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	60 g fresh or frozen	60 грам пресни или замразени боровинки		
food_info_serving_sizes_berries_metric.1	dozeBerries.Serving.metric.1	40 g dried	40 грам изсушени боровинки		
food_info_types_berries.0	dozeBerries.Variety.Text.0	Acai berries	Акаи плодове		
food_info_types_berries.1	dozeBerries.Variety.Text.1	Barberries	Кисел трън		
food_info_types_berries.2	dozeBerries.Variety.Text.2	Blackberries	Къпини		
food_info_types_berries.3	dozeBerries.Variety.Text.3	Blueberries	Боровинки		
food_info_types_berries.4	dozeBerries.Variety.Text.4	Cherries (sweet or tart)	Череши (сладки или кисели)		
food_info_types_berries.5	dozeBerries.Variety.Text.5	Concord grapes	Американски грозде („Конкорд“)		
food_info_types_berries.6	dozeBerries.Variety.Text.6	Cranberries	Червени боровинки		
food_info_types_berries.7	dozeBerries.Variety.Text.7	Goji berries	Годжи Бери		
food_info_types_berries.8	dozeBerries.Variety.Text.8	Kumquats	Кумкуат		
food_info_types_berries.9	dozeBerries.Variety.Text.9	Mulberries	Черници		
food_info_types_berries.10	dozeBerries.Variety.Text.10	Raspberries (black or red)	Малини (черни или червени)		
food_info_types_berries.11	dozeBerries.Variety.Text.11	Strawberries	Ягоди		
beverages	dozeBeverages.heading	Beverages	Напитки	heading for daily data entry item	
food_info_serving_sizes_beverages_imperial.0	dozeBeverages.Serving.imperial.0	One glass (12 ounces)	Една чаша (12 унции)		
food_info_serving_sizes_beverages_metric.0	dozeBeverages.Serving.metric.0	One glass (350 ml)	Една чаша (350 мл.)		
food_info_types_beverages.0	dozeBeverages.Variety.Text.0	Black tea	Черен чай		
food_info_types_beverages.1	dozeBeverages.Variety.Text.1	Chai tea	Чаи чай		
food_info_types_beverages.2	dozeBeverages.Variety.Text.2	Vanilla chamomile tea	Ванилово-лайков чай		
food_info_types_beverages.3	dozeBeverages.Variety.Text.3	Coffee	Кафе		
food_info_types_beverages.4	dozeBeverages.Variety.Text.4	Earl grey tea	„Ърл Грей“ чай		
food_info_types_beverages.5	dozeBeverages.Variety.Text.5	Green tea	Зелен чай		
food_info_types_beverages.6	dozeBeverages.Variety.Text.6	Hibiscus tea	Чай от хибискус		
food_info_types_beverages.7	dozeBeverages.Variety.Text.7	Hot chocolate	Горещ шоколад		
food_info_types_beverages.8	dozeBeverages.Variety.Text.8	Jasmine tea	Жасминов чай		
food_info_types_beverages.9	dozeBeverages.Variety.Text.9	Lemon balm tea	Чай от маточина		
food_info_types_beverages.10	dozeBeverages.Variety.Text.10	Matcha tea	Матча чай		
food_info_types_beverages.11	dozeBeverages.Variety.Text.11	Almond blossom oolong tea	Чай „цъфнали бадеми оолонг“		
food_info_types_beverages.12	dozeBeverages.Variety.Text.12	Peppermint tea	Чай от мента		
food_info_types_beverages.13	dozeBeverages.Variety.Text.13	Rooibos tea	Ройбос чай		
food_info_types_beverages.14	dozeBeverages.Variety.Text.14	Water	Вода		
food_info_types_beverages.15	dozeBeverages.Variety.Text.15	White tea	Бял чай		
exercise	dozeExercise.heading	Exercise	Упражнения	heading for daily data entry item	
food_info_serving_sizes_exercise_imperial.0	dozeExercise.Serving.imperial.0	90 minutes of moderate-intensity activity	90 минути умерена интензивност на физическа дейност		
food_info_serving_sizes_exercise_imperial.1	dozeExercise.Serving.imperial.1	40 minutes of vigorous-intensity activity	40 минути енергично интензивност дейност		
food_info_serving_sizes_exercise_metric.0	dozeExercise.Serving.metric.0	90 minutes of moderate-intensity activity	90 минути умерена интензивност на физическа дейност		
food_info_serving_sizes_exercise_metric.1	dozeExercise.Serving.metric.1	40 minutes of vigorous-intensity activity	40 минути енергично интензивност дейност		
food_info_types_exercise.0	dozeExercise.Variety.Text.0	Bicycling	Колоездене		
food_info_types_exercise.1	dozeExercise.Variety.Text.1	Canoeing	Гребане		
food_info_types_exercise.2	dozeExercise.Variety.Text.2	Dancing	Танцуване		
food_info_types_exercise.3	dozeExercise.Variety.Text.3	Dodgeball	Народна топка		
food_info_types_exercise.4	dozeExercise.Variety.Text.4	Downhill skiing	Спускане ски		
food_info_types_exercise.5	dozeExercise.Variety.Text.5	Fencing	Фехтовка		
food_info_types_exercise.6	dozeExercise.Variety.Text.6	Hiking	Туризъм		
food_info_types_exercise.7	dozeExercise.Variety.Text.7	Housework	Домакинска работа		
food_info_types_exercise.8	dozeExercise.Variety.Text.8	Ice-skating	Фигурно пързаляне		
food_info_types_exercise.9	dozeExercise.Variety.Text.9	Inline skating	Каране на ролери		
food_info_types_exercise.10	dozeExercise.Variety.Text.10	Juggling	Жонглиране		
