language	done	key_droid	key_apple	base_value	lang_value	base_note	lang_note
Bulgarian_bg	yes	food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	⅓ cup tofu or tempeh	⅓ чаша тофу или темпе		
Bulgarian_bg	yes	food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or sprouted lentils	1 чаша пресен грах или кълнове от леща		
Bulgarian_bg	yes	food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	70 g hummus or bean dip	70 г хумус или дип от боб		
Bulgarian_bg	yes	food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	100 g cooked beans, split peas, or lentils	100 г варен боб, натрошен грах или леща		
Bulgarian_bg	yes	food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	80 g tofu or tempeh	80 г тофу или темпе		
Bulgarian_bg	yes	food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	100 g fresh peas or sprouted lentils	100 г пресен грах или кълнове от леща		
Bulgarian_bg	yes	food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	70 g fresh or frozen	70 г пресни или замразени		
Bulgarian_bg	yes	food_info_serving_sizes_other_fruits_metric.1	dozeFruitsOther.Serving.metric.1	150 g cut-up fruit	150 г нарязани плодове		
Bulgarian_bg	yes	food_info_serving_sizes_cruciferous_vegetables_imperial.0	dozeVegetablesCruciferous.Serving.imperial.0	½ cup cooked leafy vegetables	½ чаша готвени листни зеленчуци		
Bulgarian_bg	yes	food_info_serving_sizes_cruciferous_vegetables_imperial.1	dozeVegetablesCruciferous.Serving.imperial.1	½ cup raw or cooked non-leafy vegetables	½ чаша сурови или готвени нелистни зеленчуци		
Bulgarian_bg	yes	food_info_serving_sizes_cruciferous_vegetables_imperial.2	dozeVegetablesCruciferous.Serving.imperial.2	1 cup raw leafy vegetables	1 чаша сурови листни зеленчуци		
Bulgarian_bg	yes	food_info_serving_sizes_cruciferous_vegetables_imperial.3	dozeVegetablesCruciferous.Serving.imperial.3	¼ cup broccoli sprouts	¼ чаша кълнове от броколи		
Bulgarian_bg	yes	food_info_serving_sizes_cruciferous_vegetables_metric.0	dozeVegetablesCruciferous.Serving.metric.0	90 g cooked leafy vegetables	90 г готвени листни зеленчуци		
Bulgarian_bg	yes	food_info_serving_sizes_cruciferous_vegetables_metric.1	dozeVegetablesCruciferous.Serving.metric.1	60 g raw or cooked non-leafy vegetables	60 г сурови или готвени нелистни зеленчуци		
Bulgarian_bg	yes	food_info_serving_sizes_cruciferous_vegetables_metric.2	dozeVegetablesCruciferous.Serving.metric.2	90 g raw leafy vegetables	60 г сурови листни зеленчуци		
Bulgarian_bg	yes	food_info_serving_sizes_cruciferous_vegetables_metric.3	dozeVegetablesCruciferous.Serving.metric.3	20 g broccoli sprouts	20 г кълнове от броколи		
Bulgarian_bg	yes	food_info_serving_sizes_other_vegetables_metric.1	dozeVegetablesOther.Serving.metric.1	90 g raw or cooked nonleafy vegetables	90 г сурови или готвени нелистни зеленчуци		
Bulgarian_bg	yes	food_info_serving_sizes_other_vegetables_metric.2	dozeVegetablesOther.Serving.metric.2	120 ml vegetable juice	120 мл. зеленчуков сок		
Bulgarian_bg	yes	food_info_serving_sizes_other_vegetables_metric.3	dozeVegetablesOther.Serving.metric.3	10 g dried mushrooms	10 г сушени гъби		
Bulgarian_bg	yes	food_info_types_other_vegetables.7	dozeVegetablesOther.Variety.Text.7	Mushrooms (button, oyster, porcini, portobello, and shiitake)	Гъби (печурки, стридени, кладници, портобело и шийтаке)		
Bulgarian_bg	yes	food_info_serving_sizes_whole_grains_imperial.0	dozeWholeGrains.Serving.imperial.0	½ cup cooked whole-wheat, whole-wheat pasta, or corn kernels	½ чаша готвена пълнозърнестa паста или царевично зърно		
Bulgarian_bg	yes	food_info_serving_sizes_whole_grains_imperial.1	dozeWholeGrains.Serving.imperial.1	1 cup 100% whole grain cold cereal	1 чаша 100% пълнозърнеста студена зърнена закуска		
Bulgarian_bg	yes	food_info_serving_sizes_whole_grains_imperial.2	dozeWholeGrains.Serving.imperial.2	1 100% whole grain tortilla (or 2 smaller corn tortillas)	1 100% пълнозърнеста тортила (или 2 по-малки царевични тортили)		
Bulgarian_bg	yes	food_info_serving_sizes_whole_grains_imperial.3	dozeWholeGrains.Serving.imperial.3	1 slice of 100% whole grain bread	1 филия 100% пълнозърнест хляб		
Bulgarian_bg	yes	food_info_serving_sizes_whole_grains_metric.0	dozeWholeGrains.Serving.metric.0	100 g cooked whole grains, whole-wheat pasta, or corn kernels	100 г готвена пълнозърнеста паста или царевично зърно		
Bulgarian_bg	yes	food_info_serving_sizes_whole_grains_metric.1	dozeWholeGrains.Serving.metric.1	50 g 100% whole grain cold cereal	50 г 100% пълнозърнеста студена зърнена закуска		
Bulgarian_bg	yes	food_info_serving_sizes_whole_grains_metric.2	dozeWholeGrains.Serving.metric.2	1 100% whole grain tortilla (or 2 smaller corn tortillas)	1 100% пълнозърнеста тортила (или 2 по-малки царевични тортили)		
Bulgarian_bg	yes	food_info_serving_sizes_whole_grains_metric.3	dozeWholeGrains.Serving.metric.3	1 slice of 100% whole grain bread	1 филия 100% пълнозърнест хляб		
