key_droid	key_apple	base_value	lang_value	base_comment
beans	dozeBeans	Beans	Llegums	
vitamin_b12	otherVitaminB12	Vitamin B12	Vitamina B12	
whole_grains	dozeWholeGrains	Whole Grains	Grans Integrals	
other_fruits	dozeFruitsOther	Other Fruits	Altres Fruites	
nuts	dozeNuts	Nuts and Seeds	Fruita seca i llavors	
cruciferous_vegetables	dozeVegetablesCruciferous	Cruciferous Vegetables	Verdures Crucíferes	
spices	dozeSpices	Herbs and Spices	Espècies i herbes aromàtiques	
beverages	dozeBeverages	Beverages	Begudes	
flaxseeds	dozeFlaxseeds	Flaxseeds	Llavors de lli	
berries	dozeBerries	Berries	Baies	
greens	dozeGreens	Greens	Verdures de Fulla Verda	
other_vegetables	dozeVegetablesOther	Other Vegetables	Altres Verdures	
exercise	dozeExercise	Exercise	Exercici	
food_info_serving_sizes_spices[imperial][0]	dozeSpicesServing[imperial][0]	¼ teaspoon of turmeric	¼ culleradeta de cúrcuma	  
food_info_serving_sizes_spices[metric][0]	dozeSpicesServing[metric][0]	¼ teaspoon of turmeric	¼ culleradeta de cúrcuma	  
food_info_serving_sizes_spices[imperial][1]	dozeSpicesServing[imperial][1]	Any other (salt-free) herbs and spices you enjoy	Qualsevol altra espècie i herba aromàtica (sense sal)	  
food_info_serving_sizes_spices[metric][1]	dozeSpicesServing[metric][1]	Any other (salt-free) herbs and spices you enjoy	Qualsevol altra espècie i herba aromàtica (sense sal)	  
food_info_serving_sizes_flaxseeds[imperial][0]	dozeFlaxseedsServing[imperial][0]	1 tablespoon ground	1 cullerada de lli molt	  
food_info_serving_sizes_flaxseeds[metric][0]	dozeFlaxseedsServing[metric][0]	1 tablespoon ground	1 cullerada de lli molt	  
food_info_serving_sizes_whole_grains[imperial][0]	dozeWholeGrainsServing[imperial][0]	½ cup hot cereal or cooked grains, pasta, or corn kernels	½ tassa farinetes o grans cuits, pasta o panís	  
food_info_serving_sizes_whole_grains[metric][0]	dozeWholeGrainsServing[metric][0]	100 g hot cereal or cooked grains, pasta, or corn kernels	100 g farinetes o grans cuits, pasta o panís	  
food_info_serving_sizes_whole_grains[imperial][1]	dozeWholeGrainsServing[imperial][1]	1 cup cold cereal	1 tassa flocs de cereals	  
food_info_serving_sizes_whole_grains[metric][1]	dozeWholeGrainsServing[metric][1]	50 g cold cereal	50 g flocs de cereals	  
food_info_serving_sizes_whole_grains[imperial][2]	dozeWholeGrainsServing[imperial][2]	1 tortilla or slice of bread	1 llesca de pa o tortilla	  
food_info_serving_sizes_whole_grains[metric][2]	dozeWholeGrainsServing[metric][2]	1 tortilla or slice of bread	1 llesca de pa o tortilla	  
food_info_serving_sizes_whole_grains[imperial][3]	dozeWholeGrainsServing[imperial][3]	½ a bagel or English muffin	½ panet	  
food_info_serving_sizes_whole_grains[metric][3]	dozeWholeGrainsServing[metric][3]	½ a bagel or English muffin	½ panet	  
food_info_serving_sizes_whole_grains[imperial][4]	dozeWholeGrainsServing[imperial][4]	3 cups popped popcorn	3 tasses de crispetes	  
