key_droid	key_apple	base_value	lang_value	base_note	lang_note
	CFBundleDisplayName	DailyDozen	Dotzena Diària	User-visible application name. Visible under icon. Used by Siri.	
	CFBundleName	DailyDozen	Dotzena Diària	User-visible application short name (15 Characters max)	
	NSHealthShareUsageDescription	The 21 Tweaks feature accesses your HealthKit data to provide updates to your daily weight measurements.	L'eina dels 21 Potenciadors accedeix a la informació del teu HealthKit per aportar actualitzacions al control diari del teu pes.	Privacy - Health Share Usage Description	
	NSHealthUpdateUsageDescription	The 21 Tweaks feature can write weight data to HealthKit to help you keep track of your progress.	L'eina dels 21 Portenciadors pot introduir dades de pes a HealthKit per ajudar-te a fer un seguiment del teu progrés.	Privacy - Health Update Usage Description	
back_to_today	dateBackButtonTitle	Back to today	Tornar a avui	Date Button Title: ‘Back to today’	
	dateButtonTitle.today	Today	Avui	Date Button Title: ‘Today’	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup of hummus or bean dip	¼ tassa d'hummus o untable de llegums		
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, lentils, tofu, or tempeh	½ tassa de llegums cuits, mongetes seques, llenties, tofu o tempeh		
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	1 cup of fresh peas or sprouted lentils	1 tassa de pèsols frescos o germinats de llenties		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g of hummus or bean dip	60 g d'hummus o untable de llegums		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	130 g cooked beans, split peas, lentils, tofu, or tempeh	130 g de llegums cuits, mongetes seques, llenties, tofu o tempeh		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	150 g of fresh peas or sprouted lentils	150 g de pèsols frescos o germinats de llenties		
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	Mongetes negres		
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas	Mongetes de l'ull negre		
food_info_types_beans.10	dozeBeans.Variety.Text.10	Miso	Miso		
food_info_types_beans.11	dozeBeans.Variety.Text.11	Navy beans	Mongetes		
food_info_types_beans.12	dozeBeans.Variety.Text.12	Pinto beans	Mongetes pintes		
food_info_types_beans.13	dozeBeans.Variety.Text.13	Small red beans	Mongetes vermelles		
food_info_types_beans.14	dozeBeans.Variety.Text.14	Split peas (yellow or green)	Pèsols partits (verds o grocs)		
food_info_types_beans.15	dozeBeans.Variety.Text.15	Tempeh	Tempeh		
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans	Garrofons		
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans	Mongetes paretanes		
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans	Cigrons		
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame	Edamame		
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas	Pèsols		
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans	Mongetes confit		
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans	Mongetes sastre		
food_info_types_beans.9	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)	Llenties (rossa, pardina i altres varietats)		
beans	dozeBeans.heading	Beans	Llegums	heading for daily data entry item	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup fresh or frozen	½ tassa frescos o congelats		
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup dried	¼ tassa dessecats		
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	60 g fresh or frozen	60 g frescos o congelats		
food_info_serving_sizes_berries_metric.1	dozeBerries.Serving.metric.1	40 g dried	40 g dessecats		
food_info_types_berries.0	dozeBerries.Variety.Text.0	Acai berries	Baies d'açaí		
food_info_types_berries.1	dozeBerries.Variety.Text.1	Barberries	Coralets / Espinavinetes		
food_info_types_berries.10	dozeBerries.Variety.Text.10	Raspberries (black or red)	Gerds		
food_info_types_berries.11	dozeBerries.Variety.Text.11	Strawberries	Maduixes		
food_info_types_berries.2	dozeBerries.Variety.Text.2	Blackberries	Mores		
food_info_types_berries.3	dozeBerries.Variety.Text.3	Blueberries	Mirtils		
food_info_types_berries.4	dozeBerries.Variety.Text.4	Cherries (sweet or tart)	Cireres (dolces o àcides)		
food_info_types_berries.5	dozeBerries.Variety.Text.5	Concord grapes	Fruits de llambrusca		
food_info_types_berries.6	dozeBerries.Variety.Text.6	Cranberries	Nabius de grua		
food_info_types_berries.7	dozeBerries.Variety.Text.7	Goji berries	Baies de goji		
food_info_types_berries.8	dozeBerries.Variety.Text.8	Kumquats	Cumquats		
food_info_types_berries.9	dozeBerries.Variety.Text.9	Mulberries	Mores nanes		
berries	dozeBerries.heading	Berries	Fruits del bosc	heading for daily data entry item	
food_info_serving_sizes_beverages_imperial.0	dozeBeverages.Serving.imperial.0	One glass (12 ounces)	Un got (12 unces)		
food_info_serving_sizes_beverages_metric.0	dozeBeverages.Serving.metric.0	One glass (350 ml)	Un got (350 ml)		
food_info_types_beverages.0	dozeBeverages.Variety.Text.0	Black tea	Te negre		
food_info_types_beverages.1	dozeBeverages.Variety.Text.1	Chai tea	Te chai		
food_info_types_beverages.10	dozeBeverages.Variety.Text.10	Matcha tea	Te matcha		
food_info_types_beverages.11	dozeBeverages.Variety.Text.11	Almond blossom oolong tea	Te oolong		
food_info_types_beverages.12	dozeBeverages.Variety.Text.12	Peppermint tea	Te amb menta		
food_info_types_beverages.13	dozeBeverages.Variety.Text.13	Rooibos tea	Infusió de rooibos		
food_info_types_beverages.14	dozeBeverages.Variety.Text.14	Water	Aigua		
food_info_types_beverages.15	dozeBeverages.Variety.Text.15	White tea	Te blanc		
food_info_types_beverages.2	dozeBeverages.Variety.Text.2	Vanilla chamomile tea	Camamilla		
food_info_types_beverages.3	dozeBeverages.Variety.Text.3	Coffee	Cafè		
food_info_types_beverages.4	dozeBeverages.Variety.Text.4	Earl grey tea	Te Earl Grey		
food_info_types_beverages.5	dozeBeverages.Variety.Text.5	Green tea	Te verd		
food_info_types_beverages.6	dozeBeverages.Variety.Text.6	Hibiscus tea	Infusió d'hibisc		
food_info_types_beverages.7	dozeBeverages.Variety.Text.7	Hot chocolate	Xocolata calenta (sense sucre)		
food_info_types_beverages.8	dozeBeverages.Variety.Text.8	Jasmine tea	Te de gessamí		
food_info_types_beverages.9	dozeBeverages.Variety.Text.9	Lemon balm tea	Infusió de melissa		
