key_droid	key_apple	base_value	lang_value	base_note	lang_note
serving_sizes	doze_detail_section_sizes	Serving Sizes (Suggested)	Mides de la porció (suggerit)	Doze Detail View subheading: ‘Serving Sizes’	Serving Sizes (Suggested)
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup hummus or bean dip	¼ tassa d'hummus o salsa de fesols		¼ cup hummus or bean dip
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, or lentils	½ tassa de mongetes cuites, pèsols o llenties		½ cup cooked beans, peas or lentils
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	½ cup tofu or tempeh	½ tassa de tofu o tempeh		
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or snow peas	1 tassa de pèsols frescos o pèsols de neu		
food_info_serving_sizes_beans_imperial.4	dozeBeans.Serving.imperial.4	1 cup fresh sprouted beans (lentils, mung beans)	1 tassa de mongetes germinades fresques (llenties, mongetes mung)		1 cup fresh sprouted beans (lentils, mung beans)
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g hummus or bean dip	60 g d'hummus o salsa de mongetes	Notice these are slightly different words than the 1/4 cup, but still mean the same	60 g hummus or bean dip
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	90 g cooked beans, split peas, or lentils	90 g de mongetes cuites, pèsols o llenties		90 g of cooked beans, peas or lentils
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	100 g tofu or tempeh	100 g de tofu o tempeh		
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	130 g fresh peas or snow peas	130 g de pèsols frescos o pèsols de neu		
food_info_serving_sizes_beans_metric.4	dozeBeans.Serving.metric.4	100 g fresh sprouted beans (lentils, mung beans)	100 g de mongetes fresques germinades (llenties, mongetes mung)	Notice these are slightly different words than the 1 cup, but still mean the same	100 g fresh sprouted beans (lentils, mung beans)
faq_adapt_question	faq_adapt_question	The Daily Dozen is too much/too little food for me! Can I adapt it?	La Dotzena Diària és massa/massa poc menjar per a mi! Puc adaptar-lo?		The daily dozen is too much/too little food for me! Can I adapt it?
faq_adapt_response	faq_adapt_response	Yes, the Daily Dozen is simply meant to be a guide of the healthiest foods that we strive to include every day. It’s not a meal plan and is not meant to be prescriptive. Do your best to eat a diverse array of whole plant foods and adapt the Daily Dozen to the quantities that work for you.	Sí, la Dotzena Diària només vol ser una guia dels aliments més saludables que ens esforcem per incloure cada dia. No és un pla d'àpats i no pretén ser prescriptiu. Fes tot el possible per menjar una gran varietat d'aliments vegetals sencers i adapta la Dotzena Diària a les quantitats que et funcionin.		Yes, the Daily Dozen is only meant to be a guide to the healthiest foods we strive to include each day. It is not a meal plan and is not intended to be prescriptive. Do your best to eat a wide variety of whole plant foods and adjust your daily dozen to the amounts that work for you.
faq_age_question	faq_age_question	Is this adaptable for children, adolescents, and teens?	És adaptable per a nens, adolescents i adolescents?		Is it suitable for children, teenagers and young adults?
faq_age_response.0	faq_age_response.0	Children, adolescents, and teenagers have different caloric needs throughout their lifecycle. These needs change to support growth and development at each stage.	Els nens, adolescents i adolescents tenen necessitats calòriques diferents al llarg del seu cicle de vida. Aquestes necessitats canvien per donar suport al creixement i desenvolupament en cada etapa.		Children, adolescents and young adults have different caloric needs throughout their life cycle. These needs change to support growth and development at each stage.
