key_droid	key_apple	base_value	lang_value	base_note	lang_note
	CFBundleDisplayName	DailyDozen	DailyDozen	User-visible application name. Visible under icon. Used by Siri.	
	CFBundleName	DailyDozen	DailyDozen	User-visible application short name (15 Characters max)	
back_to_today	dateBackButtonTitle	Back to today	Back to today	Date Button Title: ‘Back to today’	
	dateButtonTitle.today	Today	Today	Date Button Title: ‘Today’	
serving_sizes	doze_detail_section_sizes	Serving Sizes	Serving Sizes	Doze Detail View subheading: ‘Serving Sizes’	
types	doze_detail_section_types	Types	Types	Doze Detail View subheading: ‘Types’	
servings	doze_entry_header	Servings	Servings	Doze Entry View heading: ‘Servings’	
beans	dozeBeans.heading	Beans	Beans	heading for daily data entry item	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup of hummus or bean dip	¼ cup of hummus or bean dip		
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, lentils, tofu, or tempeh	½ cup cooked beans, split peas, lentils, tofu, or tempeh		
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	1 cup of fresh peas or sprouted lentils	1 cup of fresh peas or sprouted lentils		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g of hummus or bean dip	60 g of hummus or bean dip		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	130 g cooked beans, split peas, lentils, tofu, or tempeh	130 g cooked beans, split peas, lentils, tofu, or tempeh		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	150 g of fresh peas or sprouted lentils	150 g of fresh peas or sprouted lentils		
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	Black beans		
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas	Black-eyed peas		
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans	Butter beans		
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans	Cannellini beans		
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans	Chickpeas		
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame	Edamame		
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas	English peas		
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans	Great northern beans		
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans	Kidney beans		
food_info_types_beans.9	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)	Lentils (beluga, french, and red varieties)		
food_info_types_beans.10	dozeBeans.Variety.Text.10	Miso	Miso		
food_info_types_beans.11	dozeBeans.Variety.Text.11	Navy beans	Navy beans		
food_info_types_beans.12	dozeBeans.Variety.Text.12	Pinto beans	Pinto beans		
food_info_types_beans.13	dozeBeans.Variety.Text.13	Small red beans	Small red beans		
food_info_types_beans.14	dozeBeans.Variety.Text.14	Split peas (yellow or green)	Split peas (yellow or green)		
food_info_types_beans.15	dozeBeans.Variety.Text.15	Tempeh	Tempeh		
berries	dozeBerries.heading	Berries	Berries	heading for daily data entry item	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup fresh or frozen	½ cup fresh or frozen		
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup dried	¼ cup dried		
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	60 g fresh or frozen	60 g fresh or frozen		
food_info_serving_sizes_berries_metric.1	dozeBerries.Serving.metric.1	40 g dried	40 g dried		
food_info_types_berries.0	dozeBerries.Variety.Text.0	Acai berries	Acai berries		
food_info_types_berries.1	dozeBerries.Variety.Text.1	Barberries	Barberries		
food_info_types_berries.2	dozeBerries.Variety.Text.2	Blackberries	Blackberries		
food_info_types_berries.3	dozeBerries.Variety.Text.3	Blueberries	Blueberries		
food_info_types_berries.4	dozeBerries.Variety.Text.4	Cherries (sweet or tart)	Cherries (sweet or tart)		
food_info_types_berries.5	dozeBerries.Variety.Text.5	Concord grapes	Concord grapes		
food_info_types_berries.6	dozeBerries.Variety.Text.6	Cranberries	Cranberries		
food_info_types_berries.7	dozeBerries.Variety.Text.7	Goji berries	Goji berries		
food_info_types_berries.8	dozeBerries.Variety.Text.8	Kumquats	Kumquats		
food_info_types_berries.9	dozeBerries.Variety.Text.9	Mulberries	Mulberries		
food_info_types_berries.10	dozeBerries.Variety.Text.10	Raspberries (black or red)	Raspberries (black or red)		
food_info_types_berries.11	dozeBerries.Variety.Text.11	Strawberries	Strawberries		
beverages	dozeBeverages.heading	Beverages	Beverages	heading for daily data entry item	
food_info_serving_sizes_beverages_imperial.0	dozeBeverages.Serving.imperial.0	One glass (12 ounces)	One glass (12 ounces)		
food_info_serving_sizes_beverages_metric.0	dozeBeverages.Serving.metric.0	One glass (350 ml)	One glass (350 ml)		
food_info_types_beverages.0	dozeBeverages.Variety.Text.0	Black tea	Black tea		
food_info_types_beverages.1	dozeBeverages.Variety.Text.1	Chai tea	Chai tea		
food_info_types_beverages.2	dozeBeverages.Variety.Text.2	Vanilla chamomile tea	Vanilla chamomile tea		
food_info_types_beverages.3	dozeBeverages.Variety.Text.3	Coffee	Coffee		
food_info_types_beverages.4	dozeBeverages.Variety.Text.4	Earl grey tea	Earl grey tea		
food_info_types_beverages.5	dozeBeverages.Variety.Text.5	Green tea	Green tea		
food_info_types_beverages.6	dozeBeverages.Variety.Text.6	Hibiscus tea	Hibiscus tea		
food_info_types_beverages.7	dozeBeverages.Variety.Text.7	Hot chocolate	Hot chocolate		
food_info_types_beverages.8	dozeBeverages.Variety.Text.8	Jasmine tea	Jasmine tea		
food_info_types_beverages.9	dozeBeverages.Variety.Text.9	Lemon balm tea	Lemon balm tea		
food_info_types_beverages.10	dozeBeverages.Variety.Text.10	Matcha tea	Matcha tea		
food_info_types_beverages.11	dozeBeverages.Variety.Text.11	Almond blossom oolong tea	Almond blossom oolong tea		
food_info_types_beverages.12	dozeBeverages.Variety.Text.12	Peppermint tea	Peppermint tea		
food_info_types_beverages.13	dozeBeverages.Variety.Text.13	Rooibos tea	Rooibos tea		
food_info_types_beverages.14	dozeBeverages.Variety.Text.14	Water	Water		
food_info_types_beverages.15	dozeBeverages.Variety.Text.15	White tea	White tea		
exercise	dozeExercise.heading	Exercise	Exercise	heading for daily data entry item	
food_info_serving_sizes_exercise_imperial.0	dozeExercise.Serving.imperial.0	90 minutes of moderate-intensity activity	90 minutes of moderate-intensity activity		
food_info_serving_sizes_exercise_imperial.1	dozeExercise.Serving.imperial.1	40 minutes of vigorous-intensity activity	40 minutes of vigorous-intensity activity		
food_info_serving_sizes_exercise_metric.0	dozeExercise.Serving.metric.0	90 minutes of moderate-intensity activity	90 minutes of moderate-intensity activity		
food_info_serving_sizes_exercise_metric.1	dozeExercise.Serving.metric.1	40 minutes of vigorous-intensity activity	40 minutes of vigorous-intensity activity		
food_info_types_exercise.0	dozeExercise.Variety.Text.0	Bicycling	Bicycling		
food_info_types_exercise.1	dozeExercise.Variety.Text.1	Canoeing	Canoeing		
food_info_types_exercise.2	dozeExercise.Variety.Text.2	Dancing	Dancing		
food_info_types_exercise.3	dozeExercise.Variety.Text.3	Dodgeball	Dodgeball		
food_info_types_exercise.4	dozeExercise.Variety.Text.4	Downhill skiing	Downhill skiing		
food_info_types_exercise.5	dozeExercise.Variety.Text.5	Fencing	Fencing		
food_info_types_exercise.6	dozeExercise.Variety.Text.6	Hiking	Hiking		
food_info_types_exercise.7	dozeExercise.Variety.Text.7	Housework	Housework		
food_info_types_exercise.8	dozeExercise.Variety.Text.8	Ice-skating	Ice-skating		
food_info_types_exercise.9	dozeExercise.Variety.Text.9	Inline skating	Inline skating		
food_info_types_exercise.10	dozeExercise.Variety.Text.10	Juggling	Juggling		
food_info_types_exercise.11	dozeExercise.Variety.Text.11	Jumping on a trampoline	Jumping on a trampoline		
food_info_types_exercise.12	dozeExercise.Variety.Text.12	Paddle boating	Paddle boating		
food_info_types_exercise.13	dozeExercise.Variety.Text.13	Playing frisbee	Playing frisbee		
food_info_types_exercise.14	dozeExercise.Variety.Text.14	Roller-skating	Roller-skating		
food_info_types_exercise.15	dozeExercise.Variety.Text.15	Shooting baskets	Shooting baskets		
food_info_types_exercise.16	dozeExercise.Variety.Text.16	Shoveling light snow	Shoveling light snow		
food_info_types_exercise.17	dozeExercise.Variety.Text.17	Skateboarding	Skateboarding		
food_info_types_exercise.18	dozeExercise.Variety.Text.18	Snorkeling	Snorkeling		
