key_droid	key_apple	base_value	lang_value	base_note
	NSHealthShareUsageDescription	The 21 Tweaks feature accesses your HealthKit data to provide updates to your daily weight measurements.	The 21 Tweaks feature accesses your HealthKit data to provide updates to your daily weight measurements.	
	NSHealthUpdateUsageDescription	The 21 Tweaks feature can write weight data to HealthKit to help you keep track of your progress.	The 21 Tweaks feature can write weight data to HealthKit to help you keep track of your progress.	
back_to_today	dateBackButtonTitle	Back to today	Back to today	
	dateButtonTitle.today	Today	Today	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup of hummus or bean dip	¼杯	
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, lentils, tofu, or tempeh	½杯	
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	1 cup of fresh peas or sprouted lentils	1杯	
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g of hummus or bean dip	60克	
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	130 g cooked beans, split peas, lentils, tofu, or tempeh	130克	
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	150 g of fresh peas or sprouted lentils	150克	
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	黑豆	
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas	黑眼豆	
food_info_types_beans.10	dozeBeans.Variety.Text.10	Miso	味噌	
food_info_types_beans.11	dozeBeans.Variety.Text.11	Navy beans	白豆	
food_info_types_beans.12	dozeBeans.Variety.Text.12	Pinto beans	花豆	
food_info_types_beans.13	dozeBeans.Variety.Text.13	Small red beans	小紅豆	
food_info_types_beans.14	dozeBeans.Variety.Text.14	Split peas (yellow or green)	豌豆（黃豌豆或綠豌豆）	
food_info_types_beans.15	dozeBeans.Variety.Text.15	Tempeh	天貝	
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans	利馬豆	
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans	白腰豆	
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans	鷹嘴豆	
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame	毛豆	
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas	麥豌豆	
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans	北美腰豆	
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans	菜豆	
food_info_types_beans.9	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)	扁豆（包括黑扁豆、法國扁豆與紅扁豆等品種）	
beans	dozeBeans.heading	Beans	豆類	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup fresh or frozen	½杯新鮮或冷凍莓果	
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup dried	¼杯莓果乾	
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	60 g fresh or frozen	½杯新鮮或冷凍莓果	
food_info_serving_sizes_berries_metric.1	dozeBerries.Serving.metric.1	40 g dried	¼杯莓果乾	
food_info_types_berries.0	dozeBerries.Variety.Text.0	Acai berries	巴西莓	
food_info_types_berries.1	dozeBerries.Variety.Text.1	Barberries	莿莓	
food_info_types_berries.10	dozeBerries.Variety.Text.10	Raspberries (black or red)	覆盆子（黑色或紅色）	
food_info_types_berries.11	dozeBerries.Variety.Text.11	Strawberries	草莓	
food_info_types_berries.2	dozeBerries.Variety.Text.2	Blackberries	黑莓	
food_info_types_berries.3	dozeBerries.Variety.Text.3	Blueberries	藍莓	
food_info_types_berries.4	dozeBerries.Variety.Text.4	Cherries (sweet or tart)	櫻桃（甜的或酸的）	
food_info_types_berries.5	dozeBerries.Variety.Text.5	Concord grapes	康科德葡萄	
food_info_types_berries.6	dozeBerries.Variety.Text.6	Cranberries	蔓越莓	
food_info_types_berries.7	dozeBerries.Variety.Text.7	Goji berries	枸杞	
food_info_types_berries.8	dozeBerries.Variety.Text.8	Kumquats	金桔	
food_info_types_berries.9	dozeBerries.Variety.Text.9	Mulberries	桑葚	
berries	dozeBerries.heading	Berries	莓果類	
food_info_serving_sizes_beverages_imperial.0	dozeBeverages.Serving.imperial.0	One glass (12 ounces)	一杯（12盎司）	
food_info_serving_sizes_beverages_metric.0	dozeBeverages.Serving.metric.0	One glass (350 ml)	一杯（12盎司）	
food_info_types_beverages.0	dozeBeverages.Variety.Text.0	Black tea	紅茶	
food_info_types_beverages.1	dozeBeverages.Variety.Text.1	Chai tea	印度香料奶茶	
food_info_types_beverages.10	dozeBeverages.Variety.Text.10	Matcha tea	抹茶	
food_info_types_beverages.11	dozeBeverages.Variety.Text.11	Almond blossom oolong tea	杏仁花烏龍茶	
food_info_types_beverages.12	dozeBeverages.Variety.Text.12	Peppermint tea	薄荷茶	
food_info_types_beverages.13	dozeBeverages.Variety.Text.13	Rooibos tea	南非國寶茶	
food_info_types_beverages.14	dozeBeverages.Variety.Text.14	Water	水	
food_info_types_beverages.15	dozeBeverages.Variety.Text.15	White tea	白茶	
food_info_types_beverages.2	dozeBeverages.Variety.Text.2	Vanilla chamomile tea	香草菊花茶	
food_info_types_beverages.3	dozeBeverages.Variety.Text.3	Coffee	咖啡	
food_info_types_beverages.4	dozeBeverages.Variety.Text.4	Earl grey tea	伯爵茶	
food_info_types_beverages.5	dozeBeverages.Variety.Text.5	Green tea	綠茶	
food_info_types_beverages.6	dozeBeverages.Variety.Text.6	Hibiscus tea	洛神花茶	
food_info_types_beverages.7	dozeBeverages.Variety.Text.7	Hot chocolate	熱巧克力	
food_info_types_beverages.8	dozeBeverages.Variety.Text.8	Jasmine tea	茉莉花茶	
food_info_types_beverages.9	dozeBeverages.Variety.Text.9	Lemon balm tea	香蜂草茶	
beverages	dozeBeverages.heading	Beverages	飲料	
food_info_serving_sizes_exercise_imperial.0	dozeExercise.Serving.imperial.0	90 minutes of moderate-intensity activity	90分鐘的中等強度運動	
food_info_serving_sizes_exercise_imperial.1	dozeExercise.Serving.imperial.1	40 minutes of vigorous-intensity activity	40分鐘的劇烈運動	
food_info_serving_sizes_exercise_metric.0	dozeExercise.Serving.metric.0	90 minutes of moderate-intensity activity	90分鐘的中等強度運動	
food_info_serving_sizes_exercise_metric.1	dozeExercise.Serving.metric.1	40 minutes of vigorous-intensity activity	40分鐘的劇烈運動	
food_info_types_exercise.0	dozeExercise.Variety.Text.0	Bicycling	騎單車	
food_info_types_exercise.1	dozeExercise.Variety.Text.1	Canoeing	劃獨木舟	
food_info_types_exercise.10	dozeExercise.Variety.Text.10	Juggling	雜耍	
food_info_types_exercise.11	dozeExercise.Variety.Text.11	Jumping on a trampoline	跳彈簧牀	
food_info_types_exercise.12	dozeExercise.Variety.Text.12	Paddle boating	踩腳踏船	
food_info_types_exercise.13	dozeExercise.Variety.Text.13	Playing frisbee	玩飛盤	
food_info_types_exercise.14	dozeExercise.Variety.Text.14	Roller-skating	四輪溜冰	
food_info_types_exercise.15	dozeExercise.Variety.Text.15	Shooting baskets	投籃	
food_info_types_exercise.16	dozeExercise.Variety.Text.16	Shoveling light snow	剷雪（輕微積雪）	
food_info_types_exercise.17	dozeExercise.Variety.Text.17	Skateboarding	玩滑板	
food_info_types_exercise.18	dozeExercise.Variety.Text.18	Snorkeling	浮潛	
