key_droid	key_apple	base_value	lang_value	base_note	lang_note
	history_data_alert_cancel	Cancel	取消	History Data Alert: Cancel button	cancel button (Qǔxiāo ànniǔ)
	history_data_alert_clear	Clear	清除	History Data Alert: Clear button	to clear
	history_data_alert_import	Import	導入數據	History Data Alert: Import buttom	import data
	history_data_alert_ok	OK	好的	History Data Alert: OK button	OK 
	history_data_export_btn	Export History Data	導出數據	History Data: export action button	Export Data
	history_data_export_text	Export has been written to:	導出已寫入：	History Data: export description text	The export is written to:
	history_data_import_btn	Import History Data	導入歷史數據	History Data: import action button	Import historical data
	history_data_import_caution_text	Caution: This import will overwrite all history data currently in this Daily Dozen application. Would you like to proceed with the import?	注意：此導入將覆蓋此 Daily Dozen 應用程序中當前的所有歷史數據。 是否繼續導入？	History Data: import caution text	NOTE: This import will overwrite any historical data currently in this Daily Dozen application. Do you want to continue importing?
	history_data_import_error_text	Error: The import was not performed because of a data error. The existing data has remained unchanged.	錯誤：由於數據錯誤而未執行導入。 現有數據保持不變。	History Data: import data error text	Error: The import was not performed due to bad data. Existing data remains unchanged.
	history_data_import_notfound_text	Did not find a valid import file in the Daily Dozen Documents folder.	在 Daily Dozen Documents 文件夾中未找到有效的導入文件。	History Data: import not found text	No valid import files were found in the Daily Dozen Documents folder.
	history_data_title	History	歷史	History Data: preferences header & title	history
