key_droid	key_apple	base_value	lang_value	base_note	lang_note
	CFBundleDisplayName	DailyDozen	每日12清單	User-visible application name. Visible under icon. Used by Siri.	
	CFBundleName	DailyDozen	每日12清單	User-visible application short name (15 Characters max)	
back_to_today	dateBackButtonTitle	Back to today	回到今天	Date Button Title: ‘Back to today’	
	dateButtonTitle.today	Today	今天	Date Button Title: ‘Today’	
serving_sizes	doze_detail_section_sizes	Serving Sizes (Suggested)	份量（建議）	Doze Detail View subheading: ‘Serving Sizes’	Serving Size (recommended)
types	doze_detail_section_types	Types	種類	Doze Detail View subheading: ‘Types’	
servings	doze_entry_header	Servings	份量	Doze Entry View heading: ‘Servings’	
beans	dozeBeans.heading	Beans	豆類	heading for daily data entry item	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup hummus or bean dip	¼杯鷹嘴豆泥		1/4 cup hummus
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, or lentils	½杯煮熟的豆子、豌豆或扁豆		½ cup cooked beans, peas, or lentils
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	⅓ cup tofu or tempeh	⅓杯豆腐或天貝		
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or sprouted lentils	1杯新鮮豌豆或萌芽扁豆		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	70 g hummus or bean dip	70克鷹嘴豆或其他豆泥		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	100 g cooked beans, split peas, or lentils	100克煮熟的豆子、去皮豌豆或扁豆		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	80 g tofu or tempeh	80克豆腐或天貝		
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	100 g fresh peas or sprouted lentils	100克新鮮豌豆或萌芽扁豆		
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	黑豆		
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas	黑眼豆		
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans	利馬豆		
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans	白腰豆		
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans	鷹嘴豆		
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame	毛豆		
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas	麥豌豆		
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans	北美腰豆		
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans	菜豆		
food_info_types_beans.9	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)	扁豆（包括黑扁豆、法國扁豆與紅扁豆等品種）		
food_info_types_beans.10	dozeBeans.Variety.Text.10	Navy beans	白豆		
food_info_types_beans.11	dozeBeans.Variety.Text.11	Pinto beans	花豆		
food_info_types_beans.12	dozeBeans.Variety.Text.12	Small red beans	小紅豆		
food_info_types_beans.13	dozeBeans.Variety.Text.13	Split peas (yellow or green)	豌豆（黃豌豆或綠豌豆）		
food_info_types_beans.14	dozeBeans.Variety.Text.14	Tempeh	天貝		
berries	dozeBerries.heading	Berries	漿果類	heading for daily data entry item	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup fresh or frozen	½杯新鮮或冷凍漿果		
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup dried	¼杯漿果乾		
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	70 g fresh or frozen	70克新鮮或冷凍		
food_info_serving_sizes_berries_metric.1	dozeBerries.Serving.metric.1	40 g dried	40克漿果乾		
food_info_types_berries.0	dozeBerries.Variety.Text.0	Acai berries	巴西莓		
food_info_types_berries.1	dozeBerries.Variety.Text.1	Barberries	莿莓		
food_info_types_berries.2	dozeBerries.Variety.Text.2	Blackberries	黑莓		
food_info_types_berries.3	dozeBerries.Variety.Text.3	Blueberries	藍莓		
food_info_types_berries.4	dozeBerries.Variety.Text.4	Cherries (sweet or tart)	櫻桃（甜或酸）		
food_info_types_berries.5	dozeBerries.Variety.Text.5	Concord grapes	康科德葡萄		
food_info_types_berries.6	dozeBerries.Variety.Text.6	Cranberries	蔓越莓		
food_info_types_berries.7	dozeBerries.Variety.Text.7	Goji berries	枸杞		
food_info_types_berries.8	dozeBerries.Variety.Text.8	Kumquats	金桔		
food_info_types_berries.9	dozeBerries.Variety.Text.9	Mulberries	桑葚		
food_info_types_berries.10	dozeBerries.Variety.Text.10	Raspberries (black or red)	覆盆子（黑色或紅色）		
food_info_types_berries.11	dozeBerries.Variety.Text.11	Strawberries	草莓		
