key_droid	key_apple	base_value	lang_value	base_note	lang_note
food_info_serving_sizes_cruciferous_vegetables_imperial.1	dozeVegetablesCruciferous.Serving.imperial.1	½ cup Brussels sprouts	½ šálku růžičkové kapusty		
food_info_serving_sizes_cruciferous_vegetables_imperial.2	dozeVegetablesCruciferous.Serving.imperial.2	¼ cup Broccoli sprouts	¼ šálku brokolicových klíčků		
food_info_serving_sizes_cruciferous_vegetables_imperial.3	dozeVegetablesCruciferous.Serving.imperial.3	1 tablespoon horseradish	1 lžíce křenu		
food_info_serving_sizes_cruciferous_vegetables_metric.1	dozeVegetablesCruciferous.Serving.metric.1	78 g Brussels sprouts	78 g růžičkové kapusty		
food_info_serving_sizes_cruciferous_vegetables_metric.2	dozeVegetablesCruciferous.Serving.metric.2	14 g Broccoli sprouts	14 g brokolicových klíčků		
food_info_serving_sizes_cruciferous_vegetables_metric.3	dozeVegetablesCruciferous.Serving.metric.3	1 tablespoon horseradish	1 lžíce křenu		
android_about_text_translators	info_app_about_translators	Special thanks to our volunteer translators: Ricard Soler Roger (ca), Anke Schliessmann (de), Doron Barak (he), Ruth Levy (he), Joanna Klopotek (pl), Tania Bassi (pt-BR), João Madureira (pt-PT), Evgeniya Lyakh (ru).	Zvláštní poděkování patří našim dobrovolným překladatelům: Ricard Soler Roger (ca), Luděk Bouška a Lenka Lukacová (cz), Anke Schliessmann (de), Doron Barak (on), Ruth Levy (on), Joanna Klopotek (pl), Tania Bassi ( pt-BR), João Madureira (pt-PT), Evgeniya Lyakh (ru).	Info About View: Contributing Translators List	
	setting_analytics_body	Enable anonymous usage information to be collected to help improve this application.	Povolte shromažďování anonymních informací o používání aplikace, které pomohou tuto aplikaci zlepšit.	Google Firebase Analytics	
	setting_analytics_enable	Enable Analytics	Povolit službu Analytika	Google Firebase Analytics	
	setting_analytics_opt_in	Opt In	Přihlásit se	Google Firebase Analytics	
	setting_analytics_opt_out	Opt Out	Odhlásit se	Google Firebase Analytics	
	setting_analytics_title	Analytics	Analytika	Google Firebase Analytics	
