key_droid	key_apple	base_value	lang_value	base_note	lang_note
	history_data_alert_cancel	Cancel	Zrušit	History Data Alert: Cancel button	
	history_data_alert_clear	Clear	Vyčistit	History Data Alert: Clear button	
	history_data_alert_import	Import	Import	History Data Alert: Import buttom	
	history_data_alert_ok	OK	OK	History Data Alert: OK button	
	history_data_export_btn	Export History Data	Export historických dat	History Data: export action button	
	history_data_export_text	Export has been written to:	Export byl zapsán na adresu:	History Data: export description text	
	history_data_import_btn	Import History Data	Import historických dat	History Data: import action button	
	history_data_import_caution_text	Caution: This import will overwrite all history data currently in this Daily Dozen application. Would you like to proceed with the import?	Upozornění: Tento import přepíše všechna historická data v této aplikaci Daily Dozen. Chcete pokračovat v importu?	History Data: import caution text	
	history_data_import_error_text	Error: The import was not performed because of a data error. The existing data has remained unchanged.	Chyba: Import se nezdařil kvůli chybě dat. Stávající data zůstala nezměněna.	History Data: import data error text	
	history_data_import_notfound_text	Did not find a valid import file in the Daily Dozen Documents folder.	Ve složce Daily Dozen Documents nebyl nalezen platný soubor pro import.	History Data: import not found text	
	history_data_title	History	Historie	History Data: preferences header & title	
