key_droid	key_apple	base_value	lang_value	base_note	lang_note
	CFBundleDisplayName	DailyDozen	Denní Dvanáctka	User-visible application name. Visible under icon. Used by Siri.	
	CFBundleName	DailyDozen	DenniDvanactka 	User-visible application short name (15 Characters max)	
back_to_today	dateBackButtonTitle	Back to today	Zpět na Dnes	Date Button Title: ‘Back to today’	
	dateButtonTitle.today	Today	Dnes	Date Button Title: ‘Today’	
serving_sizes	doze_detail_section_sizes	Serving Sizes (Suggested)	Velikosti porcí (doporučené)	Doze Detail View subheading: ‘Serving Sizes’	
types	doze_detail_section_types	Types	Typy	Doze Detail View subheading: ‘Types’	
servings	doze_entry_header	Servings	Porce	Doze Entry View heading: ‘Servings’	
beans	dozeBeans.heading	Beans	Luštěniny	heading for daily data entry item	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup hummus or bean dip	¼ šálku hummusu nebo fazolového dipu		
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, or lentils	½ šálku vařených fazolí, hrachu nebo čočky		
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	½ cup tofu or tempeh	½ šálku tofu nebo tempehu		
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or snow peas	1 šálek čerstvého nebo cukrového hrášku		
food_info_serving_sizes_beans_imperial.4	dozeBeans.Serving.imperial.4	1 cup fresh sprouted beans (lentils, mung beans)	1 šálku čerstvých naklíčených fazolí (čočka, mungo)		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g hummus or bean dip	60 g šálku hummusu nebo fazolového dipu		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	90 g cooked beans, split peas, or lentils	90 g vařených fazolí, hrachu nebo čočky		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	100 g tofu or tempeh	100 g tofu nebo tempehu		
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	130 g fresh peas or snow peas	130 g čerstvého nebo cukrového hrášku		
food_info_serving_sizes_beans_metric.4	dozeBeans.Serving.metric.4	100 g fresh sprouted beans (lentils, mung beans)	100 g čerstvých naklíčených fazolí (čočka, mungo)		
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	Černé fazole		
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas	Černooké fazole		
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans	Máslové fazole		
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans	Fazole Cannellini 		
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans	 Cizrna / Fazole Garbanzo		
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame	Fazole Edamame		
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas	 Anglický hrášek		
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans	Velké severské fazole		
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans	Fazole (ve tvaru ledviny)		
food_info_types_beans.9	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)	Čočka (beluga, francouzské a červené odrůdy)		
food_info_types_beans.10	dozeBeans.Variety.Text.10	Miso	Miso pasta		
food_info_types_beans.11	dozeBeans.Variety.Text.11	Navy beans	Fazole Navy		
food_info_types_beans.12	dozeBeans.Variety.Text.12	Pinto beans	Fazole Pinto		
food_info_types_beans.13	dozeBeans.Variety.Text.13	Small red beans	Malé červené fazole		
food_info_types_beans.14	dozeBeans.Variety.Text.14	Split peas (yellow or green)	Půlený hrách (žlutý nebo zelený)		
food_info_types_beans.15	dozeBeans.Variety.Text.15	Tempeh	Tempeh		
berries	dozeBerries.heading	Berries	Bobuloviny	heading for daily data entry item	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup fresh or frozen	½ šálku čerstvého nebo mraženého		
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup dried	¼ šálku sušené		
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	60 g fresh or frozen	60 g čerstvé nebo mražené		
food_info_serving_sizes_berries_metric.1	dozeBerries.Serving.metric.1	40 g dried	40 g sušené		
food_info_types_berries.0	dozeBerries.Variety.Text.0	Acai berries	Acai bobule		
food_info_types_berries.1	dozeBerries.Variety.Text.1	Barberries	Dřišťál		
food_info_types_berries.2	dozeBerries.Variety.Text.2	Blackberries	Ostružiny		
food_info_types_berries.3	dozeBerries.Variety.Text.3	Blueberries	Borůvky		
food_info_types_berries.4	dozeBerries.Variety.Text.4	Cherries (sweet or tart)	Třešně nebo višně 		
food_info_types_berries.5	dozeBerries.Variety.Text.5	Concord grapes	Hrozny (Concord)		
food_info_types_berries.6	dozeBerries.Variety.Text.6	Cranberries	Brusinky		
food_info_types_berries.7	dozeBerries.Variety.Text.7	Goji berries	Goji bobule		
food_info_types_berries.8	dozeBerries.Variety.Text.8	Kumquats	Kumquaty		
food_info_types_berries.9	dozeBerries.Variety.Text.9	Mulberries	Moruše		
food_info_types_berries.10	dozeBerries.Variety.Text.10	Raspberries (black or red)	Maliny (černé nebo červené)		
food_info_types_berries.11	dozeBerries.Variety.Text.11	Strawberries	Jahody		
beverages	dozeBeverages.heading	Beverages	Nápoje	heading for daily data entry item	
food_info_serving_sizes_beverages_imperial.0	dozeBeverages.Serving.imperial.0	One glass (12 ounces)	Jedna sklenice (12 uncí)		
food_info_serving_sizes_beverages_metric.0	dozeBeverages.Serving.metric.0	One glass (350 ml)	Jedna sklenice (350 ml)		
food_info_types_beverages.0	dozeBeverages.Variety.Text.0	Black tea	Černý čaj		
food_info_types_beverages.1	dozeBeverages.Variety.Text.1	Chai tea	Chai čaj		
food_info_types_beverages.2	dozeBeverages.Variety.Text.2	Vanilla chamomile tea	Vanilkový, heřmánkový čaj		
