key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple_store_description.0	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, “How Not to Die”, and now his new book, “How Not to Diet”.	Sledujte potraviny doporučené Dr. Gregerem v bestselleru „Jak nezemřít“ vydaném v New York Times a nyní v jeho nové knize „Jak nedietovat“.	Use language-applicable quotation marks for book titles.	
	apple_store_description.1	The 21 Tweaks feature, based on “How Not to Diet”, also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.	Funkce 21 Hubnutí, která vychází z knihy „Jak nedietovat“, také poskytuje sledování hmotnosti. Sledování hmotnosti může použít aplikace HealthKit k uložení ručně zadaných hodnot nebo ke čtení údajů o hmotnosti z vah s podporou HealthKit.	Use language-applicable quotation marks for book titles.	
	apple_store_description.2	In the years of research required to create the more than a thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	Po letech výzkumu potřebných k vytvoření více než tisíce videí, které jsou založené na důkazech a uveřejněné na webových stránkách NutritionFacts.org, dospěl Michael Greger, MD, FACLM, k seznamu toho, co považuje za nejdůležitější potraviny, které je třeba zahrnout do každodenní zdravé stravy.		
	apple_store_description.3	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book “How Not to Die”.	Denní dvanáctka Dr. Gregera podrobně popisuje nejzdravější potraviny a kolik porcí bychom měli mít každý den. Své zdůvodnění vysvětluje ve své knize „Jak nezemřít“.	Use language-applicable quotation marks for book titles.	
	apple_store_description.4	All his proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Všechny výnosy z jeho knih, DVD a řečnických setkání jsou věnovány na charitativní účely.		
	apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org je nekomerční a nezisková veřejná služba poskytovaná Dr. Gregerem. Jee založena na vědeckých výzkumech a poskytuje bezplatné denní aktualizace o nejnovějším výzkumu výživy prostřednictvím krátkých videí. Obsahuje téměř tisíc videí věnovaných každému aspektu zdravé výživy. Každý den jsou nahrávána nová videa a články.		
	apple_store_description.6	Like this app, everything on the website is both free of ads and free of charge.	Tato aplikace i vše ostaní na webu je bez reklam a zdarma.		
	apple_store_description.7	Application level language selection, via Settings, requires iOS 13 or newer.	Výběr jazyka v aplikaci prostřednictvím Nastavení vyžaduje iOS 13 nebo novější.		
	apple_store_promotion	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, “How Not to Diet”.	Podívejte se na zcela novou funkci Daily Dozen! Obsahuje i 21 Hubnutí z nové knihy „Jak nedietovat“.	Use language-applicable quotation marks for book titles.	
	apple_store_subtitle	NutritionFacts.org	NutritionFacts.org	Must be a maximum of 30 characters	
android_store_title	apple_store_title	Dr. Greger’s Daily Dozen	Denní Dvanáctka Dr. Gregera	Must be a maximum of 30 characters	
	apple_store_whatsnew	Adds language support for language_name_here.	Přidání jazykové podpory pro češtinu.	Replace language_name_here with the translated language name for this translation.	
android_store_whatsnew_analytics	apple_store_whatsnew_analytics	Adds anonymous opt-in analytics to support product improvement.	Přidává anonymní analytiku přihlášení na podporu zlepšování produktu.	What's New Item	
	apple_store_whatsnew_darkmode	Adds support for Dark Mode.	Přidává podporu pro tmavý režim.	What's New Item	
	apple_store_whatsnew_export	Adds support to export history data.	Přidává podporu pro export dat historie.	What's New Item	
android_store_whatsnew_faq	apple_store_whatsnew_faq	Adds Frequently Asked Questions (FAQ)	Přidává často kladené otázky (FAQ)	What's New Item	
	apple_store_whatsnew_import	Adds support to import history data.	Přidává podporu pro import historických dat.	What's New Item	
android_store_whatsnew_improvement	apple_store_whatsnew_improvement	General software quality improvements.	Obecná vylepšení kvality softwaru.	What's New Item	
store_keywords	store_keywords	vegan, nutrition, food, vegetarian, health, healthy	vegan, výživa, jídlo, vegetarián, zdraví, zdravý		
store_screen.0	store_screen.0	Eat. Track. Repeat. No calorie counting or macro tracking required.	Jezte. Zaznamenávejte. Nepřestávejte. Nemusíte počítat kalorie ani všechno sledovat.		
store_screen.1	store_screen.1	All for free!	Vše je zdarma!		
