key_droid	key_apple	base_value	lang_value	base_note
	NSHealthShareUsageDescription	The 21 Tweaks feature accesses your HealthKit data to provide updates to your daily weight measurements.	The 21 Tweaks feature accesses your HealthKit data to provide updates to your daily weight measurements.	
	NSHealthUpdateUsageDescription	The 21 Tweaks feature can write weight data to HealthKit to help you keep track of your progress.	The 21 Tweaks feature can write weight data to HealthKit to help you keep track of your progress.	
	apple.info.about.0	Welcome to my Daily Dozen!	Welcome to my Daily Dozen!	
	apple.info.about.1	Use this app on a daily basis to keep track of the foods and advice I recommend for optimal health and longevity in my books How Not to Die and How Not to Diet.	Use this app on a daily basis to keep track of the foods and advice I recommend for optimal health and longevity in my books How Not to Die and How Not to Diet.	
	apple.info.about.2	Daily Dozen	Daily Dozen	
	apple.info.about.3	version 3.2.3	version 3.2.3	
	apple.info.about.4	"This app was created by: NutritionFacts.org, Christi Richards, Konstantin Khokhlov, and Marc Campbell"	"This app was created by: NutritionFacts.org, Christi Richards, Konstantin Khokhlov, and Marc Campbell"	
	apple.info.about.5	"The following open source libraries are used: RealmSwift, Charts, FSCalendar, SimpleAnimation, ActiveLabel."	"The following open source libraries are used: RealmSwift, Charts, FSCalendar, SimpleAnimation, ActiveLabel."	
back_to_today	dateBackButtonTitle	Back to today	Back to today	
	dateButtonTitle.today	Today	Today	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup of hummus or bean dip	¼ cup of hummus or bean dip	
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	"½ cup cooked beans, split peas, lentils, tofu, or tempeh"	"½ cup cooked beans, split peas, lentils, tofu, or tempeh"	
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	1 cup of fresh peas or sprouted lentils	1 cup of fresh peas or sprouted lentils	
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g of hummus or bean dip	60 g of hummus or bean dip	
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	"130 g cooked beans, split peas, lentils, tofu, or tempeh"	"130 g cooked beans, split peas, lentils, tofu, or tempeh"	
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	150 g of fresh peas or sprouted lentils	150 g of fresh peas or sprouted lentils	
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	Black beans	
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas	Black-eyed peas	
food_info_types_beans.10	dozeBeans.Variety.Text.10	Miso	Miso	
food_info_types_beans.11	dozeBeans.Variety.Text.11	Navy beans	Navy beans	
food_info_types_beans.12	dozeBeans.Variety.Text.12	Pinto beans	Pinto beans	
food_info_types_beans.13	dozeBeans.Variety.Text.13	Small red beans	Small red beans	
food_info_types_beans.14	dozeBeans.Variety.Text.14	Split peas (yellow or green)	Split peas (yellow or green)	
food_info_types_beans.15	dozeBeans.Variety.Text.15	Tempeh	Tempeh	
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans	Butter beans	
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans	Cannellini beans	
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans	Chickpeas/Garbanzo Beans	
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame	Edamame	
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas	English peas	
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans	Great northern beans	
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans	Kidney beans	
food_info_types_beans.9	dozeBeans.Variety.Text.9	"Lentils (beluga, french, and red varieties)"	"Lentils (beluga, french, and red varieties)"	
beans	dozeBeans.heading	Beans	Beans	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup fresh or frozen	½ cup fresh or frozen	
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup dried	¼ cup dried	
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	60 g fresh or frozen	60 g fresh or frozen	
food_info_serving_sizes_berries_metric.1	dozeBerries.Serving.metric.1	40 g dried	40 g dried	
food_info_types_berries.0	dozeBerries.Variety.Text.0	Acai berries	Acai berries	
food_info_types_berries.1	dozeBerries.Variety.Text.1	Barberries	Barberries	
food_info_types_berries.10	dozeBerries.Variety.Text.10	Raspberries (black or red)	Raspberries (black or red)	
food_info_types_berries.11	dozeBerries.Variety.Text.11	Strawberries	Strawberries	
food_info_types_berries.2	dozeBerries.Variety.Text.2	Blackberries	Blackberries	
food_info_types_berries.3	dozeBerries.Variety.Text.3	Blueberries	Blueberries	
food_info_types_berries.4	dozeBerries.Variety.Text.4	Cherries (sweet or tart)	Cherries (sweet or tart)	
food_info_types_berries.5	dozeBerries.Variety.Text.5	Concord grapes	Concord grapes	
food_info_types_berries.6	dozeBerries.Variety.Text.6	Cranberries	Cranberries	
food_info_types_berries.7	dozeBerries.Variety.Text.7	Goji berries	Goji berries	
food_info_types_berries.8	dozeBerries.Variety.Text.8	Kumquats	Kumquats	
food_info_types_berries.9	dozeBerries.Variety.Text.9	Mulberries	Mulberries	
berries	dozeBerries.heading	Berries	Berries	
food_info_serving_sizes_beverages_imperial.0	dozeBeverages.Serving.imperial.0	One glass (12 ounces)	One glass (12 ounces)	
food_info_serving_sizes_beverages_metric.0	dozeBeverages.Serving.metric.0	One glass (350 ml)	One glass (350 ml)	
food_info_types_beverages.0	dozeBeverages.Variety.Text.0	Black tea	Black tea	
food_info_types_beverages.1	dozeBeverages.Variety.Text.1	Chai tea	Chai tea	
food_info_types_beverages.10	dozeBeverages.Variety.Text.10	Matcha tea	Matcha tea	
food_info_types_beverages.11	dozeBeverages.Variety.Text.11	Almond blossom oolong tea	Almond blossom oolong tea	
food_info_types_beverages.12	dozeBeverages.Variety.Text.12	Peppermint tea	Peppermint tea	
food_info_types_beverages.13	dozeBeverages.Variety.Text.13	Rooibos tea	Rooibos tea	
food_info_types_beverages.14	dozeBeverages.Variety.Text.14	Water	Water	
food_info_types_beverages.15	dozeBeverages.Variety.Text.15	White tea	White tea	
food_info_types_beverages.2	dozeBeverages.Variety.Text.2	Vanilla chamomile tea	Vanilla chamomile tea	
food_info_types_beverages.3	dozeBeverages.Variety.Text.3	Coffee	Coffee	
food_info_types_beverages.4	dozeBeverages.Variety.Text.4	Earl grey tea	Earl grey tea	
food_info_types_beverages.5	dozeBeverages.Variety.Text.5	Green tea	Green tea	
food_info_types_beverages.6	dozeBeverages.Variety.Text.6	Hibiscus tea	Hibiscus tea	
food_info_types_beverages.7	dozeBeverages.Variety.Text.7	Hot chocolate	Hot chocolate	
food_info_types_beverages.8	dozeBeverages.Variety.Text.8	Jasmine tea	Jasmine tea	
food_info_types_beverages.9	dozeBeverages.Variety.Text.9	Lemon balm tea	Lemon balm tea	
beverages	dozeBeverages.heading	Beverages	Beverages	
food_info_serving_sizes_exercise_imperial.0	dozeExercise.Serving.imperial.0	90 minutes of moderate-intensity activity	90 minutes of moderate-intensity activity	
food_info_serving_sizes_exercise_imperial.1	dozeExercise.Serving.imperial.1	40 minutes of vigorous-intensity activity	40 minutes of vigorous-intensity activity	
food_info_serving_sizes_exercise_metric.0	dozeExercise.Serving.metric.0	90 minutes of moderate-intensity activity	90 minutes of moderate-intensity activity	
