key_droid	key_apple	base_value	lang_value	base_comment	lang_url
url_latest_videos		http://nutritionfacts.org/videos/	http://nutritionfacts.org/videos/		
title_how_not_to_die		How Not to Die	How Not to Die		
url_how_not_to_die		https://nutritionfacts.org/book/how-not-to-die/	https://nutritionfacts.org/book/how-not-to-die/		
title_cookbook		Cookbook	Cookbook		
url_cookbook		https://nutritionfacts.org/book/how-not-to-die-cookbook/	https://nutritionfacts.org/book/how-not-to-die-cookbook/		
title_how_not_to_diet		How Not to Diet	How Not to Diet		
url_how_not_to_diet		https://nutritionfacts.org/how-not-to-diet/	https://nutritionfacts.org/how-not-to-diet/		
daily_dozen_challenge		Daily Dozen Challenge	Daily Dozen Challenge		
url_daily_dozen_challenge		https://nutritionfacts.org/daily-dozen-challenge/	https://nutritionfacts.org/daily-dozen-challenge/		
url_donate		https://nutritionfacts.org/donate/	https://nutritionfacts.org/donate/		
url_subscribe		https://nutritionfacts.org/subscribe/	https://nutritionfacts.org/subscribe/		
url_open_source		https://nutritionfacts.org/open-source/	https://nutritionfacts.org/open-source/		
					
food_info_videos_beans		topics/beans	topics/beans		https://nutritionfacts.org/topics/beans
food_info_videos_berries		topics/berries	topics/berries		https://nutritionfacts.org/topics/berries
food_info_videos_fruits		topics/fruit	topics/fruit		https://nutritionfacts.org/topics/fruit
food_info_videos_cruciferous		topics/cruciferous-vegetables	topics/cruciferous-vegetables		https://nutritionfacts.org/topics/cruciferous-vegetables
food_info_videos_greens		topics/greens	topics/greens		https://nutritionfacts.org/topics/greens
food_info_videos_vegetables		topics/vegetables	topics/vegetables		https://nutritionfacts.org/topics/vegetables
food_info_videos_flaxseeds		topics/flax-seeds	topics/flax-seeds		https://nutritionfacts.org/topics/flax-seeds
food_info_videos_nuts		topics/nuts	topics/nuts		https://nutritionfacts.org/topics/nuts
food_info_videos_spices		topics/spices	topics/spices		https://nutritionfacts.org/topics/spices
food_info_videos_whole_grains		topics/grains	topics/grains		https://nutritionfacts.org/topics/grains
food_info_videos_beverages		topics/beverages	topics/beverages		https://nutritionfacts.org/topics/beverages
food_info_videos_exercise		topics/exercise	topics/exercise		https://nutritionfacts.org/topics/exercise
food_info_videos_vitamin_b12		topics/vitamin-b12	topics/vitamin-b12		https://nutritionfacts.org/topics/vitamin-b12
food_info_videos_vitamin_d		topics/vitamin-d-supplements	topics/vitamin-d-supplements		https://nutritionfacts.org/topics/vitamin-d-supplements
food_info_videos_omega3		topics/omega-3-fatty-acids	topics/omega-3-fatty-acids		https://nutritionfacts.org/topics/omega-3-fatty-acids
					
food_videos_beans[0]		topics/black-beans	topics/black-beans		https://nutritionfacts.org/topics/black-beans
food_videos_beans[1]					
food_videos_beans[2]					
food_videos_beans[3]					
food_videos_beans[4]		topics/chickpeas	topics/chickpeas		https://nutritionfacts.org/topics/chickpeas
food_videos_beans[5]		topics/edamame	topics/edamame		https://nutritionfacts.org/topics/edamame
food_videos_beans[6]					
food_videos_beans[7]					
food_videos_beans[8]		topics/kidney-beans	topics/kidney-beans		https://nutritionfacts.org/topics/kidney-beans
food_videos_beans[9]		topics/lentils	topics/lentils		https://nutritionfacts.org/topics/lentils
food_videos_beans[10]		topics/miso	topics/miso		https://nutritionfacts.org/topics/miso
food_videos_beans[11]		topics/navy-beans	topics/navy-beans		https://nutritionfacts.org/topics/navy-beans
food_videos_beans[12]		topics/pinto-beans	topics/pinto-beans		https://nutritionfacts.org/topics/pinto-beans
food_videos_beans[13]					
food_videos_beans[14]		topics/split-peas	topics/split-peas		https://nutritionfacts.org/topics/split-peas
food_videos_beans[15]		topics/tempeh	topics/tempeh		https://nutritionfacts.org/topics/tempeh
					
food_videos_berries[0]		topics/acai-berries	topics/acai-berries		https://nutritionfacts.org/topics/acai-berries
food_videos_berries[1]		topics/barberries	topics/barberries		https://nutritionfacts.org/topics/barberries
food_videos_berries[2]		topics/blackberries	topics/blackberries		https://nutritionfacts.org/topics/blackberries
food_videos_berries[3]		topics/blueberries	topics/blueberries		https://nutritionfacts.org/topics/blueberries
food_videos_berries[4]		topics/cherries	topics/cherries		https://nutritionfacts.org/topics/cherries
food_videos_berries[5]		topics/concord-grapes	topics/concord-grapes		https://nutritionfacts.org/topics/concord-grapes
food_videos_berries[6]		topics/cranberries	topics/cranberries		https://nutritionfacts.org/topics/cranberries
food_videos_berries[7]		topics/goji-berries	topics/goji-berries		https://nutritionfacts.org/topics/goji-berries
food_videos_berries[8]					
food_videos_berries[9]					
food_videos_berries[10]		topics/raspberries	topics/raspberries		https://nutritionfacts.org/topics/raspberries
food_videos_berries[11]		topics/strawberries	topics/strawberries		https://nutritionfacts.org/topics/strawberries
					
food_videos_other_fruits[0]		topics/apples	topics/apples		https://nutritionfacts.org/topics/apples
food_videos_other_fruits[1]		topics/apricots	topics/apricots		https://nutritionfacts.org/topics/apricots
food_videos_other_fruits[2]		topics/avocados	topics/avocados		https://nutritionfacts.org/topics/avocados
food_videos_other_fruits[3]		topics/bananas	topics/bananas		https://nutritionfacts.org/topics/bananas
food_videos_other_fruits[4]		topics/cantaloupe	topics/cantaloupe		https://nutritionfacts.org/topics/cantaloupe
food_videos_other_fruits[5]					
food_videos_other_fruits[6]		topics/dates	topics/dates		https://nutritionfacts.org/topics/dates
food_videos_other_fruits[7]		topics/figs	topics/figs		https://nutritionfacts.org/topics/figs
food_videos_other_fruits[8]		topics/grapefruit	topics/grapefruit		https://nutritionfacts.org/topics/grapefruit
food_videos_other_fruits[9]					
food_videos_other_fruits[10]		topics/kiwifruit	topics/kiwifruit		https://nutritionfacts.org/topics/kiwifruit
food_videos_other_fruits[11]		topics/lemons	topics/lemons		https://nutritionfacts.org/topics/lemons
food_videos_other_fruits[12]		topics/limes	topics/limes		https://nutritionfacts.org/topics/limes
food_videos_other_fruits[13]					
food_videos_other_fruits[14]		topics/mango	topics/mango		https://nutritionfacts.org/topics/mango
food_videos_other_fruits[15]					
food_videos_other_fruits[16]		topics/oranges	topics/oranges		https://nutritionfacts.org/topics/oranges
food_videos_other_fruits[17]		topics/papaya	topics/papaya		https://nutritionfacts.org/topics/papaya
food_videos_other_fruits[18]					
food_videos_other_fruits[19]		topics/peaches	topics/peaches		https://nutritionfacts.org/topics/peaches
food_videos_other_fruits[20]		topics/pears	topics/pears		https://nutritionfacts.org/topics/pears
food_videos_other_fruits[21]		topics/pineapples	topics/pineapples		https://nutritionfacts.org/topics/pineapples
food_videos_other_fruits[22]		topics/plums	topics/plums		https://nutritionfacts.org/topics/plums
food_videos_other_fruits[23]					
food_videos_other_fruits[24]		topics/pomegranates	topics/pomegranates		https://nutritionfacts.org/topics/pomegranates
food_videos_other_fruits[25]		topics/prunes	topics/prunes		https://nutritionfacts.org/topics/prunes
food_videos_other_fruits[26]					
food_videos_other_fruits[27]		topics/watermelon	topics/watermelon		https://nutritionfacts.org/topics/watermelon
					
food_videos_cruciferous_vegetables[0]					
food_videos_cruciferous_vegetables[1]		topics/bok-choy	topics/bok-choy		https://nutritionfacts.org/topics/bok-choy
food_videos_cruciferous_vegetables[2]		topics/broccoli	topics/broccoli		https://nutritionfacts.org/topics/broccoli
food_videos_cruciferous_vegetables[3]		topics/brussels-sprouts	topics/brussels-sprouts		https://nutritionfacts.org/topics/brussels-sprouts
food_videos_cruciferous_vegetables[4]		topics/cabbage	topics/cabbage		https://nutritionfacts.org/topics/cabbage
