key_droid	key_apple	base_value	lang_value	base_note	lang_note
food_info_videos_beans	dozeBeans.topic	topics/beans	topics/beans	https://nutritionfacts.org/topics/beans	
food_videos_beans.0	dozeBeans.Variety.topic.0	topics/black-beans	topics/black-beans	https://nutritionfacts.org/topics/black-beans	
food_videos_beans.1	dozeBeans.Variety.topic.1				
food_videos_beans.2	dozeBeans.Variety.topic.2				
food_videos_beans.3	dozeBeans.Variety.topic.3				
food_videos_beans.4	dozeBeans.Variety.topic.4	topics/chickpeas	topics/chickpeas	https://nutritionfacts.org/topics/chickpeas	
food_videos_beans.5	dozeBeans.Variety.topic.5	topics/edamame	topics/edamame	https://nutritionfacts.org/topics/edamame	
food_videos_beans.6	dozeBeans.Variety.topic.6				
food_videos_beans.7	dozeBeans.Variety.topic.7				
food_videos_beans.8	dozeBeans.Variety.topic.8	topics/kidney-beans	topics/kidney-beans	https://nutritionfacts.org/topics/kidney-beans	
food_videos_beans.9	dozeBeans.Variety.topic.9	topics/lentils	topics/lentils	https://nutritionfacts.org/topics/lentils	
food_videos_beans.10	dozeBeans.Variety.topic.10	topics/miso	topics/miso	https://nutritionfacts.org/topics/miso	
food_videos_beans.11	dozeBeans.Variety.topic.11	topics/navy-beans	topics/navy-beans	https://nutritionfacts.org/topics/navy-beans	
food_videos_beans.12	dozeBeans.Variety.topic.12	topics/pinto-beans	topics/pinto-beans	https://nutritionfacts.org/topics/pinto-beans	
food_videos_beans.13	dozeBeans.Variety.topic.13				
food_videos_beans.14	dozeBeans.Variety.topic.14	topics/split-peas	topics/split-peas	https://nutritionfacts.org/topics/split-peas	
food_videos_beans.15	dozeBeans.Variety.topic.15	topics/tempeh	topics/tempeh	https://nutritionfacts.org/topics/tempeh	
food_info_videos_berries	dozeBerries.topic	topics/berries	topics/berries	https://nutritionfacts.org/topics/berries	
food_videos_berries.0	dozeBerries.Variety.topic.0	topics/acai-berries	topics/acai-berries	https://nutritionfacts.org/topics/acai-berries	
food_videos_berries.1	dozeBerries.Variety.topic.1	topics/barberries	topics/barberries	https://nutritionfacts.org/topics/barberries	
food_videos_berries.2	dozeBerries.Variety.topic.2	topics/blackberries	topics/blackberries	https://nutritionfacts.org/topics/blackberries	
food_videos_berries.3	dozeBerries.Variety.topic.3	topics/blueberries	topics/blueberries	https://nutritionfacts.org/topics/blueberries	
food_videos_berries.4	dozeBerries.Variety.topic.4	topics/cherries	topics/cherries	https://nutritionfacts.org/topics/cherries	
food_videos_berries.5	dozeBerries.Variety.topic.5	topics/grapes	topics/grapes	https://nutritionfacts.org/topics/grapes	
food_videos_berries.6	dozeBerries.Variety.topic.6	topics/cranberries	topics/cranberries	https://nutritionfacts.org/topics/cranberries	
food_videos_berries.7	dozeBerries.Variety.topic.7	topics/goji-berries	topics/goji-berries	https://nutritionfacts.org/topics/goji-berries	
food_videos_berries.8	dozeBerries.Variety.topic.8				
food_videos_berries.9	dozeBerries.Variety.topic.9				
food_videos_berries.10	dozeBerries.Variety.topic.10	topics/raspberries	topics/raspberries	https://nutritionfacts.org/topics/raspberries	
