language	lang_value	
English_US	Peanuts	Peanuts
Bulgarian	Peanuts	Фъстъци
Catalan	Peanuts	Cacauets
Chinese_Simplified	Peanuts	花生
Chinese_Traditional	Peanuts	花生
Czech	Peanuts	Arašídy
French	Peanuts	Cacahuètes
German	Peanuts	Erdnüsse
Greek	Peanuts	Φιστίκια
Hebrew	Peanuts	בוטנים
Italian	Peanuts	Arachidi
Polish	Peanuts	Orzeszki ziemne
Portuguese_Brazil	Peanuts	Amendoins
Portuguese_Portugal	Peanuts	Amendoim
Romanian	Peanuts	Arahide
Russian	Peanuts	Арахис
Slovak	Peanuts	Arašidy
Spanish	Peanuts	Cacahuete
