key_droid	key_apple	base_value	lang_value	base_note	lang_note
food_info_types_beans.10	dozeBeans.Variety.Text.10	Navy beans	Navy beans		
food_info_types_beans.11	dozeBeans.Variety.Text.11	Pinto beans	Pinto beans		
food_info_types_beans.12	dozeBeans.Variety.Text.12	Small red beans	Small red beans		
food_info_types_beans.13	dozeBeans.Variety.Text.13	Split peas (yellow or green)	Split peas (yellow or green)		
food_info_types_beans.14	dozeBeans.Variety.Text.14	Tempeh	Tempeh		
food_info_types_beverages.7	dozeBeverages.Variety.Text.7	Jasmine tea	Jasmine tea		
food_info_types_beverages.8	dozeBeverages.Variety.Text.8	Lemon balm tea	Lemon balm tea		
food_info_types_beverages.9	dozeBeverages.Variety.Text.9	Matcha tea	Matcha tea		
food_info_types_beverages.10	dozeBeverages.Variety.Text.10	Almond blossom oolong tea	Almond blossom oolong tea		
food_info_types_beverages.11	dozeBeverages.Variety.Text.11	Peppermint tea	Peppermint tea		
food_info_types_beverages.12	dozeBeverages.Variety.Text.12	Rooibos tea	Rooibos tea		
food_info_types_beverages.13	dozeBeverages.Variety.Text.13	Water	Water		
food_info_types_beverages.14	dozeBeverages.Variety.Text.14	White tea	White tea		
food_info_types_nuts.1	dozeNuts.Variety.Text.1	Cashews	Cashews		
food_info_types_nuts.2	dozeNuts.Variety.Text.2	Chia seeds	Chia seeds		
food_info_types_nuts.3	dozeNuts.Variety.Text.3	Hazelnuts	Hazelnuts		
food_info_types_nuts.4	dozeNuts.Variety.Text.4	Hemp seeds	Hemp seeds		
food_info_types_nuts.5	dozeNuts.Variety.Text.5	Macadamia nuts	Macadamia nuts		
food_info_types_nuts.6	dozeNuts.Variety.Text.6	Peanuts	Peanuts		
food_info_types_nuts.7	dozeNuts.Variety.Text.7	Pecans	Pecans		
food_info_types_nuts.8	dozeNuts.Variety.Text.8	Pistachios	Pistachios		
food_info_types_nuts.9	dozeNuts.Variety.Text.9	Pumpkin seeds	Pumpkin seeds		
food_info_types_nuts.10	dozeNuts.Variety.Text.10	Sesame seeds	Sesame seeds		
food_info_types_nuts.11	dozeNuts.Variety.Text.11	Sunflower seeds	Sunflower seeds		
food_info_types_nuts.12	dozeNuts.Variety.Text.12	Walnuts	Walnuts		
