key_droid	key_apple	base_value	lang_value	base_note	lang_note
	urlSegment.base	urlSegment.base	https://nutritionfacts.org/	URL path	
	urlSegment.lang	urlSegment.lang			
	urlSegmentInfoMenu.book	urlSegmentInfoMenu.book	book/how-not-to-die	main info menu: book	
	urlSegmentInfoMenu.challenge	urlSegmentInfoMenu.challenge	daily-dozen-challenge	main info menu: daily-dozen-challenge	
	urlSegmentInfoMenu.cookbook	urlSegmentInfoMenu.cookbook	book/how-not-to-die-cookbook	main info menu: cookbook	
	urlSegmentInfoMenu.diet	urlSegmentInfoMenu.diet	book/how-not-to-diet	main info menu: how-not-to-diet	
	urlSegmentInfoMenu.donate	urlSegmentInfoMenu.donate	donate	main info menu: donate	
	urlSegmentInfoMenu.source	urlSegmentInfoMenu.source	open-source	main info menu: open-source	
	urlSegmentInfoMenu.subscribe	urlSegmentInfoMenu.subscribe	subscribe	main info menu: subscribe	
	urlSegmentInfoMenu.team	urlSegmentInfoMenu.team	team	team	
	urlSegmentInfoMenu.videos	urlSegmentInfoMenu.videos	videos	main info menu: videos	
url_cookbook		https://nutritionfacts.org/book/how-not-to-die-cookbook/	https://nutritionfacts.org/book/how-not-to-die-cookbook/	Book URL: How Not to Die Cookbook	
url_daily_dozen_challenge		https://nutritionfacts.org/daily-dozen-challenge/	https://nutritionfacts.org/daily-dozen-challenge/	Info URL: Daily Dozen Challenge	
url_donate		https://nutritionfacts.org/donate/	https://nutritionfacts.org/donate/	Info URL: Donate	
url_how_not_to_die		https://nutritionfacts.org/book/how-not-to-die/	https://nutritionfacts.org/book/how-not-to-die/	Book URL: How Not to Die	
url_how_not_to_diet		https://nutritionfacts.org/book/how-not-to-diet/	https://nutritionfacts.org/book/how-not-to-diet/	Book URL: How Not to Diet	
url_latest_videos		http://nutritionfacts.org/videos/	http://nutritionfacts.org/videos/	Videos URL: Latest Videos	
url_open_source		https://nutritionfacts.org/open-source/	https://nutritionfacts.org/open-source/	Info URL: Open Source	
url_subscribe		https://nutritionfacts.org/subscribe/	https://nutritionfacts.org/subscribe/	Info URL: Subscribe	
