language	done	key_droid	key_apple	base_value	lang_value	base_note	lang_note
Bulgarian_bg	no		apple_store_description.2	In the years of research required to create the more than two-thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	В годините на изследвания, необходими за създаването на повече от хиляда базирани на доказателства видеоклипове на неговия уебсайт NutritionFacts.org, Майкъл Грегър, доктор по медицина, FACLM, стигна до списък с това, което смята за най-важните храни, които да включи в здравословния си ежедневен прием диета.		
Bulgarian_bg	no		apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Всичките му приходи от неговите книги, DVD дискове и участия са дарени за благотворителност.		
Bulgarian_bg	no		apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org е обществена услуга с некомерсиална цел с нестопанска цел, основана на науката, предоставяна от д-р Грегър, предоставяща безплатни ежедневни актуализации за най-новите изследвания в областта на храненето чрез кратки видеоклипове. Той има почти хиляда видеоклипа за всеки аспект на здравословното хранене, като всеки ден се качват нови видеоклипове и статии.		
Bulgarian_bg	no	store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen - It’s your regular routine that determines your long-term health. Download today!	Daily Dozen на д-р Грегър Това е вашата редовна рутина, която определя дългосрочното ви здраве. Изтеглете днес!		
Bulgarian_bg	no	android_store_description.1		All proceeds from his books, DVDs, and speaking engagements are donated to charity.	Всичките му приходи от неговите книги, DVD-та и ангажименти за изказвания са дарени за благотворителност.		
Bulgarian_bg	no	android_store_description.2		NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org е некомерсиална, обществена услуга с нестопанска цел, основана на науката, предоставяна от д-р Грегър, предоставяща безплатни ежедневни актуализации за най-новите изследвания в областта на храненето чрез кратки видеоклипове. Той има почти хиляда видеоклипа за всеки аспект на здравословното хранене, като всеки ден се качват нови видеоклипове и статии. Подобно на това приложение, всичко на уебсайта е както без реклами, така и безплатно.		
Catalan_ca	yes		apple_store_description.2	In the years of research required to create the more than two-thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	Amb els anys de recerca necessaris per crear els més de dos mil vídeos basats en l’evidència que té al seu web NutritionFacts.org, Michael Greger, M.D., FACLM, ha arribat a establir quins són, per ell, els aliments més importants per seguir una alimentació diària saludable.		
Catalan_ca	yes		apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Tots els beneficis dels seus llibres, DVDs i conferències es donen a la caritat.		
Catalan_ca	yes		apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org és un servei públic no comercial, sense ànim de lucre, basat en la ciència conduït pel Dr. Greger, oferint contingut diari gratuït sobre les últimes recerques en nutrició per mitjà de vídeos curts. Pots trobar-hi milers de vídeos sobre qualsevol aspecte de l'alimentació saludable, amb nous vídeos i articles publicats cada dia.		
Catalan_ca	yes	store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen - It’s your regular routine that determines your long-term health. Download today!	La Dotzena Diària del Dr. Greger és la teva rutina regular que determina la teva salut a llarg termini. Descarrega-te-la avui!		
Catalan_ca	yes	android_store_description.1		All proceeds from his books, DVDs, and speaking engagements are donated to charity.	Tots els beneficis dels seus llibres, DVDs i conferències es donen a la caritat.		
Catalan_ca	yes	android_store_description.2		NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org és un servei públic no comercial, sense ànim de lucre, basat en la ciència conduït pel Dr. Greger, oferint contingut diari gratuït sobre les últimes recerques en nutrició per mitjà de vídeos curts. Pots trobar-hi milers de vídeos sobre qualsevol aspecte de l'alimentació saludable, amb nous vídeos i articles publicats cada dia. Igual que aquesta aplicació, tot el contingut del web està lliure d'anuncis i és gratuït.		
Chinese_Simplified_zh-Hans	yes		apple_store_description.2	In the years of research required to create the more than two-thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	迈克尔·格雷格医生（Michael Greger, M.D, FACLM）经过多年的研究，制作了两千多个科学实证的视频发布在他的网站 NutritionFacts.org 上，并列出了一份他认为日常健康饮食中最重要的食物清单。	 	
Chinese_Simplified_zh-Hans	yes		apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	他所有的书籍、DVD和演讲收益都捐赠给了慈善机构。		
Chinese_Simplified_zh-Hans	yes		apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org是由格雷格医生提供的非商业性、非营利性、基於科学的公共服务。该网站每天提供最新营养研究的免费更新，内容通过简短的视频呈现。网站上有超过两千个关於健康饮食各个方面的视频，并且每天都有新的视频和文章上传。		
Chinese_Simplified_zh-Hans	yes	store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen - It’s your regular routine that determines your long-term health. Download today!	决定我们长期健康的，是每天日常的生活习惯。今天就下载格雷格医生的“每日12清单”吧！		
Chinese_Simplified_zh-Hans	yes	android_store_description.1		All proceeds from his books, DVDs, and speaking engagements are donated to charity.	他所有的书籍、DVD和演讲收益都捐赠给了慈善机构。		
Chinese_Simplified_zh-Hans	yes	android_store_description.2		NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org是由格雷格医生提供的非商业性、非营利性、基於科学的公共服务。该网站每天提供最新营养研究的免费更新，内容通过简短的视频呈现。网站上有超过两千个关於健康饮食各个方面的视频，并且每天都有新的视频和文章上传。正如此应用程序，该网站上的所有内容都不含广告并且免费。		
Chinese_Traditional_zh-Hant	yes		apple_store_description.2	In the years of research required to create the more than two-thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	麥克·葛雷格醫師（Michael Greger, M.D, FACLM）經過多年的研究，製作了兩千多個科學實證的影片發佈在他的網站 NutritionFacts.org 上，並列出了一份他認為日常健康飲食中最重要的食物清單。		
Chinese_Traditional_zh-Hant	yes		apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	他所有的書籍、DVD和演講收益都捐贈給了慈善機構。		
Chinese_Traditional_zh-Hant	yes		apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org是由葛雷格醫師提供的非商業性、非營利性、基於科學的公共服務。該網站每天提供最新營養研究的免費更新，內容通過簡短的影片呈現。網站上有上千個關於健康飲食各個方面的影片，並且每天都有新的影片和文章上傳。		
Chinese_Traditional_zh-Hant	yes	store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen - It’s your regular routine that determines your long-term health. Download today!	決定我們長期健康的，是每天日常的生活習慣。今天就下載葛雷格醫師的「每日12清單」吧！		
Chinese_Traditional_zh-Hant	yes	android_store_description.1		All proceeds from his books, DVDs, and speaking engagements are donated to charity.	他所有的書籍、DVD和演講收益都捐贈給了慈善機構。		
Chinese_Traditional_zh-Hant	yes	android_store_description.2		NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org是由葛雷格醫師提供的非商業性、非營利性、基於科學的公共服務。該網站每天提供最新營養研究的免費更新，內容通過簡短的影片呈現。網站上有上千個關於健康飲食各個方面的影片，並且每天都有新的影片和文章上傳。與此應用程序一樣，該網站上的所有內容都不含廣告並且免費。		
Czech_cs	yes		apple_store_description.2	In the years of research required to create the more than two-thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	Po letech výzkumu potřebných k vytvoření více než dvou tisíc videí, které jsou založené na důkazech a uveřejněné na webových stránkách NutritionFacts.org, dospěl Michael Greger, MD, FACLM, k seznamu toho, co považuje za nejdůležitější potraviny, které je třeba zahrnout do každodenní zdravé stravy.		
Czech_cs	yes		apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Všechny výnosy z jeho knih, DVD a řečnických setkání jsou věnovány na charitativní účely.		
Czech_cs	yes		apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org je nekomerční a nezisková veřejná služba poskytovaná Dr. Gregerem. Je založena na vědeckých výzkumech a poskytuje bezplatné denní aktualizace o nejnovějším výzkumu výživy prostřednictvím krátkých videí. Obsahuje více než dva tisíce videí věnovaných každému aspektu zdravé výživy. Každý den jsou nahrávána nová videa a články.		
Czech_cs	yes	store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen - It’s your regular routine that determines your long-term health. Download today!	Denní Dvanáctka Dr. Gregera: Vaše pravidelná rutina je tím, co určuje vaše dlouhodobé zdraví. Stáhněte si aplikaci ještě dnes!		
Czech_cs	yes	android_store_description.1		All proceeds from his books, DVDs, and speaking engagements are donated to charity.	Veškerý výtěžek z jeho knih, DVD a řečnických setkání je věnován na charitu.		
