key_droid	key_apple	base_value	lang_value	base_note
	apple.info.about.0	Welcome to my Daily Dozen!	Welcome to my Daily Dozen!	
	apple.info.about.1	Use this app on a daily basis to keep track of the foods and advice I recommend for optimal health and longevity in my books How Not to Die and How Not to Diet.	Use this app on a daily basis to keep track of the foods and advice I recommend for optimal health and longevity in my books How Not to Die and How Not to Diet.	
	apple.info.about.2	Daily Dozen	Daily Dozen	
	apple.info.about.3	version 3.2.15	version 3.2.15	
	apple.info.about.4	This app was created by: NutritionFacts.org, Christi Richards, Konstantin Khokhlov, and Marc Campbell	This app was created by: NutritionFacts.org, Christi Richards, Konstantin Khokhlov, and Marc Campbell	
	apple.info.about.5	The following open source libraries are used: RealmSwift, Charts, FSCalendar, SimpleAnimation, ActiveLabel.	The following open source libraries are used: RealmSwift, Charts, FSCalendar, SimpleAnimation, ActiveLabel.	
OK	dozeOtherInfo.confirm	OK	OK	
	dozeOtherInfo.message	Vitamin B12 is essential for your health but does not count towards your daily servings.\n\nVitamin B12 is included in this app to provide you with an easy way to track your intake.	Vitamin B12 is essential for your health but does not count towards your daily servings.\n\nVitamin B12 is included in this app to provide you with an easy way to track your intake.	
	dozeOtherInfo.title	Supplements	Supplements	
	historyRecordDoze.heading	Servings History	Servings History	
	historyRecordDoze.legend	Servings	Servings	
	historyRecordTweak.heading	Tweaks History	Tweaks History	
tweaks	historyRecordTweak.legend	Tweaks	Tweaks	
weight_history	historyRecordWeight.heading	Weight History	Weight History	
evening	historyRecordWeight.legendEvening	Evening	Evening	
morning	historyRecordWeight.legendMorning	Morning	Morning	
	historyRecordWeight.titleImperial	Weight (lbs)	Weight (lbs)	
	historyRecordWeight.titleMetric	Weight (kg)	Weight (kg)	
about_this_app	info.about.title	About this app	About this app	
	navtab.doze	Daily Dozen	Daily Dozen	
	navtab.info	Information	Information	
	navtab.preferences	Preferences	Preferences	
	navtab.tweaks	21 Tweaks	21 Tweaks	
format_num_days	streakDaysFormat	%d days	%d days	Formatted string %d days
imperial	unitToggle.imperial	imperial	imperial	
metric	unitToggle.metric	metric	metric	
videos	videos.link.label	VIDEOS	VIDEOS	Keyword for link to video topics
weight	weightEntry.heading	Weight	Weight	
	weightEntry.kilograms	kg	kg	
	weightEntry.pounds	lbs	lbs	
about_tweak		About Tweak		
android.about_text_lines.0		This app was created by John Slavick.	This app was created by John Slavick.	
