key_droid	key_apple	base_value	lang_value	base_note
OK		OK		
about		About		
about_text_lines.0		This app was created by John Slavick.		
about_text_lines.1				
about_text_lines.2		The following open source libraries are used: ActiveAndroid, android-iconify, ButterKnife, EventBus, LikeAnimation, and MPAndroidChart.		
about_text_lines.3				
about_text_lines.4		Special thanks to the volunteer efforts of the creators of the previous app: Chan Kruse, Allan Portera, and Sangeeta Kumar.		
about_this_app		About this app		
about_tweak		About Tweak		
activity_welcome_text		Use this app on a daily basis to keep track of the foods I recommend for optimal health and longevity in my book How Not to Die.		
app_name		Daily Dozen		
average_weight_on_day		Average weight on day		
back_to_today		Back to today		
backup		Backup		
backup_failed		Backup failed		
backup_instructions_lines.0		Follow these steps to restore this backup in the Daily Dozen app		
backup_instructions_lines.1				
backup_instructions_lines.2		1. The Daily Dozen app must be installed on your Android phone. You can download it here: https://play.google.com/store/apps/details?id=org.nutritionfacts.dailydozen		
backup_instructions_lines.3				
backup_instructions_lines.4		2. Tap on the backup file attached to this email.		
backup_instructions_lines.5				
backup_instructions_lines.6		3. Select Open with Daily Dozen		
backup_success		Backup successful		
beans		Beans		
berries		Berries		
beverages		Beverages		
channel_reminders_name		Reminders		
complete_intentions		Complete Your Implementation Intentions		
complete_intentions_short		Complete Your Implementation Intentions		
complete_intentions_text		Every two months, create three new implementation intentions—"if X, then Y" plans to perform a particular behavior in a specific context—and check each one of them off as you complete them every day.		
cruciferous_vegetables		Cruciferous Vegetables		
daily_blackcumin		Black Cumin (¼ tsp)		
daily_blackcumin_short		Black Cumin (Nigella sativa) (¼ tsp)		
daily_blackcumin_text		As noted in the Appetite Suppression section, a systematic review and meta-analysis of randomized, controlled weight-loss trials found that about a quarter teaspoon of black cumin powder every day appears to reduce body mass index within a span of a couple of months. Note that black cumin is different from regular cumin, for which the dosing is different.		
daily_cumin		Cumin (½ tsp with lunch and dinner)		
daily_cumin_short		Cumin (Cuminum cyminum) (½ tsp with lunch and dinner)		
daily_cumin_text		Overweight women randomized to add a half teaspoon of cumin to their lunches and dinners beat out the control group by four more pounds and an extra inch off their waists. There is also evidence to support the use of the spice saffron, but a pinch a day would cost a dollar, whereas a teaspoon of cumin costs less than ten cents.		
daily_deflourdiet		Deflour Your Diet		
