key_droid	key_apple	base_value	lang_value	base_note
OK			OK	
about			À propos	
about_text_lines.0			Cette application a été créée par John Slavick.	
about_text_lines.1				
about_text_lines.2			Les bibliothèques open source suivantes sont utilisées: ActiveAndroid, android-iconify, ButterKnife, EventBus, LikeAnimation et MPAndroidChart.	
about_text_lines.3				
about_text_lines.4			Un grand merci aux efforts bénévoles des créateurs de l\'application précédente: Chan Kruse, Allan Portera et Sangeeta Kumar.	
about_this_app			À propos de cette application	
about_tweak			À propos de Tweak	
activity_welcome_text			Utilisez cette application quotidiennement pour suivre les aliments que je recommande pour une santé et une longévité optimales dans mon livre How Not to Die.	
app_name			Daily Dozen	
average_weight_on_day			Poids moyen le jour	
back_to_today			Retour à aujourd\'hui	
backup			Sauvegarde	
backup_failed			Échec de la sauvegarde	
backup_instructions_lines.0			Suivez ces étapes pour restaurer cette sauvegarde dans l\'application Daily Dozen	
backup_instructions_lines.1				
backup_instructions_lines.2			1. L\'application Daily Dozen doit être installée sur votre téléphone Android. Vous pouvez le télécharger ici: https://play.google.com/store/apps/details?id=org.nutritionfacts.dailydozen	
backup_instructions_lines.3				
backup_instructions_lines.4			2. Tapez sur le fichier de sauvegarde joint à ce courriel.	
backup_instructions_lines.5				
backup_instructions_lines.6			3. Sélectionnez Ouvrir avec Daily Dozen	
backup_success			Sauvegarde réussie	
beans			Légumineuses	
berries			Baies	
beverages			Boissons	
channel_reminders_name			Des rappels	
complete_intentions			Complétez vos intentions de mise en œuvre	
complete_intentions_short			Complétez vos intentions de mise en œuvre	
complete_intentions_text			Tous les deux mois, créez trois nouvelles intentions d\'implémentation - «si X, puis Y» prévoit d\'exécuter un comportement particulier dans un contexte spécifique - et cochez chacune d\'elles au fur et à mesure que vous les réalisez chaque jour.	
cruciferous_vegetables			Crucifères	
daily_blackcumin			Cumin noir (¼ c. À thé)	
daily_blackcumin_short			Cumin noir (Nigella sativa) (¼ c. À thé)	
daily_blackcumin_text			Comme indiqué dans la section Suppression de l\'appétit, une revue systématique et une méta-analyse d\'essais de perte de poids contrôlés randomisés ont révélé qu\'environ un quart de cuillère à café de poudre de cumin noir par jour semble réduire l\'indice de masse corporelle en l\'espace de quelques mois. Notez que le cumin noir est différent du cumin ordinaire, pour lequel le dosage est différent.	
daily_cumin			Cumin (½ cuillère à café avec déjeuner et dîner)	
daily_cumin_short			Cumin (Cuminum cyminum) (½ cuillère à café avec déjeuner et dîner)	
daily_cumin_text			Les femmes en surpoids randomisées pour ajouter une demi-cuillère à café de cumin à leurs déjeuners et dîners ont battu le groupe témoin de quatre livres de plus et un pouce supplémentaire de leur taille. Il existe également des preuves pour soutenir l\'utilisation du safran aux épices, mais une pincée par jour coûterait un dollar, tandis qu\'une cuillère à café de cumin coûte moins de dix cents.	
daily_deflourdiet			Décorez votre alimentation	
daily_deflourdiet_short			Décorez votre alimentation	
daily_deflourdiet_text			Cochez cette case chaque jour, vos portions de grains entiers sont sous forme de grains intacts. La poudre de grains entiers, même à 100 pour cent, prive nos microbiomes de l\'amidon qui, autrement, serait transporté vers nos colons enfermés dans des parois cellulaires ininterrompues.	
daily_dozen_and_tweaks			Douzaine quotidienne 21 réglages	
daily_dozen_only			Douzaine quotidienne seulement	
daily_frontload			Chargez vos calories à l\'avance	
daily_frontload_short			Chargez vos calories à l\'avance	
daily_frontload_text			Il y a des avantages métaboliques à distribuer plus de calories plus tôt dans la journée, alors faites le petit déjeuner (idéalement) ou déjeunez votre plus grand repas de la journée dans un vrai style roi / prince / pauvre.	
daily_garlic			Poudre d\'ail (¼ c. À thé)	
daily_garlic_short			Poudre d\'ail (¼ c. À thé)	
daily_garlic_text			Des études randomisées, en double aveugle et contrôlées par placebo ont révélé que seulement un quart de cuillère à café de poudre d\'ail par jour peut réduire la graisse corporelle à un coût de peut-être deux cents par jour.	
daily_ginger			Gingembre moulu (1 c. À thé) ou poivre de Cayenne (½ c. À thé)	
daily_ginger_short			Gingembre moulu (1 c. À thé) ou poivre de Cayenne (½ c. À thé)	
daily_ginger_text			Des essais contrôlés randomisés ont révélé que ¼ cuillère à café à 1½ cuillères à café par jour de gingembre moulu diminuait considérablement le poids corporel pour quelques centimes par jour. Cela peut être aussi simple que de mélanger les épices moulues dans une tasse d\'eau chaude. Remarque: le gingembre peut mieux fonctionner le matin que le soir. Le thé Chai est une façon savoureuse de combiner les astuces thé vert et gingembre en une seule boisson. Alternativement, pour l\'activation des MTD, vous pouvez ajouter un piment jalapeño cru ou une demi-cuillère à café de poudre de poivron rouge (ou, vraisemblablement, des flocons de piment rouge broyés) dans votre alimentation quotidienne. Pour aider à combattre la chaleur, vous pouvez trancher très finement ou hacher finement le jalapeño pour réduire sa morsure en petits piquants, ou mélanger le poivron rouge dans la soupe ou le smoothie aux légumes complet que j\'ai présenté dans l\'une de mes vidéos de cuisine sur NutritionFacts.org .	
daily_greentea			Thé vert (3 tasses)	
daily_greentea_short			Thé vert (3 tasses)	
daily_greentea_text			Buvez trois tasses par jour entre les repas (en attendant au moins une heure après un repas pour ne pas interférer avec l\'absorption du fer). Pendant les repas, buvez de l\'eau, du café noir ou du thé d\'hibiscus mélangé 6: 1 avec de la verveine citronnée, mais ne dépassez jamais trois tasses de liquide par heure (important compte tenu de mes conseils de précharge d\'eau). Profitez de l\'effet renforçant de la caféine en buvant votre thé vert avec quelque chose de sain que vous aimeriez plus, mais ne consommez pas de grandes quantités de caféine dans les six heures avant le coucher. Il est préférable de prendre votre thé sans édulcorant, mais si vous adoucissez généralement votre thé avec du miel ou du sucre, essayez plutôt le sirop de yacon.	
daily_hydrate			Restez hydraté	
daily_hydrate_short			Restez hydraté	
daily_hydrate_text			Cochez cette case si votre urine n\'apparaît jamais plus sombre qu\'un jaune pâle. Notez que si vous mangez des aliments enrichis en riboflavine (tels que des levures nutritionnelles), basez-vous plutôt sur l\'obtention de neuf tasses de boissons non sucrées par jour pour les femmes (ce qui serait pris en charge par les recommandations de précharge de thé vert et d\'eau) ou treize tasses par jour pour les hommes. Si vous avez des problèmes cardiaques ou rénaux, n\'augmentez pas du tout l\'apport liquidien sans en parler d\'abord avec votre médecin. Rappelez-vous, le soda diététique peut être sans calories, mais ce n\'est pas sans conséquence, comme nous l\'avons appris dans la section faible en sucre ajouté.	
daily_nutriyeast			Levure nutritionnelle (2 c. À thé)	
daily_nutriyeast_short			Levure nutritionnelle (2 c. À thé)	
daily_nutriyeast_text			Deux cuillères à café de levure de boulangerie, de bière ou de levure nutritionnelle contiennent à peu près la quantité de glucanes bêta 1,3 / 1,6 trouvés dans des essais cliniques randomisés, en double aveugle et contrôlés par placebo pour faciliter la perte de poids.	
daily_reminder_settings			Paramètres du rappel quotidien	
daily_reminder_text			Mettez à jour vos portions pour aujourd\'hui	
daily_reminder_title			Rappel journalier	
daily_servings_history			Historique des portions quotidiennes	
daily_timerestrict			Limitez votre temps à manger	
daily_timerestrict_short			Limitez votre temps à manger	
daily_timerestrict_text			Limitez votre consommation à une période quotidienne de votre choix de moins de douze heures à laquelle vous pouvez vous conformer de façon cohérente, sept jours par semaine. Étant donné les avantages circadiens de la réduction de la consommation de nourriture en soirée, la fenêtre devrait se terminer avant 19h00.	
daily_tweaks_history			Historique des modifications quotidiennes	
debug			Déboguer	
debug_clear_data			Effacer toutes les données	
debug_clear_data_message			Cela supprimera toutes les portions saisies. Souhaitez-vous continuer?	
debug_generate_data_message			Toutes les données existantes seront remplacées. Souhaitez-vous continuer?	
debug_generate_full_data			Générer des données complètes	
debug_generate_random_data			Générer des données aléatoires	
debug_generate_weight_data			Générer des données de poids	
dialog_ask_user_to_rate_app_message			Veuillez nous faire part de vos commentaires dans le Play Store.	
dialog_ask_user_to_rate_app_title			Aimez-vous cette application?	
dialog_no_email_apps_message			Pour sauvegarder vos données, vous devez disposer d\'une application de messagerie électronique pour que vous puissiez envoyer par courriel le fichier de sauvegarde .csv. Veuillez installer une application de messagerie et réessayer.	
dialog_no_email_apps_title			Aucune application de messagerie électronique trouvée	
dialog_streaks_message			Votre base de données sera maintenant mise à niveau pour prendre en charge la nouvelle fonctionnalité des tendances.	
dialog_streaks_title			Nouvelle fonctionnalité: Tendances!	
donate			Faire un don	
enable_daily_reminder			Activer le rappel quotidien	
error_cannot_handle_url			Impossible d\'ouvrir l\'url. Veuillez installer un navigateur.	
evening			Soir	
exercise			Exercice	
exercise_timing			Optimiser la synchronisation des exercices	
exercise_timing_short			Optimiser la synchronisation des exercices	
exercise_timing_text			La recommandation du Daily Dozen pour une durée d\'exercice optimale pour la longévité est de quatre-vingt-dix minutes d\'activité modérément intense par jour, ce qui est également la durée d\'exercice optimale pour la perte de poids. N\'importe quand est bon, et plus c\'est mieux, mais il peut y avoir un avantage à faire de l\'exercice à jeun, au moins six heures après votre dernier repas. En règle générale, cela signifie avant le petit-déjeuner, mais si vous avez choisi le bon moment, vous pouvez faire de l\'exercice avant un déjeuner tardif ou, si le déjeuner est mangé suffisamment tôt, avant le dîner. C\'est le moment pour les non diabétiques. Les diabétiques et les prédiabétiques devraient plutôt commencer à faire de l\'exercice trente minutes après le début d\'un repas et idéalement pendant au moins une heure pour chevaucher complètement le pic de sucre dans le sang. Si vous deviez choisir un seul repas pour faire de l\'exercice après, ce serait le dîner, en raison du rythme circadien du contrôle de la glycémie qui diminue tout au long de la journée. Idéalement, cependant, le petit-déjeuner serait le plus gros repas de la journée, et vous feriez de l\'exercice après cela - ou, mieux encore, après chaque repas.	
flaxseeds			Graines de lin	
food_history			Historique alimentaire	
food_info			Alimentation	
food_info_serving_sizes_beans_imperial.0			¼ tasse	
food_info_serving_sizes_beans_imperial.1			½ tasse	
food_info_serving_sizes_beans_imperial.2			1 tasse	
food_info_serving_sizes_beans_metric.0			60 g	
food_info_serving_sizes_beans_metric.1			130 g	
food_info_serving_sizes_beans_metric.2			150 g	
food_info_serving_sizes_berries_imperial.0			½ tasse	
food_info_serving_sizes_berries_imperial.1			¼ tasse	
food_info_serving_sizes_berries_metric.0			60 g	
food_info_serving_sizes_berries_metric.1			40 g	
food_info_serving_sizes_beverages_imperial.0			12 onces	
food_info_serving_sizes_beverages_metric.0			350 ml	
food_info_serving_sizes_cruciferous_vegetables_imperial.0			½ tasse	
food_info_serving_sizes_cruciferous_vegetables_imperial.1			¼ tasse	
food_info_serving_sizes_cruciferous_vegetables_imperial.2				
food_info_serving_sizes_cruciferous_vegetables_metric.0			30–80 g	
food_info_serving_sizes_cruciferous_vegetables_metric.1			12 g	
food_info_serving_sizes_cruciferous_vegetables_metric.2				
food_info_serving_sizes_exercise_imperial.0				
food_info_serving_sizes_exercise_imperial.1				
food_info_serving_sizes_exercise_metric.0				
food_info_serving_sizes_exercise_metric.1				
