key_droid	key_apple	base_value	lang_value	base_note
OK		OK	OK	
about_text_lines.0		This app was created by John Slavick.	Cette application a été créée par John Slavick.	
about_text_lines.1				
about_text_lines.2		The following open source libraries are used: ActiveAndroid, android-iconify, ButterKnife, EventBus, LikeAnimation, and MPAndroidChart.	Les bibliothèques open source suivantes sont utilisées: ActiveAndroid, android-iconify, ButterKnife, EventBus, LikeAnimation et MPAndroidChart.	
about_text_lines.3				
about_text_lines.4		Special thanks to the volunteer efforts of the creators of the previous app: Chan Kruse, Allan Portera, and Sangeeta Kumar.	Un grand merci aux efforts bénévoles des créateurs de l\'application précédente: Chan Kruse, Allan Portera et Sangeeta Kumar.	
about_this_app		About this app	À propos de cette application	
about_tweak		About Tweak	À propos de Tweak	
average_weight_on_day		Average weight on day	Poids moyen le jour	
backup		Backup	Sauvegarde	
backup_failed		Backup failed	Échec de la sauvegarde	
backup_instructions_lines.0		Follow these steps to restore this backup in the Daily Dozen app	Suivez ces étapes pour restaurer cette sauvegarde dans l\'application Daily Dozen	
backup_instructions_lines.1				
backup_instructions_lines.2		1. The Daily Dozen app must be installed on your Android phone. You can download it here: https://play.google.com/store/apps/details?id=org.nutritionfacts.dailydozen	1. L\'application Daily Dozen doit être installée sur votre téléphone Android. Vous pouvez le télécharger ici: https://play.google.com/store/apps/details?id=org.nutritionfacts.dailydozen	
backup_instructions_lines.3				
backup_instructions_lines.4		2. Tap on the backup file attached to this email.	2. Tapez sur le fichier de sauvegarde joint à ce courriel.	
backup_instructions_lines.5				
backup_instructions_lines.6		3. Select Open with Daily Dozen	3. Sélectionnez Ouvrir avec Daily Dozen	
backup_success		Backup successful	Sauvegarde réussie	
channel_reminders_name		Reminders	Des rappels	
daily_servings_history		Daily Servings History	Historique des portions quotidiennes	
daily_tweaks_history		Daily Tweaks History	Historique des modifications quotidiennes	
debug		Debug	Déboguer	
debug_clear_data		Clear all data	Effacer toutes les données	
debug_clear_data_message		This will delete all entered Servings. Do you wish to continue?	Cela supprimera toutes les portions saisies. Souhaitez-vous continuer?	
debug_generate_data_message		All existing data will be replaced. Do you wish to continue?	Toutes les données existantes seront remplacées. Souhaitez-vous continuer?	
debug_generate_full_data		Generate full data	Générer des données complètes	
debug_generate_random_data		Generate random data	Générer des données aléatoires	
debug_generate_weight_data		Generate Weight Data	Générer des données de poids	
dialog_ask_user_to_rate_app_message		Please give us feedback in the Play Store.	Veuillez nous faire part de vos commentaires dans le Play Store.	
dialog_ask_user_to_rate_app_title		Do you like this app?	Aimez-vous cette application?	
dialog_no_email_apps_message		Backing up your data requires you to have an email app installed so you can email the .csv backup file to yourself. Please install an email app and try again.	Pour sauvegarder vos données, vous devez disposer d\'une application de messagerie électronique pour que vous puissiez envoyer par courriel le fichier de sauvegarde .csv. Veuillez installer une application de messagerie et réessayer.	
dialog_no_email_apps_title		No email apps found	Aucune application de messagerie électronique trouvée	
dialog_streaks_message		Your database will now be upgraded to support the new streaks feature.	Votre base de données sera maintenant mise à niveau pour prendre en charge la nouvelle fonctionnalité des tendances.	
dialog_streaks_title		New feature: Streaks!	Nouvelle fonctionnalité: Tendances!	
error_cannot_handle_url		Could not open url. Please install a browser.	Impossible d\'ouvrir l\'url. Veuillez installer un navigateur.	
evening		Evening	Soir	
food_history		Food History	Historique alimentaire	
food_info		Food Info	Alimentation	
format_version		version %s	version %s	
history_to_generate		History to Generate	L\'historique à générer	
history_to_generate_choices.0		1 month	1 mois	
history_to_generate_choices.1		3 months	3 mois	
history_to_generate_choices.2		6 months	6 mois	
history_to_generate_choices.3		1 year	1 an	
history_to_generate_choices.4		2 years	2 ans	
history_to_generate_choices.5		5 years	5 ans	
morning		Morning	Matin	
moving_average		Moving Average	Moyenne mobile	
no		No	Non	
no_servings_recorded		You have not recorded any servings yet!	Vous n\'avez enregistré aucune portion pour le moment!	
no_weights_recorded		You have not recorded any weights yet!	Vous n\'avez encore enregistré aucun poids!	
not_now		Not Now	Pas maintenant	
permission_needed_to_write_storage		Can\'t backup without permission to write to storage	Ne peut pas sauvegarder sans autorisation d\'écrire dans le stockage	
rate_now		Give Feedback	Envoyer un commentaire	
restore_confirm_message		Any existing data will be deleted before restoring from backup. Do you wish to continue?	Toutes les données existantes seront supprimées avant la restauration de la sauvegarde. Souhaitez-vous continuer?	
restore_confirm_title		Restore Backup	Restaurer la sauvegarde	
restore_failed		Restore failed	échec de la restauration	
restore_success		Restore successful	Restauration réussie	
task_backup_title		Backing up	Sauvegarde	
task_calculating_streaks_title		Calculating streaks	Calcul des stries	
task_generating_random_data		Generating random data	Génération de données aléatoires	
task_loading_servings_history_title		Loading Servings History	Historique des portions de chargement	
task_loading_weights_history_title		Loading Weights History	Chargement de l\'historique des poids	
task_restore_title		Restoring	Restauration	
tweak_group_daily		Every Day	Tous les jours	
tweak_group_dailydoses		Take your daily doses	Prenez vos doses quotidiennes	
tweak_group_meal		At Each Meal	À chaque repas	
tweak_group_nightly		Every Night	Toutes les nuits	
tweaks		Tweaks	Tweaks	
weight		Weight	Poids	
weight_history		Weight History	Historique du poids	
yes		Yes	Oui	
