key_droid	key_apple	base_value	lang_value	base_note
	CFBundleDisplayName	DailyDozen	DailyDozen	
	CFBundleName	DailyDozen	DailyDozen	
	DailyDozen	DailyDozen	DailyDozen	
	NSHealthShareUsageDescription	The 21 Tweaks feature accesses your HealthKit data to provide updates to your daily weight measurements.	The 21 Tweaks feature accesses your HealthKit data to provide updates to your daily weight measurements.	
	NSHealthUpdateUsageDescription	The 21 Tweaks feature can write weight data to HealthKit to help you keep track of your progress.	The 21 Tweaks feature can write weight data to HealthKit to help you keep track of your progress.	
	dateBackButtonTitle	Back to today	Back to today	
	dateButtonTitle.today	Today	Today	
	dozeBeans.Serving.Imperial.0	¼ cup of hummus or bean dip		
	dozeBeans.Serving.Imperial.1	½ cup cooked beans, split peas, lentils, tofu, or tempeh		
	dozeBeans.Serving.Imperial.2	1 cup of fresh peas or sprouted lentils		
	dozeBeans.Serving.Metric.0	60 g of hummus or bean dip		
	dozeBeans.Serving.Metric.1	130 g cooked beans, split peas, lentils, tofu, or tempeh		
	dozeBeans.Serving.Metric.2	150 g of fresh peas or sprouted lentils		
	dozeBeans.Variety.Text.0	Black beans		
	dozeBeans.Variety.Text.1	Black-eyed peas		
	dozeBeans.Variety.Text.10	Miso		
	dozeBeans.Variety.Text.11	Navy beans		
	dozeBeans.Variety.Text.12	Pinto beans		
	dozeBeans.Variety.Text.13	Small red beans		
	dozeBeans.Variety.Text.14	Split peas (yellow or green)		
	dozeBeans.Variety.Text.15	Tempeh		
	dozeBeans.Variety.Text.2	Butter beans		
	dozeBeans.Variety.Text.3	Cannellini beans		
	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans		
	dozeBeans.Variety.Text.5	Edamame		
	dozeBeans.Variety.Text.6	English peas		
	dozeBeans.Variety.Text.7	Great northern beans		
	dozeBeans.Variety.Text.8	Kidney beans		
	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)		
	dozeBeans.Variety.Topic.0	topics/black-beans		
	dozeBeans.Variety.Topic.1			
	dozeBeans.Variety.Topic.10	topics/miso		
	dozeBeans.Variety.Topic.11	topics/navy-beans		
	dozeBeans.Variety.Topic.12	topics/pinto-beans		
	dozeBeans.Variety.Topic.13			
	dozeBeans.Variety.Topic.14	topics/split-peas		
	dozeBeans.Variety.Topic.15	topics/tempeh		
	dozeBeans.Variety.Topic.2			
	dozeBeans.Variety.Topic.3			
	dozeBeans.Variety.Topic.4	topics/chickpeas		
	dozeBeans.Variety.Topic.5	topics/edamame		
	dozeBeans.Variety.Topic.6			
	dozeBeans.Variety.Topic.7			
	dozeBeans.Variety.Topic.8	topics/kidney-beans		
	dozeBeans.Variety.Topic.9	topics/lentils		
	dozeBeans.heading	Beans	Beans	
	dozeBeans.topic	topics/beans		
	dozeBerries.Serving.Imperial.0	½ cup fresh or frozen		
	dozeBerries.Serving.Imperial.1	¼ cup dried		
	dozeBerries.Serving.Metric.0	60 g fresh or frozen		
	dozeBerries.Serving.Metric.1	40 g dried		
	dozeBerries.Variety.Text.0	Acai berries		
	dozeBerries.Variety.Text.1	Barberries		
	dozeBerries.Variety.Text.10	Raspberries (black or red)		
	dozeBerries.Variety.Text.11	Strawberries		
	dozeBerries.Variety.Text.2	Blackberries		
	dozeBerries.Variety.Text.3	Blueberries		
	dozeBerries.Variety.Text.4	Cherries (sweet or tart)		
	dozeBerries.Variety.Text.5	Concord grapes		
	dozeBerries.Variety.Text.6	Cranberries		
	dozeBerries.Variety.Text.7	Goji berries		
	dozeBerries.Variety.Text.8	Kumquats		
	dozeBerries.Variety.Text.9	Mulberries		
	dozeBerries.Variety.Topic.0	topics/acai-berries		
	dozeBerries.Variety.Topic.1	topics/barberries		
	dozeBerries.Variety.Topic.10	topics/raspberries		
	dozeBerries.Variety.Topic.11	topics/strawberries		
	dozeBerries.Variety.Topic.2	topics/blackberries		
	dozeBerries.Variety.Topic.3	topics/blueberries		
