key_droid	key_apple	base_value	lang_value	base_note
	weightEntry.text.kg	kg	kg	
	weightEntry.text.lbs	lbs	lbs	
	Lef-Iw-Ywr.normalTitle	Daily Dozen + 21 Tweaks	Daily Dozen + 21 Tweaks	
	OdG-YQ-lT8.text	For Health and Weight Loss	For Health and Weight Loss	
	ReM-AP-Fpp.normalTitle	Daily Dozen Only	Daily Dozen Only	
	atR-un-jgX.text	For Health Alone	For Health Alone	
	iJb-Vn-TS0.text	Beans	Beans	
	m5s-0r-St1.text	Label	Label	
	xcg-0a-oqY.normalTitle	VIDEOS	VIDEOS	
	yct-Iw-M3s.text	Label	Label	
	eU6-je-hVN.text	Serving Sizes	Serving Sizes	
	1K3-d9-Hfb.normalTitle	METRIC	METRIC	
	3bd-8h-kcX.text	Units:	Units:	
	YVI-sV-TDX.text	Types	Types	
	W2v-Cp-vcd.text	Supplements	Supplements	
	1HM-mL-ZV9.text	Servings	Servings	
	ERa-UT-Rni.text	0 / 24	0 / 24	
	cW5-dD-Zy0.text	100 days	100 days	
	qWl-8e-sO6.text	Label	Label	
	27q-rq-qbu.text	Time Scale	Time Scale	
	dld-jq-Etq.text	2017	2017	
	nRL-iG-Wnd.text	Month	Month	
	sM6-A9-KeP.segmentTitles[0]	Day	Day	
	sM6-A9-KeP.segmentTitles[1]	Month	Month	
	sM6-A9-KeP.segmentTitles[2]	Year	Year	
	19L-gq-W5M.text	Welcome to my Daily Dozen!	Welcome to my Daily Dozen!	
	DJR-bj-qUq.text	Daily Dozen	Daily Dozen	
	Zgt-w4-qQw.text	This app was created by: - NutritionFacts.org - Christi Richards - Konstantin Khokhlov - Marc Campbell	This app was created by: - NutritionFacts.org - Christi Richards - Konstantin Khokhlov - Marc Campbell	
	dwQ-CS-gz3.text	Use this app on a daily basis to keep track of the foods and advice I recommend for optimal health and longevity in my books How Not to Die and How Not to Diet.	Use this app on a daily basis to keep track of the foods and advice I recommend for optimal health and longevity in my books How Not to Die and How Not to Diet.	
