key_droid	key_apple	base_value	lang_value	base_note
	CFBundleDisplayName	DailyDozen		
	CFBundleName	DailyDozen	DailyDozen	
	DailyDozen	DailyDozen		
	NSHealthShareUsageDescription	The 21 Tweaks feature accesses your HealthKit data to provide updates to your daily weight measurements.	The 21 Tweaks feature accesses your HealthKit data to provide updates to your daily weight measurements.	
	NSHealthUpdateUsageDescription	The 21 Tweaks feature can write weight data to HealthKit to help you keep track of your progress.	The 21 Tweaks feature can write weight data to HealthKit to help you keep track of your progress.	
back_to_today	dateBackButtonTitle	Back to today	Back to today	
	dateButtonTitle.today	Today	Today	
	dozeBeans.Serving.Imperial.0	¼ cup of hummus or bean dip	¼ cup of hummus or bean dip	
	dozeBeans.Serving.Imperial.1	½ cup cooked beans, split peas, lentils, tofu, or tempeh	½ cup cooked beans, split peas, lentils, tofu, or tempeh	
	dozeBeans.Serving.Imperial.2	1 cup of fresh peas or sprouted lentils	1 cup of fresh peas or sprouted lentils	
	dozeBeans.Serving.Metric.0	60 g of hummus or bean dip	60 g of hummus or bean dip	
	dozeBeans.Serving.Metric.1	130 g cooked beans, split peas, lentils, tofu, or tempeh	130 g cooked beans, split peas, lentils, tofu, or tempeh	
	dozeBeans.Serving.Metric.2	150 g of fresh peas or sprouted lentils	150 g of fresh peas or sprouted lentils	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup	¼ tasse	
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup	½ tasse	
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	1 cup	1 tasse	
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g	60 g	
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	130 g	130 g	
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	150 g	150 g	
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	Black beans	
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas	Black-eyed peas	
food_info_types_beans.10	dozeBeans.Variety.Text.10	Miso	Miso	
food_info_types_beans.11	dozeBeans.Variety.Text.11	Navy beans	Navy beans	
food_info_types_beans.12	dozeBeans.Variety.Text.12	Pinto beans	Pinto beans	
food_info_types_beans.13	dozeBeans.Variety.Text.13	Small red beans	Small red beans	
food_info_types_beans.14	dozeBeans.Variety.Text.14	Split peas (yellow or green)	Split peas (yellow or green)	
food_info_types_beans.15	dozeBeans.Variety.Text.15	Tempeh	Tempeh	
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans	Butter beans	
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans	Cannellini beans	
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans	Chickpeas/Garbanzo Beans	
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame	Edamame	
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas	English peas	
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans	Great northern beans	
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans	Kidney beans	
food_info_types_beans.9	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)	Lentils (beluga, french, and red varieties)	
	dozeBeans.Variety.Topic.0	topics/black-beans	topics/black-beans	
	dozeBeans.Variety.Topic.1			
	dozeBeans.Variety.Topic.10	topics/miso	topics/miso	
	dozeBeans.Variety.Topic.11	topics/navy-beans	topics/navy-beans	
	dozeBeans.Variety.Topic.12	topics/pinto-beans	topics/pinto-beans	
	dozeBeans.Variety.Topic.13			
	dozeBeans.Variety.Topic.14	topics/split-peas	topics/split-peas	
	dozeBeans.Variety.Topic.15	topics/tempeh	topics/tempeh	
	dozeBeans.Variety.Topic.2			
	dozeBeans.Variety.Topic.3			
	dozeBeans.Variety.Topic.4	topics/chickpeas	topics/chickpeas	
	dozeBeans.Variety.Topic.5	topics/edamame	topics/edamame	
	dozeBeans.Variety.Topic.6			
	dozeBeans.Variety.Topic.7			
	dozeBeans.Variety.Topic.8	topics/kidney-beans	topics/kidney-beans	
	dozeBeans.Variety.Topic.9	topics/lentils	topics/lentils	
beans	dozeBeans.heading	Beans	Beans	
	dozeBeans.topic	topics/beans	topics/beans	
	dozeBerries.Serving.Imperial.0	½ cup fresh or frozen	½ cup fresh or frozen	
	dozeBerries.Serving.Imperial.1	¼ cup dried	¼ cup dried	
	dozeBerries.Serving.Metric.0	60 g fresh or frozen	60 g fresh or frozen	
	dozeBerries.Serving.Metric.1	40 g dried	40 g dried	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup	½ tasse	
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup	¼ tasse	
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	60 g	60 g	
food_info_serving_sizes_berries_metric.1	dozeBerries.Serving.metric.1	40 g	40 g	
food_info_types_berries.0	dozeBerries.Variety.Text.0	Acai berries	Acai berries	
food_info_types_berries.1	dozeBerries.Variety.Text.1	Barberries	Barberries	
food_info_types_berries.10	dozeBerries.Variety.Text.10	Raspberries (black or red)	Raspberries (black or red)	
food_info_types_berries.11	dozeBerries.Variety.Text.11	Strawberries	Strawberries	
food_info_types_berries.2	dozeBerries.Variety.Text.2	Blackberries	Blackberries	
food_info_types_berries.3	dozeBerries.Variety.Text.3	Blueberries	Blueberries	
food_info_types_berries.4	dozeBerries.Variety.Text.4	Cherries (sweet or tart)	Cherries (sweet or tart)	
food_info_types_berries.5	dozeBerries.Variety.Text.5	Concord grapes	Concord grapes	
food_info_types_berries.6	dozeBerries.Variety.Text.6	Cranberries	Cranberries	
food_info_types_berries.7	dozeBerries.Variety.Text.7	Goji berries	Goji berries	
food_info_types_berries.8	dozeBerries.Variety.Text.8	Kumquats	Kumquats	
food_info_types_berries.9	dozeBerries.Variety.Text.9	Mulberries	Mulberries	
	dozeBerries.Variety.Topic.0	topics/acai-berries	topics/acai-berries	
	dozeBerries.Variety.Topic.1	topics/barberries	topics/barberries	
	dozeBerries.Variety.Topic.10	topics/raspberries	topics/raspberries	
	dozeBerries.Variety.Topic.11	topics/strawberries	topics/strawberries	
	dozeBerries.Variety.Topic.2	topics/blackberries	topics/blackberries	
	dozeBerries.Variety.Topic.3	topics/blueberries	topics/blueberries	
	dozeBerries.Variety.Topic.4	topics/cherries	topics/cherries	
	dozeBerries.Variety.Topic.5	topics/concord-grapes	topics/concord-grapes	
	dozeBerries.Variety.Topic.6	topics/cranberries	topics/cranberries	
	dozeBerries.Variety.Topic.7	topics/goji-berries	topics/goji-berries	
	dozeBerries.Variety.Topic.8			
	dozeBerries.Variety.Topic.9			
berries	dozeBerries.heading	Berries	Berries	
	dozeBerries.topic	topics/berries	topics/berries	
	dozeBeverages.Serving.Imperial.0	One glass (12 ounces)	One glass (12 ounces)	
	dozeBeverages.Serving.Metric.0	One glass (350 ml)	One glass (350 ml)	
food_info_serving_sizes_beverages_imperial.0	dozeBeverages.Serving.imperial.0	12 ounces	12 onces	
food_info_serving_sizes_beverages_metric.0	dozeBeverages.Serving.metric.0	350 ml	350 ml	
food_info_types_beverages.0	dozeBeverages.Variety.Text.0	Black tea	Black tea	
food_info_types_beverages.1	dozeBeverages.Variety.Text.1	Chai tea	Chai tea	
food_info_types_beverages.10	dozeBeverages.Variety.Text.10	Matcha tea	Matcha tea	
food_info_types_beverages.11	dozeBeverages.Variety.Text.11	Almond blossom oolong tea	Almond blossom oolong tea	
food_info_types_beverages.12	dozeBeverages.Variety.Text.12	Peppermint tea	Peppermint tea	
food_info_types_beverages.13	dozeBeverages.Variety.Text.13	Rooibos tea	Rooibos tea	
food_info_types_beverages.14	dozeBeverages.Variety.Text.14	Water	Water	
food_info_types_beverages.15	dozeBeverages.Variety.Text.15	White tea	White tea	
food_info_types_beverages.2	dozeBeverages.Variety.Text.2	Vanilla chamomile tea	Vanilla chamomile tea	
food_info_types_beverages.3	dozeBeverages.Variety.Text.3	Coffee	Coffee	
food_info_types_beverages.4	dozeBeverages.Variety.Text.4	Earl grey tea	Earl grey tea	
food_info_types_beverages.5	dozeBeverages.Variety.Text.5	Green tea	Green tea	
food_info_types_beverages.6	dozeBeverages.Variety.Text.6	Hibiscus tea	Hibiscus tea	
food_info_types_beverages.7	dozeBeverages.Variety.Text.7	Hot chocolate	Hot chocolate	
food_info_types_beverages.8	dozeBeverages.Variety.Text.8	Jasmine tea	Jasmine tea	
food_info_types_beverages.9	dozeBeverages.Variety.Text.9	Lemon balm tea	Lemon balm tea	
	dozeBeverages.Variety.Topic.0	topics/black-tea	topics/black-tea	
	dozeBeverages.Variety.Topic.1	topics/chai-tea	topics/chai-tea	
	dozeBeverages.Variety.Topic.10	topics/matcha	topics/matcha	
	dozeBeverages.Variety.Topic.11	topics/oolong-tea	topics/oolong-tea	
	dozeBeverages.Variety.Topic.12			
	dozeBeverages.Variety.Topic.13	topics/rooibos-tea	topics/rooibos-tea	
	dozeBeverages.Variety.Topic.14	topics/water	topics/water	
	dozeBeverages.Variety.Topic.15	topics/white-tea	topics/white-tea	
	dozeBeverages.Variety.Topic.2	topics/chamomile-tea	topics/chamomile-tea	
	dozeBeverages.Variety.Topic.3	topics/coffee	topics/coffee	
	dozeBeverages.Variety.Topic.4	topics/earl-grey-tea	topics/earl-grey-tea	
	dozeBeverages.Variety.Topic.5	topics/green-tea	topics/green-tea	
	dozeBeverages.Variety.Topic.6	topics/hibiscus-tea	topics/hibiscus-tea	
	dozeBeverages.Variety.Topic.7			
	dozeBeverages.Variety.Topic.8	topics/jasmine-tea	topics/jasmine-tea	
	dozeBeverages.Variety.Topic.9			
beverages	dozeBeverages.heading	Beverages	Beverages	
	dozeBeverages.topic	topics/beverages	topics/beverages	
