key_droid	key_apple	base_value	lang_value	base_note
	NSHealthShareUsageDescription	The 21 Tweaks feature accesses your HealthKit data to provide updates to your daily weight measurements.	The 21 Tweaks feature accesses your HealthKit data to provide updates to your daily weight measurements.	
	NSHealthUpdateUsageDescription	The 21 Tweaks feature can write weight data to HealthKit to help you keep track of your progress.	The 21 Tweaks feature can write weight data to HealthKit to help you keep track of your progress.	
back_to_today	dateBackButtonTitle	Back to today	Back to today	
	dateButtonTitle.today	Today	Today	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup of hummus or bean dip	¼ tasse d\'humus ou trempette de haricots,	
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, lentils, tofu, or tempeh	½ tasse de haricots cuits, de pois cassés, de lentilles, de tofu ou de tempeh,	
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	1 cup of fresh peas or sprouted lentils	1 tasse de pois frais ou de lentilles germées	
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g of hummus or bean dip	60 g d\'humus ou trempette de haricots,	
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	130 g cooked beans, split peas, lentils, tofu, or tempeh	130 g de haricots cuits, de pois cassés, de lentilles, de tofu ou de tempeh,	
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	150 g of fresh peas or sprouted lentils	150 g de pois frais ou de lentilles germées	
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	Haricots noirs	
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas	Haricots à oeil noir	
food_info_types_beans.10	dozeBeans.Variety.Text.10	Miso	Miso	
food_info_types_beans.11	dozeBeans.Variety.Text.11	Navy beans	Haricots blancs	
food_info_types_beans.12	dozeBeans.Variety.Text.12	Pinto beans	Haricots pinto	
food_info_types_beans.13	dozeBeans.Variety.Text.13	Small red beans	Petits haricots rouges	
food_info_types_beans.14	dozeBeans.Variety.Text.14	Split peas (yellow or green)	Pois cassés (jaune ou vert)	
food_info_types_beans.15	dozeBeans.Variety.Text.15	Tempeh	Tempeh	
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans	Haricots de Lima	
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans	Cannellini haricots	
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans	Pois chiches	
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame	Edamame	
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas	Pois à écosser	
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans	Haricots blancs	
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans	Haricots rouges	
food_info_types_beans.9	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)	Lentilles (variétés beluga, françaises et rouges)	
beans	dozeBeans.heading	Beans	Légumineuses	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup fresh or frozen	½ tasse de fruits frais ou congelés	
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup dried	¼ tasse séché	
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	60 g fresh or frozen	60 g de fruits frais ou congelés	
food_info_serving_sizes_berries_metric.1	dozeBerries.Serving.metric.1	40 g dried	40 g séché	
food_info_types_berries.0	dozeBerries.Variety.Text.0	Acai berries	Baies d\'açai	
food_info_types_berries.1	dozeBerries.Variety.Text.1	Barberries	Épine-vinette	
food_info_types_berries.10	dozeBerries.Variety.Text.10	Raspberries (black or red)	Framboises (noires ou rouges)	
food_info_types_berries.11	dozeBerries.Variety.Text.11	Strawberries	Fraises	
food_info_types_berries.2	dozeBerries.Variety.Text.2	Blackberries	Mûres	
food_info_types_berries.3	dozeBerries.Variety.Text.3	Blueberries	Bleuets	
food_info_types_berries.4	dozeBerries.Variety.Text.4	Cherries (sweet or tart)	Cerises (sucrées ou sures)	
food_info_types_berries.5	dozeBerries.Variety.Text.5	Concord grapes	Raisins Concord	
food_info_types_berries.6	dozeBerries.Variety.Text.6	Cranberries	Canneberges	
food_info_types_berries.7	dozeBerries.Variety.Text.7	Goji berries	Baies de Goji	
food_info_types_berries.8	dozeBerries.Variety.Text.8	Kumquats	Kumquats	
food_info_types_berries.9	dozeBerries.Variety.Text.9	Mulberries	Mûriers	
berries	dozeBerries.heading	Berries	Baies	
food_info_serving_sizes_beverages_imperial.0	dozeBeverages.Serving.imperial.0	One glass (12 ounces)	Un verre (12 onces)	
food_info_serving_sizes_beverages_metric.0	dozeBeverages.Serving.metric.0	One glass (350 ml)	Un verre (350 ml)	
food_info_types_beverages.0	dozeBeverages.Variety.Text.0	Black tea	Thé noir	
food_info_types_beverages.1	dozeBeverages.Variety.Text.1	Chai tea	Thé chai	
food_info_types_beverages.10	dozeBeverages.Variety.Text.10	Matcha tea	Thé Matcha	
food_info_types_beverages.11	dozeBeverages.Variety.Text.11	Almond blossom oolong tea	Thé oolong aux fleurs d\'amandes	
food_info_types_beverages.12	dozeBeverages.Variety.Text.12	Peppermint tea	Thé à la menthe poivrée	
food_info_types_beverages.13	dozeBeverages.Variety.Text.13	Rooibos tea	Thé Rooibos	
food_info_types_beverages.14	dozeBeverages.Variety.Text.14	Water	Eau	
food_info_types_beverages.15	dozeBeverages.Variety.Text.15	White tea	Thé blanc	
food_info_types_beverages.2	dozeBeverages.Variety.Text.2	Vanilla chamomile tea	Thé de camomille à la vanille	
food_info_types_beverages.3	dozeBeverages.Variety.Text.3	Coffee	Café	
food_info_types_beverages.4	dozeBeverages.Variety.Text.4	Earl grey tea	Thé Earl Grey	
food_info_types_beverages.5	dozeBeverages.Variety.Text.5	Green tea	Thé vert	
food_info_types_beverages.6	dozeBeverages.Variety.Text.6	Hibiscus tea	Thé à l\'hibiscus	
food_info_types_beverages.7	dozeBeverages.Variety.Text.7	Hot chocolate	Chocolat chaud	
food_info_types_beverages.8	dozeBeverages.Variety.Text.8	Jasmine tea	Thé au jasmin	
food_info_types_beverages.9	dozeBeverages.Variety.Text.9	Lemon balm tea	Thé au citron	
beverages	dozeBeverages.heading	Beverages	Boissons	
food_info_serving_sizes_exercise_imperial.0	dozeExercise.Serving.imperial.0	90 minutes of moderate-intensity activity	90 minutes d\'activité d\'intensité modérée	
food_info_serving_sizes_exercise_imperial.1	dozeExercise.Serving.imperial.1	40 minutes of vigorous-intensity activity	40 minutes d\'activité intense	
food_info_serving_sizes_exercise_metric.0	dozeExercise.Serving.metric.0	90 minutes of moderate-intensity activity	90 minutes d\'activité d\'intensité modérée	
food_info_serving_sizes_exercise_metric.1	dozeExercise.Serving.metric.1	40 minutes of vigorous-intensity activity	40 minutes d\'activité intense	
food_info_types_exercise.0	dozeExercise.Variety.Text.0	Bicycling	Faire du vélo	
food_info_types_exercise.1	dozeExercise.Variety.Text.1	Canoeing	Faire du canoë	
food_info_types_exercise.10	dozeExercise.Variety.Text.10	Juggling	Jonglerie	
food_info_types_exercise.11	dozeExercise.Variety.Text.11	Jumping on a trampoline	Sauter sur une trampoline	
food_info_types_exercise.12	dozeExercise.Variety.Text.12	Paddle boating	Pédalo	
food_info_types_exercise.13	dozeExercise.Variety.Text.13	Playing frisbee	Jouer au frisbee	
