key_droid	key_apple	base_value	lang_value	base_comment
flaxseeds	dozeFlaxseeds	Flaxseeds	Graines de lin	
beans	dozeBeans	Beans	Légumineuses	
other_vegetables	dozeVegetablesOther	Other Vegetables	Autres légumes	
spices	dozeSpices	Herbs and Spices	Épices	
vitamin_b12	otherVitaminB12	Vitamin B12	Vitamine B12	
whole_grains	dozeWholeGrains	Whole Grains	Grains entiers	
cruciferous_vegetables	dozeVegetablesCruciferous	Cruciferous Vegetables	Crucifères	
other_fruits	dozeFruitsOther	Other Fruits	Autres fruits	
beverages	dozeBeverages	Beverages	Boissons	
nuts	dozeNuts	Nuts and Seeds	Noix	
berries	dozeBerries	Berries	Baies	
exercise	dozeExercise	Exercise	Exercice	
greens	dozeGreens	Greens	Légumes verts	
food_info_serving_sizes_greens[imperial][0]	dozeGreensServing[imperial][0]	1 cup raw	1 tasse cru	  
food_info_serving_sizes_greens[metric][0]	dozeGreensServing[metric][0]	60 g raw	60 g cru	  
food_info_serving_sizes_greens[imperial][1]	dozeGreensServing[imperial][1]	½ cup cooked	½ tasse cuit	  
food_info_serving_sizes_greens[metric][1]	dozeGreensServing[metric][1]	90 g cooked	90 g cuit	  
food_info_serving_sizes_cruciferous_vegetables[imperial][0]	dozeVegetablesCruciferousServing[imperial][0]	½ cup chopped	½ tasse haché	  
food_info_serving_sizes_cruciferous_vegetables[metric][0]	dozeVegetablesCruciferousServing[metric][0]	30–80 g chopped	30–80 g haché	  
food_info_serving_sizes_cruciferous_vegetables[imperial][1]	dozeVegetablesCruciferousServing[imperial][1]	¼ cup Brussels or broccoli sprouts	¼ tasse de pousses de chou ou de brocoli	  
food_info_serving_sizes_cruciferous_vegetables[metric][1]	dozeVegetablesCruciferousServing[metric][1]	12 g Brussels or broccoli sprouts	12 g de pousses de chou ou de brocoli	  
food_info_serving_sizes_cruciferous_vegetables[imperial][2]	dozeVegetablesCruciferousServing[imperial][2]	1 tablespoon horseradish	1 cuillerée à soupe de raifort	  
food_info_serving_sizes_cruciferous_vegetables[metric][2]	dozeVegetablesCruciferousServing[metric][2]	1 tablespoon horseradish	1 cuillerée à soupe de raifort	  
food_info_serving_sizes_flaxseeds[imperial][0]	dozeFlaxseedsServing[imperial][0]	1 tablespoon ground	1 cuillrée à soupe moulu	  
food_info_serving_sizes_flaxseeds[metric][0]	dozeFlaxseedsServing[metric][0]	1 tablespoon ground	1 cuillrée à soupe moulu	  
food_info_serving_sizes_beans[imperial][0]	dozeBeansServing[imperial][0]	¼ cup of hummus or bean dip	¼ tasse d\'humus ou trempette de haricots,	  
food_info_serving_sizes_beans[metric][0]	dozeBeansServing[metric][0]	60 g of hummus or bean dip	60 g d\'humus ou trempette de haricots,	  
food_info_serving_sizes_beans[imperial][1]	dozeBeansServing[imperial][1]	½ cup cooked beans, split peas, lentils, tofu, or tempeh	½ tasse de haricots cuits, de pois cassés, de lentilles, de tofu ou de tempeh,	  
food_info_serving_sizes_beans[metric][1]	dozeBeansServing[metric][1]	130 g cooked beans, split peas, lentils, tofu, or tempeh	130 g de haricots cuits, de pois cassés, de lentilles, de tofu ou de tempeh,	  
food_info_serving_sizes_beans[imperial][2]	dozeBeansServing[imperial][2]	1 cup of fresh peas or sprouted lentils	1 tasse de pois frais ou de lentilles germées	  
food_info_serving_sizes_beans[metric][2]	dozeBeansServing[metric][2]	150 g of fresh peas or sprouted lentils	150 g de pois frais ou de lentilles germées	  
food_info_serving_sizes_exercise[imperial][0]	dozeExerciseServing[imperial][0]	90 minutes of moderate-intensity activity	90 minutes d\'activité d\'intensité modérée	  
food_info_serving_sizes_exercise[metric][0]	dozeExerciseServing[metric][0]	90 minutes of moderate-intensity activity	90 minutes d\'activité d\'intensité modérée	  
food_info_serving_sizes_exercise[imperial][1]	dozeExerciseServing[imperial][1]	40 minutes of vigorous-intensity activity	40 minutes d\'activité intense	  
food_info_serving_sizes_exercise[metric][1]	dozeExerciseServing[metric][1]	40 minutes of vigorous-intensity activity	40 minutes d\'activité intense	  
food_info_serving_sizes_berries[imperial][0]	dozeBerriesServing[imperial][0]	½ cup fresh or frozen	½ tasse de fruits frais ou congelés	  
food_info_serving_sizes_berries[metric][0]	dozeBerriesServing[metric][0]	60 g fresh or frozen	60 g de fruits frais ou congelés	  
food_info_serving_sizes_berries[imperial][1]	dozeBerriesServing[imperial][1]	¼ cup dried	¼ tasse séché	  
food_info_serving_sizes_berries[metric][1]	dozeBerriesServing[metric][1]	40 g dried	40 g séché	  
food_info_serving_sizes_nuts[imperial][0]	dozeNutsServing[imperial][0]	¼ cup nuts or seeds	¼ tasse de noix ou de graines	  
food_info_serving_sizes_nuts[metric][0]	dozeNutsServing[metric][0]	30 g nuts or seeds	30 g de noix ou de graines	  
food_info_serving_sizes_nuts[imperial][1]	dozeNutsServing[imperial][1]	2 tablespoons nut or seed butter	2 cuillerées à soupe de beurre de noix ou de graines	  
food_info_serving_sizes_nuts[metric][1]	dozeNutsServing[metric][1]	2 tablespoons nut or seed butter	2 cuillerées à soupe de beurre de noix ou de graines	  
food_info_serving_sizes_beverages[imperial][0]	dozeBeveragesServing[imperial][0]	One glass (12 ounces)	Un verre (12 onces)	  
food_info_serving_sizes_beverages[metric][0]	dozeBeveragesServing[metric][0]	One glass (350 ml)	Un verre (350 ml)	  
food_info_serving_sizes_other_vegetables[imperial][0]	dozeVegetablesOtherServing[imperial][0]	1 cup raw leafy vegetables	1 tasse de légumes feuillus crus	  
