key_droid	key_apple	base_value	lang_value	base_note	lang_note
food_info_serving_sizes_cruciferous_vegetables_imperial.1	dozeVegetablesCruciferous.Serving.imperial.1	½ cup Brussels sprouts	½ tasse de choux de Bruxelles		
food_info_serving_sizes_cruciferous_vegetables_imperial.2	dozeVegetablesCruciferous.Serving.imperial.2	¼ cup Broccoli sprouts	¼ tasse de pousses de brocoli		
food_info_serving_sizes_cruciferous_vegetables_imperial.3	dozeVegetablesCruciferous.Serving.imperial.3	1 tablespoon horseradish	1 cuillerée à soupe de raifort		
food_info_serving_sizes_cruciferous_vegetables_metric.1	dozeVegetablesCruciferous.Serving.metric.1	78 g Brussels sprouts	78 g de choux de Bruxelles		
food_info_serving_sizes_cruciferous_vegetables_metric.2	dozeVegetablesCruciferous.Serving.metric.2	14 g Broccoli sprouts	14 g de pousses de brocoli		
food_info_serving_sizes_cruciferous_vegetables_metric.3	dozeVegetablesCruciferous.Serving.metric.3	1 tablespoon horseradish	1 cuillerée à soupe de raifort		
about_translators	info_app_about_translators	Special thanks to our volunteer translators: Ricard Soler Roger (ca), Luděk Bouška (cs), Lenka Lukacová (cs), Anke Schliessmann (de), Doron Barak (he), Ruth Levy (he), Joanna Klopotek (pl), Tania Bassi (pt-BR), João Madureira (pt-PT), Evgeniya Lyakh (ru).	Remerciements particuliers à nos traducteurs bénévoles : Ricard Soler Roger (ca), Luděk Bouška (cs), Lenka Lukacová (cs), Anke Schliessmann (de), Doron Barak (he), Ruth Levy (he), Joanna Klopotek (pl), Tania Bassi (pt-BR), João Madureira (pt-PT), Evgeniya Lyakh (ru).	Info About View: Contributing Translators List (language code)  See https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes	
	setting_analytics_body	Enable anonymous usage information to be collected to help improve this application.	Enable anonymous usage information to be collected to help improve this application.	Google Firebase Analytics	
	setting_analytics_enable	Enable Analytics	Enable Analytics	Google Firebase Analytics	
	setting_analytics_opt_in	Opt In	Opt In	Google Firebase Analytics	
	setting_analytics_opt_out	Opt Out	Opt Out	Google Firebase Analytics	
	setting_analytics_title	Analytics	Analytics	Google Firebase Analytics	
