key_droid	key_apple	base_value	lang_value	base_note	lang_note
	CFBundleDisplayName	DailyDozen	DailyDozen	User-visible application name. Visible under icon. Used by Siri.	
	CFBundleName	DailyDozen	DailyDozen	User-visible application short name (15 Characters max)	
back_to_today	dateBackButtonTitle	Back to today	Retour à aujourd'hui	Date Button Title: ‘Back to today’	
	dateButtonTitle.today	Today	Aujourd'hui	Date Button Title: ‘Today’	
serving_sizes	doze_detail_section_sizes	Serving Sizes (Suggested)	Portions (à titre indicatif)	Doze Detail View subheading: ‘Serving Sizes’	
types	doze_detail_section_types	Types	Exemples	Doze Detail View subheading: ‘Types’	AH: ‘Types’ in French sounds unnatural, they feel like examples of the type of food we're looking at so thought this would make more sense in French
servings	doze_entry_header	Servings	Portions	Doze Entry View heading: ‘Servings’	
beans	dozeBeans.heading	Beans	Légumineuses	heading for daily data entry item	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup hummus or bean dip	¼ tasse de houmous ou autre crème de haricots		
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, or lentils	½ tasse de haricots cuits, pois cassés ou lentilles		
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	⅓ cup tofu or tempeh	⅓ tasse de tofu ou tempeh		
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or sprouted lentils	1 tasse de petits pois ou lentilles germées		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	70 g hummus or bean dip	70 g de houmous ou autre crème de haricots		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	100 g cooked beans, split peas, or lentils	100 g de haricots cuits, pois cassés ou lentilles		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	80 g tofu or tempeh	80 g de tofu ou tempeh		
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	100 g fresh peas or sprouted lentils	100 g de petits pois ou lentilles germées		
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	Haricots noirs		AH: not all beans have direct translations so sometimes substituted for an equivalent type of bean
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas	Haricots cornilles		
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans	Pois du cap		
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans	Flageolets		
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans	Pois chiches		
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame	Edamame		
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas	Petits pois		
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans	Haricots lingots		
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans	Haricots rouges		
food_info_types_beans.9	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)	Lentilles (beluga, vertes, corail)		
food_info_types_beans.10	dozeBeans.Variety.Text.10	Navy beans	Haricots blancs		
food_info_types_beans.11	dozeBeans.Variety.Text.11	Pinto beans	Haricots coco		
food_info_types_beans.12	dozeBeans.Variety.Text.12	Small red beans	Petits haricots rouges		
food_info_types_beans.13	dozeBeans.Variety.Text.13	Split peas (yellow or green)	Pois cassés (jaunes ou verts)		
food_info_types_beans.14	dozeBeans.Variety.Text.14	Tempeh	Tempeh		
berries	dozeBerries.heading	Berries	Baies	heading for daily data entry item	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup fresh or frozen	½ tasse fraîches ou congelées		
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup dried	¼ tasse séchées		
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	70 g fresh or frozen	70 g fraîches ou congelées		this is for the Berries (“Baies”) category, hence the feminine
food_info_serving_sizes_berries_metric.1	dozeBerries.Serving.metric.1	40 g dried	40 g séchées		
food_info_types_berries.0	dozeBerries.Variety.Text.0	Acai berries	Baies d'açaï		
food_info_types_berries.1	dozeBerries.Variety.Text.1	Barberries	Épine-vinette		
food_info_types_berries.2	dozeBerries.Variety.Text.2	Blackberries	Mûres		
food_info_types_berries.3	dozeBerries.Variety.Text.3	Blueberries	Bleuets/Myrtilles		
food_info_types_berries.4	dozeBerries.Variety.Text.4	Cherries (sweet or tart)	Cerises (sucrées, griottes, douces)		
food_info_types_berries.5	dozeBerries.Variety.Text.5	Concord grapes	Raisins		
food_info_types_berries.6	dozeBerries.Variety.Text.6	Cranberries	Canneberges/Cranberries		
food_info_types_berries.7	dozeBerries.Variety.Text.7	Goji berries	Baies de Goji		
food_info_types_berries.8	dozeBerries.Variety.Text.8	Kumquats	Kumquats		
food_info_types_berries.9	dozeBerries.Variety.Text.9	Mulberries	Mûres de mûriers		
food_info_types_berries.10	dozeBerries.Variety.Text.10	Raspberries (black or red)	Framboises (noires ou rouges)		
food_info_types_berries.11	dozeBerries.Variety.Text.11	Strawberries	Fraises		
beverages	dozeBeverages.heading	Beverages	Boissons	heading for daily data entry item	
food_info_serving_sizes_beverages_imperial.0	dozeBeverages.Serving.imperial.0	One glass (12 ounces)	Un verre (12 onces)		
food_info_serving_sizes_beverages_metric.0	dozeBeverages.Serving.metric.0	One glass (350 ml)	Un verre (350 ml)		
food_info_types_beverages.0	dozeBeverages.Variety.Text.0	Black tea	Thé noir		
food_info_types_beverages.1	dozeBeverages.Variety.Text.1	Chai tea	Thé chai		
food_info_types_beverages.2	dozeBeverages.Variety.Text.2	Vanilla chamomile tea	Infusion de camomille		AH: The link is just for Chamomile tea. I think the vanilla part makes it a bit confusing so only translated as Chamomile tea
food_info_types_beverages.3	dozeBeverages.Variety.Text.3	Coffee	Café		
food_info_types_beverages.4	dozeBeverages.Variety.Text.4	Earl grey tea	Thé Earl Grey		
food_info_types_beverages.5	dozeBeverages.Variety.Text.5	Green tea	Thé vert		
food_info_types_beverages.6	dozeBeverages.Variety.Text.6	Hibiscus tea	Infusion d'hibiscus		
food_info_types_beverages.7	dozeBeverages.Variety.Text.7	Jasmine tea	Thé au jasmin		
food_info_types_beverages.8	dozeBeverages.Variety.Text.8	Lemon balm tea	Infusion de mélisse		
food_info_types_beverages.9	dozeBeverages.Variety.Text.9	Matcha tea	Thé Matcha		
food_info_types_beverages.10	dozeBeverages.Variety.Text.10	Almond blossom oolong tea	Thé oolong		AH: Again, only translated Oolong tea for the same reasons as above
food_info_types_beverages.11	dozeBeverages.Variety.Text.11	Peppermint tea	Infusion à la menthe poivrée		
food_info_types_beverages.12	dozeBeverages.Variety.Text.12	Rooibos tea	Infusion rooibos		
food_info_types_beverages.13	dozeBeverages.Variety.Text.13	Water	Eau		
food_info_types_beverages.14	dozeBeverages.Variety.Text.14	White tea	Thé blanc		
exercise	dozeExercise.heading	Exercise	Exercice	heading for daily data entry item	
food_info_serving_sizes_exercise_imperial.0	dozeExercise.Serving.imperial.0	90 minutes of moderate-intensity activity	90 minutes d'activité d'intensité modérée		
food_info_serving_sizes_exercise_imperial.1	dozeExercise.Serving.imperial.1	40 minutes of vigorous-intensity activity	40 minutes d'activité intense		
food_info_serving_sizes_exercise_metric.0	dozeExercise.Serving.metric.0	90 minutes of moderate-intensity activity	90 minutes d'activité d'intensité modérée		
food_info_serving_sizes_exercise_metric.1	dozeExercise.Serving.metric.1	40 minutes of vigorous-intensity activity	40 minutes d'activité intense		
food_info_types_exercise.0	dozeExercise.Variety.Text.0	Bicycling	Vélo		
food_info_types_exercise.1	dozeExercise.Variety.Text.1	Canoeing	Canoë		
food_info_types_exercise.2	dozeExercise.Variety.Text.2	Dancing	Danse		
food_info_types_exercise.3	dozeExercise.Variety.Text.3	Dodgeball	Dodgeball		
food_info_types_exercise.4	dozeExercise.Variety.Text.4	Downhill skiing	Ski alpin		
food_info_types_exercise.5	dozeExercise.Variety.Text.5	Fencing	Escrime		
food_info_types_exercise.6	dozeExercise.Variety.Text.6	Hiking	Randonnée		
food_info_types_exercise.7	dozeExercise.Variety.Text.7	Housework	Travaux ménagers		
food_info_types_exercise.8	dozeExercise.Variety.Text.8	Ice-skating	Patinage sur glace		
food_info_types_exercise.9	dozeExercise.Variety.Text.9	Inline skating	Patin à roulettes		AH: I swapped the translations around between ‘Roller’ and ‘Roller’ to stay as much as possible in an alphabetical order. As there are no links or images to match I don't think it poses any problem
food_info_types_exercise.10	dozeExercise.Variety.Text.10	Juggling	Jonglage		
