key_droid	key_apple	base_value	lang_value	base_note
	NSHealthShareUsageDescription	The 21 Tweaks feature accesses your HealthKit data to provide updates to your daily weight measurements.	The 21 Tweaks feature accesses your HealthKit data to provide updates to your daily weight measurements.	
	NSHealthUpdateUsageDescription	The 21 Tweaks feature can write weight data to HealthKit to help you keep track of your progress.	The 21 Tweaks feature can write weight data to HealthKit to help you keep track of your progress.	
back_to_today	dateBackButtonTitle	Back to today	Back to today	
	dateButtonTitle.today	Today	Today	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup of hummus or bean dip	¼ Tasse Hummus oder Bohnendip	
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, lentils, tofu, or tempeh	½ Tasse gekochte Bohnen, Erbsen, Linsen, Tofu oder Tempeh	
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	1 cup of fresh peas or sprouted lentils	1 Tasse frische Erbsen oder gekeimte Linsen	
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g of hummus or bean dip	60 g Hummus oder Bohnendip	
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	130 g cooked beans, split peas, lentils, tofu, or tempeh	130 g gekochte Bohnen, Erbsen, Linsen, Tofu oder Tempeh	
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	150 g of fresh peas or sprouted lentils	150 g frische Erbsen oder gekeimte Linsen	
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans		
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas		
food_info_types_beans.10	dozeBeans.Variety.Text.10	Miso		
food_info_types_beans.11	dozeBeans.Variety.Text.11	Navy beans		
food_info_types_beans.12	dozeBeans.Variety.Text.12	Pinto beans		
food_info_types_beans.13	dozeBeans.Variety.Text.13	Small red beans		
food_info_types_beans.14	dozeBeans.Variety.Text.14	Split peas (yellow or green)		
food_info_types_beans.15	dozeBeans.Variety.Text.15	Tempeh		
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans		
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans		
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans		
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame		
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas		
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans		
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans		
food_info_types_beans.9	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)		
beans	dozeBeans.heading	Beans	Bohnen	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup fresh or frozen	½ Tasse frisch oder gefroren	
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup dried	¼ Tasse getrocknet	
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	60 g fresh or frozen	60 g frisch oder gefroren	
food_info_serving_sizes_berries_metric.1	dozeBerries.Serving.metric.1	40 g dried	40 g getrocknet	
food_info_types_berries.0	dozeBerries.Variety.Text.0	Acai berries		
food_info_types_berries.1	dozeBerries.Variety.Text.1	Barberries		
food_info_types_berries.10	dozeBerries.Variety.Text.10	Raspberries (black or red)		
food_info_types_berries.11	dozeBerries.Variety.Text.11	Strawberries		
food_info_types_berries.2	dozeBerries.Variety.Text.2	Blackberries		
food_info_types_berries.3	dozeBerries.Variety.Text.3	Blueberries		
food_info_types_berries.4	dozeBerries.Variety.Text.4	Cherries (sweet or tart)		
food_info_types_berries.5	dozeBerries.Variety.Text.5	Concord grapes		
food_info_types_berries.6	dozeBerries.Variety.Text.6	Cranberries		
food_info_types_berries.7	dozeBerries.Variety.Text.7	Goji berries		
food_info_types_berries.8	dozeBerries.Variety.Text.8	Kumquats		
food_info_types_berries.9	dozeBerries.Variety.Text.9	Mulberries		
berries	dozeBerries.heading	Berries	Beeren	
food_info_serving_sizes_beverages_imperial.0	dozeBeverages.Serving.imperial.0	One glass (12 ounces)	1½ Gläser (12 Unzen)	
food_info_serving_sizes_beverages_metric.0	dozeBeverages.Serving.metric.0	One glass (350 ml)	1½ Gläser (350 ml)	
food_info_types_beverages.0	dozeBeverages.Variety.Text.0	Black tea		
food_info_types_beverages.1	dozeBeverages.Variety.Text.1	Chai tea		
food_info_types_beverages.10	dozeBeverages.Variety.Text.10	Matcha tea		
food_info_types_beverages.11	dozeBeverages.Variety.Text.11	Almond blossom oolong tea		
food_info_types_beverages.12	dozeBeverages.Variety.Text.12	Peppermint tea		
food_info_types_beverages.13	dozeBeverages.Variety.Text.13	Rooibos tea		
food_info_types_beverages.14	dozeBeverages.Variety.Text.14	Water		
food_info_types_beverages.15	dozeBeverages.Variety.Text.15	White tea		
food_info_types_beverages.2	dozeBeverages.Variety.Text.2	Vanilla chamomile tea		
food_info_types_beverages.3	dozeBeverages.Variety.Text.3	Coffee		
food_info_types_beverages.4	dozeBeverages.Variety.Text.4	Earl grey tea		
food_info_types_beverages.5	dozeBeverages.Variety.Text.5	Green tea		
food_info_types_beverages.6	dozeBeverages.Variety.Text.6	Hibiscus tea		
food_info_types_beverages.7	dozeBeverages.Variety.Text.7	Hot chocolate		
food_info_types_beverages.8	dozeBeverages.Variety.Text.8	Jasmine tea		
food_info_types_beverages.9	dozeBeverages.Variety.Text.9	Lemon balm tea		
beverages	dozeBeverages.heading	Beverages	Getränke	
food_info_serving_sizes_exercise_imperial.0	dozeExercise.Serving.imperial.0	90 minutes of moderate-intensity activity	90 min Aktivität mittlerer Intensität	
food_info_serving_sizes_exercise_imperial.1	dozeExercise.Serving.imperial.1	40 minutes of vigorous-intensity activity	40 min Aktivität hoher Intensität	
food_info_serving_sizes_exercise_metric.0	dozeExercise.Serving.metric.0	90 minutes of moderate-intensity activity	90 min Aktivität mittlerer Intensität	
food_info_serving_sizes_exercise_metric.1	dozeExercise.Serving.metric.1	40 minutes of vigorous-intensity activity	40 min Aktivität hoher Intensität	
food_info_types_exercise.0	dozeExercise.Variety.Text.0	Bicycling		
food_info_types_exercise.1	dozeExercise.Variety.Text.1	Canoeing		
food_info_types_exercise.10	dozeExercise.Variety.Text.10	Juggling		
food_info_types_exercise.11	dozeExercise.Variety.Text.11	Jumping on a trampoline		
food_info_types_exercise.12	dozeExercise.Variety.Text.12	Paddle boating		
food_info_types_exercise.13	dozeExercise.Variety.Text.13	Playing frisbee		
food_info_types_exercise.14	dozeExercise.Variety.Text.14	Roller-skating		
food_info_types_exercise.15	dozeExercise.Variety.Text.15	Shooting baskets		
food_info_types_exercise.16	dozeExercise.Variety.Text.16	Shoveling light snow		
food_info_types_exercise.17	dozeExercise.Variety.Text.17	Skateboarding		
food_info_types_exercise.18	dozeExercise.Variety.Text.18	Snorkeling		
food_info_types_exercise.19	dozeExercise.Variety.Text.19	Surfing		
food_info_types_exercise.2	dozeExercise.Variety.Text.2	Dancing		
food_info_types_exercise.20	dozeExercise.Variety.Text.20	Swimming recreationally		
food_info_types_exercise.21	dozeExercise.Variety.Text.21	Tennis (doubles)		
food_info_types_exercise.22	dozeExercise.Variety.Text.22	Treading water		
food_info_types_exercise.23	dozeExercise.Variety.Text.23	Walking briskly (4 mph)		
