key_droid	key_apple	base_value	lang_value	base_note
	apple.info.about.0	Welcome to my Daily Dozen!	Willkommen zu meinem Täglichen Dutzend!	
	apple.info.about.1	Use this app on a daily basis to keep track of the foods and advice I recommend for optimal health and longevity in my books How Not to Die and How Not to Diet.	Verwenden Sie diese App täglich, um den Überblick über die Lebensmittel und Ratschläge zu behalten, die ich in meinen Büchern How Not to Die und How Not to Diet für optimale Gesundheit und Langlebigkeit empfehle.	
	apple.info.about.2	Daily Dozen	Das Tägliche Dutzend	
	apple.info.about.3	version 3.2.11	Version 3.2.11	
	apple.info.about.4	This app was created by: NutritionFacts.org, Christi Richards, Konstantin Khokhlov, and Marc Campbell	Diese App wurde erstellt von: NutritionFacts.org, Christi Richards, Konstantin Khokhlov, und Marc Campbell	
	apple.info.about.5	The following open source libraries are used: RealmSwift, Charts, FSCalendar, SimpleAnimation, ActiveLabel.	Die folgenden Open-Source-Bibliotheken werden verwendet: RealmSwift, Charts, FSCalendar, SimpleAnimation, ActiveLabel.	
OK	dozeOtherInfo.confirm	OK	OK	
	dozeOtherInfo.message	Vitamin B12 is essential for your health but does not count towards your daily servings.\n\nVitamin B12 is included in this app to provide you with an easy way to track your intake.	Vitamin B12 ist wichtig für die Gesundheit, wird aber nicht auf die tägliche Portion angerechnet.\n\nVitamin B12 ist in dieser App enthalten, um Ihnen eine einfache Möglichkeit zu bieten, Ihre Einnahme zu verfolgen.	
	dozeOtherInfo.title	Supplements	Nahrungsergänzungsmittel	
	historyRecordDoze.heading	Servings History	Portionen Verlauf	
	historyRecordDoze.legend	Servings	Portionen Verlauf	
	historyRecordTweak.heading	Tweaks History	Optimierungen Verlauf	
tweaks	historyRecordTweak.legend	Tweaks	Optimierungen Verlauf	
weight_history	historyRecordWeight.heading	Weight History	Gewichtsverlauf	
evening	historyRecordWeight.legendEvening	Evening	Abend	
morning	historyRecordWeight.legendMorning	Morning	Morgen	
	historyRecordWeight.titleImperial	Weight (lbs)	Gewicht (Pfund)	
	historyRecordWeight.titleMetric	Weight (kg)	Gewicht (kg)	
about_this_app	info.about.title	About this app	Über diese Anwendung	
	navtab.doze	Daily Dozen	Das Tägliche Dutzend	
	navtab.info	Information	Information	
	navtab.preferences	Preferences	Einstellungen	
	navtab.tweaks	21 Tweaks	21 Optimierungen	
format_num_days	streakDaysFormat	%d days	%d Tage	Formatted string %d days
imperial	unitToggle.imperial	imperial	imperial	
metric	unitToggle.metric	metric	metrisch	
videos	videos.link.label	VIDEOS	VIDEOS	Keyword for link to video topics
weight	weightEntry.heading	Weight	Gewicht	
	weightEntry.kilograms	kg	kg	
	weightEntry.pounds	lbs	Pfund	
about_tweak		About Tweak	Über Optimierungen	
android.about_text_lines.0		This app was created by John Slavick.	Diese Anwendung wurde von John Slavick erstellt.	
