key_droid	key_apple	base_value	lang_value	base_note	lang_note
serving_sizes	doze_detail_section_sizes	Serving Sizes (Suggested)	Portionsgröße (empfohlen)	Doze Detail View subheading: ‘Serving Sizes’	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup hummus or bean dip	32 Gramm Hummus oder Bohnendip		
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, or lentils	170 Gramm gekochte Bohnen, Erbsen oder Linsen		
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	½ cup tofu or tempeh	170 Gramm Tofu oder Tempeh 		
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or snow peas	240 Gramm frische Erbsen oder Zuckererbsen 		
food_info_serving_sizes_beans_imperial.4	dozeBeans.Serving.imperial.4	1 cup fresh sprouted beans (lentils, mung beans)	240 Gramm frische Sojasprossen (Linsen, Mungbohnen) 		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g hummus or bean dip	60 Gramm Hummus oder Bohnendip		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	90 g cooked beans, split peas, or lentils	90 Gramm gekochte Bohnen, Erbsen oder Linsen		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	100 g tofu or tempeh	100 Gramm Tofu oder Tempeh		
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	130 g fresh peas or snow peas	130 Gramm frische Erbsen oder Zuckererbsen		
food_info_serving_sizes_beans_metric.4	dozeBeans.Serving.metric.4	100 g fresh sprouted beans (lentils, mung beans)	100 Gramm frische Sojasprossen (Linsen, Mungbohnen)		
faq_adapt_question	faq_adapt_question	The Daily Dozen is too much/too little food for me! Can I adapt it?	Die Daily Dozen ist zu viel/zu wenig Essen für mich! Kann ich es anpassen?		
faq_adapt_response	faq_adapt_response	Yes, the Daily Dozen is simply meant to be a guide of the healthiest foods that we strive to include every day. It’s not a meal plan and is not meant to be prescriptive. Do your best to eat a diverse array of whole plant foods and adapt the Daily Dozen to the quantities that work for you.	Ja, die Daily Dozen ist einfach ein Leitfaden der gesündesten Nahrungsmittel, die wir versuchen jeden Tag zu uns zu nehmen. Es ist kein Speiseplan und sollte nicht vorschriftsmäßig gesehen werden. Versuch dein Bestes eine Vielfalt von vollwertigen pflanzlichen Lebensmitteln zu essen und passe die Daily Dozen zu den Mengen an, die für dich am besten passen.		
faq_age_question	faq_age_question	Is this adaptable for children, adolescents, and teens?	Kann die Daily Dozen für Kinder, Jugendliche und Teenager angepasst werden?		
faq_age_response.0	faq_age_response.0	Children, adolescents, and teenagers have different caloric needs throughout their lifecycle. These needs change to support growth and development at each stage.	Kinder, Jugendliche und Teenager haben einen verschiedenen Kalorienbedarf während ihrer Lebensdauer. Dieser Bedarf ändert sich, um Wachstum und die Entwicklung bei jedem Abschnitt zu fördern.		
faq_age_response.1	faq_age_response.1	The Daily Dozen was designed as a guide to help people include some of the healthiest foods into their daily routine. While the same framework can be used for most people throughout the lifecycle, the amount of food one needs to eat will vary based on a number of factors like age and activity level. Since we can’t provide specific nutrition or medical advice for your growing child, parents should use this guide as they see best for their child’s needs and/or consult with a registered dietitian or other healthcare provider to help determine what is best for their individual needs.	Die Daily Dozen ist ein Leitfaden, um Menschen zu helfen einige der gesündesten Lebensmittel in ihre tägliche Routine einzubauen. Obwohl der gleiche Rahmen für die meisten Menschen während ihrer Lebensdauer genutzt werden kann, hängt die Menge der Nahrungsmittel, die ein Mensch konsumieren sollte von verschiedenen Faktoren ab, wie Alter und Aktivitätslevel. Da wir keinen spezifischen Ernährungs- oder medizinischen Rat für ihr heranwachsendes Kind geben können, sollten Eltern diese Richtschnur so annehmen, wie sie es am besten für den Bedarf ihres Kindes ansehen. Zusätzlich können Sie einen Ernährungsberater oder Arzt konsultieren, um zu bestimmen was das Beste für den individuellen Bedarf ist.		
faq_calories_question	faq_calories_question	How many calories are in the Daily Dozen?	Wie viele Kalorien sind die Daily Dozen?		
