key_droid	key_apple	base_value	lang_value	base_note	lang_note
	CFBundleDisplayName	DailyDozen	DailyDozen	User-visible application name. Visible under icon. Used by Siri.	
	CFBundleName	DailyDozen	DailyDozen	User-visible application short name (15 Characters max)	
back_to_today	dateBackButtonTitle	Back to today	Zurück zu heute	Date Button Title: ‘Back to today’	
	dateButtonTitle.today	Today	Heute	Date Button Title: ‘Today’	
serving_sizes	doze_detail_section_sizes	Serving Sizes (Suggested)	Portionsgröße (empfohlen)	Doze Detail View subheading: ‘Serving Sizes’	
types	doze_detail_section_types	Types	Arten	Doze Detail View subheading: ‘Types’	
servings	doze_entry_header	Servings	Portionen	Doze Entry View heading: ‘Servings’	
beans	dozeBeans.heading	Beans	Bohnen	heading for daily data entry item	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup hummus or bean dip	¼ Tasse Hummus oder Bohnendip		
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, or lentils	½ Tasse gekochte Bohnen, Erbsen oder Linsen		
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	½ cup tofu or tempeh	½ Tasse Tofu oder Tempeh		
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or snow peas	1 Tasse frische Erbsen oder Zuckererbsen		
food_info_serving_sizes_beans_imperial.4	dozeBeans.Serving.imperial.4	1 cup fresh sprouted beans (lentils, mung beans)	1 Tasse frische Sojasprossen (Linsen, Mungbohnen)		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g hummus or bean dip	60 Gramm Hummus oder Bohnendip		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	90 g cooked beans, split peas, or lentils	90 Gramm gekochte Bohnen, Erbsen oder Linsen		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	100 g tofu or tempeh	100 Gramm Tofu oder Tempeh		
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	130 g fresh peas or snow peas	130 Gramm frische Erbsen oder Zuckererbsen		
food_info_serving_sizes_beans_metric.4	dozeBeans.Serving.metric.4	100 g fresh sprouted beans (lentils, mung beans)	100 Gramm frische Sojasprossen (Linsen, Mungbohnen)		
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	Schwarze Bohnen		
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas	Schwarzäugige Erbsen (Bohnen)		
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans	Butterbohnen (Wachsbohnen)		
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans	Cannelini Bohnen		
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans	Kichererbsen		
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame	Edamame (grüne Sojabohnen)		
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas	Grüne Erbsen		
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans	Dicke Bohnen		
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans	Kidneybohnen		
food_info_types_beans.9	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)	Linsen (Beluga, Puy, rote Sorten)		
food_info_types_beans.10	dozeBeans.Variety.Text.10	Miso	Miso		
food_info_types_beans.11	dozeBeans.Variety.Text.11	Navy beans	Marinebohnen (Michigan Erbse)		
food_info_types_beans.12	dozeBeans.Variety.Text.12	Pinto beans	Pintobohnen		
food_info_types_beans.13	dozeBeans.Variety.Text.13	Small red beans	Kleine rote Bohnen		
food_info_types_beans.14	dozeBeans.Variety.Text.14	Split peas (yellow or green)	Spalterbsen (gelb oder grün)		
food_info_types_beans.15	dozeBeans.Variety.Text.15	Tempeh	Tempeh		
berries	dozeBerries.heading	Berries	Beeren	heading for daily data entry item	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup fresh or frozen	½ Tasse frisch oder gefroren		
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup dried	¼ Tasse getrocknet		
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	60 g fresh or frozen	60g frisch oder gefroren		
food_info_serving_sizes_berries_metric.1	dozeBerries.Serving.metric.1	40 g dried	40g getrocknet		
food_info_types_berries.0	dozeBerries.Variety.Text.0	Acai berries	Acai Beeren		
food_info_types_berries.1	dozeBerries.Variety.Text.1	Barberries	Berberitzen		
food_info_types_berries.2	dozeBerries.Variety.Text.2	Blackberries	Brombeeren		
food_info_types_berries.3	dozeBerries.Variety.Text.3	Blueberries	Blaubeeren		
food_info_types_berries.4	dozeBerries.Variety.Text.4	Cherries (sweet or tart)	Kirschen (süß oder sauer)		
food_info_types_berries.5	dozeBerries.Variety.Text.5	Concord grapes	Blaue Trauben		
food_info_types_berries.6	dozeBerries.Variety.Text.6	Cranberries	Preiselbeeren		
food_info_types_berries.7	dozeBerries.Variety.Text.7	Goji berries	Gojibeeren		
food_info_types_berries.8	dozeBerries.Variety.Text.8	Kumquats	Kumquats		
food_info_types_berries.9	dozeBerries.Variety.Text.9	Mulberries	Maulbeeen		
food_info_types_berries.10	dozeBerries.Variety.Text.10	Raspberries (black or red)	Himbeeren		
food_info_types_berries.11	dozeBerries.Variety.Text.11	Strawberries	Erdbeeren		
beverages	dozeBeverages.heading	Beverages	Getränke	heading for daily data entry item	
food_info_serving_sizes_beverages_imperial.0	dozeBeverages.Serving.imperial.0	One glass (12 ounces)	1½ Gläser (12 Unzen)		
food_info_serving_sizes_beverages_metric.0	dozeBeverages.Serving.metric.0	One glass (350 ml)	1½ Gläser (350ml)		
food_info_types_beverages.0	dozeBeverages.Variety.Text.0	Black tea	Schwarzer Tee		
food_info_types_beverages.1	dozeBeverages.Variety.Text.1	Chai tea	Chai Tee		
food_info_types_beverages.2	dozeBeverages.Variety.Text.2	Vanilla chamomile tea	Vanille-Kamilletee		
food_info_types_beverages.3	dozeBeverages.Variety.Text.3	Coffee	Kaffee		
food_info_types_beverages.4	dozeBeverages.Variety.Text.4	Earl grey tea	Earl Grey Tee		
food_info_types_beverages.5	dozeBeverages.Variety.Text.5	Green tea	Grüner Tee		
food_info_types_beverages.6	dozeBeverages.Variety.Text.6	Hibiscus tea	Hibiskustee		
food_info_types_beverages.7	dozeBeverages.Variety.Text.7	Hot chocolate	Heiße Schokolade		
food_info_types_beverages.8	dozeBeverages.Variety.Text.8	Jasmine tea	Jasmintee		
food_info_types_beverages.9	dozeBeverages.Variety.Text.9	Lemon balm tea	Zitronenmelisse-Tee		
food_info_types_beverages.10	dozeBeverages.Variety.Text.10	Matcha tea	Matcha Tee		
food_info_types_beverages.11	dozeBeverages.Variety.Text.11	Almond blossom oolong tea	Mandelblüten Oolong-Tee		
food_info_types_beverages.12	dozeBeverages.Variety.Text.12	Peppermint tea	Pfefferminztee		
food_info_types_beverages.13	dozeBeverages.Variety.Text.13	Rooibos tea	Rooibos (Rotbusch) Tee		
food_info_types_beverages.14	dozeBeverages.Variety.Text.14	Water	Wasser		
food_info_types_beverages.15	dozeBeverages.Variety.Text.15	White tea	Weißer Tee		
exercise	dozeExercise.heading	Exercise	Bewegung	heading for daily data entry item	
food_info_serving_sizes_exercise_imperial.0	dozeExercise.Serving.imperial.0	90 minutes of moderate-intensity activity	90 Minuten Aktivität mit mäßiger Intensität		
food_info_serving_sizes_exercise_imperial.1	dozeExercise.Serving.imperial.1	40 minutes of vigorous-intensity activity	40 Minuten Aktivität mit hoher Intensität		
food_info_serving_sizes_exercise_metric.0	dozeExercise.Serving.metric.0	90 minutes of moderate-intensity activity	90 Minuten Aktivität mit mäßiger Intensität		
food_info_serving_sizes_exercise_metric.1	dozeExercise.Serving.metric.1	40 minutes of vigorous-intensity activity	40 Minuten Aktivität mit hoher Intensität		
food_info_types_exercise.0	dozeExercise.Variety.Text.0	Bicycling	Radfahren		
food_info_types_exercise.1	dozeExercise.Variety.Text.1	Canoeing	Kanufahren		
food_info_types_exercise.2	dozeExercise.Variety.Text.2	Dancing	Tanzen		
food_info_types_exercise.3	dozeExercise.Variety.Text.3	Dodgeball	Völkerball		
food_info_types_exercise.4	dozeExercise.Variety.Text.4	Downhill skiing	Ski Alpin (Abfahrtslauf)		
food_info_types_exercise.5	dozeExercise.Variety.Text.5	Fencing	Fechten		
food_info_types_exercise.6	dozeExercise.Variety.Text.6	Hiking	Wandern		
