key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple_store_description.0	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, “How Not to Die”, and now his new book, “How Not to Diet”.	Behalten Sie den Überblick über die Lebensmittel, die Dr. Greger in seinem New York Times-Bestseller How Not to Die und jetzt auch in seinem neuen Buch How Not to Diet empfiehlt.	Use language-applicable quotation marks for book titles.	
	apple_store_description.1	The 21 Tweaks feature, based on “How Not to Diet”, also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.	Die Funktion 21 Optimierungen, die auf How Not to Diet basiert, bietet auch einen Gewichts-Tracker. Der Gewichtstracker kann HealthKit nutzen, um entweder manuell eingegebene Gewichtswerte zu speichern oder um Gewichtsdaten von HealthKit-fähigen Waagen zu lesen.	Use language-applicable quotation marks for book titles.	
	apple_store_description.2	In the years of research required to create the more than two-thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	Während der jahrelangen Recherche, die notwendig war, um die mehr als zweitausend evidenzbasierten Videos auf seiner Website NutritionFacts.org zu erstellen, hat Dr. med. Michael Greger, FACLM (Fellow des American College of Lifestyle Medicine), eine Liste der aus seiner Sicht wichtigsten Lebensmittel zusammengestellt, die täglich in eine gesunde Ernährung integriert werden sollten.		
	apple_store_description.3	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book “How Not to Die”.	Dr. Gregers “Tägliches Dutzend” beschreibt die gesündesten Lebensmittel und die Anzahl der Portionen, die wir jeden Tag essen sollten. In seinem Buch How Not to Die erläutert er seine Überlegungen.	Use language-applicable quotation marks for book titles.	
	apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Alle Erlöse aus seinen Büchern, DVDs und Vorträgen werden vollständig für wohltätige Zwecke gespendet.		
	apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org ist ein nicht-kommerzielles, gemeinnütziges, wissenschaftlich fundiertes Angebot von Dr. Greger, das täglich kurze, verständliche Videos mit den neuesten wissenschaftlichen Erkenntnissen zur Ernährung veröffentlicht. Das Angebot umfasst bereits mehr als 2000 Videos zu allen Bereichen einer gesunden Ernährung, und täglich kommen neue Videos und Artikel hinzu.		
	apple_store_description.6	Like this app, everything on the website is both free of ads and free of charge.	Wie diese App ist auch alles auf der Website werbefrei und kostenlos.		
	apple_store_description.7	Application level language selection, via Settings, requires iOS 13 or newer.	Die Sprachauswahl auf Anwendungsebene über die Einstellungen erfordert iOS 13 oder neuer.		
	apple_store_promotion	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, “How Not to Diet”.	Entdecken Sie die brandneue Funktionalität des Täglichen Dutzend! Enthält 21 Optimierungen aus dem neuen Buch “How Not to Diet”.	Use language-applicable quotation marks for book titles.	
	apple_store_subtitle	NutritionFacts.org	NutritionFacts.org	Must be a maximum of 30 characters	
android_store_title	apple_store_title	Dr. Greger’s Daily Dozen	Dr. Greger's Tägliches Dutzend	Must be a maximum of 30 characters	
	apple_store_whatsnew	Adds language support for language_name_here.	Unterstützt nun auch die deutsche Sprache.	Replace language_name_here with the translated language name for this translation.	
android_store_whatsnew_analytics	apple_store_whatsnew_analytics	Adds anonymous opt-in analytics to support product improvement.	Fügt anonyme opt-in Analytik zur Produktverbesserung bei.	What's New Item	
	apple_store_whatsnew_darkmode	Adds support for Dark Mode.	Fügt Unterstützung für Dark Mode bei.	What's New Item	
	apple_store_whatsnew_export	Adds support to export history data.	Fügt Unterstützung zur Export Historie bei.	What's New Item	
android_store_whatsnew_faq	apple_store_whatsnew_faq	Adds Frequently Asked Questions (FAQ)	Häufig gestellte Fragen hinzugefügt (FAQ)	What's New Item	
	apple_store_whatsnew_import	Adds support to import history data.	Fügt Unterstützung zur Import Historie bei.	What's New Item	
android_store_whatsnew_improvement	apple_store_whatsnew_improvement	General software quality improvements.	Allgemeine Softwarequalitätsverbesserungen.	What's New Item	
store_keywords	store_keywords	vegan, nutrition, food, vegetarian, health, healthy	vegan, Ernährung, Lebensmittel, vegetarisch, Gesundheit, gesund		
store_screen.0	store_screen.0	Eat. Track. Repeat. No calorie counting or macro tracking required.	Essen. Nachverfolgen. Wiederholen. Kein Kalorienzählen oder Makro-Tracking erforderlich.		
store_screen.1	store_screen.1	All for free!	Alles kostenlos!		
store_screen.2	store_screen.2	Eat delicious meals that include Daily Dozen foods.	Essen Sie köstliche Mahlzeiten, die Lebensmittel des “Täglichen Dutzends” enthalten.		
store_screen.3	store_screen.3	Track your daily servings in the app.	Verfolgen Sie Ihre täglichen Portionen in der App.		
store_screen.4	store_screen.4	Repeat until healthy eating becomes second nature.	Wiederholen Sie den Vorgang, bis die gesunde Ernährung zur Selbstverständlichkeit wird.		
store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen - It’s your regular routine that determines your long-term health. Download today!	Dr. Gregers tägliches Dutzend – Ihre tägliche Routine bestimmt Ihre langfristige Gesundheit. Jetzt herunterladen!		
android_store_description.0		Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day from his book “How Not Die”—now including the 21 Tweaks from “How Not to Diet”—weight-loss accelerators to help maximize our natural fat-burning capabilities.	Dr. Gregers “Tägliches Dutzend” beschreibt die gesündesten Lebensmittel und die Anzahl der Portionen, die wir jeden Tag essen sollten, aus seinem Buch „How Not to Die“ - jetzt mit den 21 Optimierungen aus „How Not to Diet“, die den Gewichtsverlust beschleunigen und unsere natürliche Fettverbrennung maximieren.	Use language-applicable quotation marks for book titles.	
android_store_description.1		All proceeds from his books, DVDs, and speaking engagements are donated to charity.	Alle Erlöse aus seinen Büchern, DVDs und Vorträgen werden vollständig für wohltätige Zwecke gespendet.		
android_store_description.2		NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org ist ein nicht-kommerzielles, gemeinnütziges, wissenschaftlich fundiertes Angebot von Dr. Greger, das täglich kurze, verständliche Videos mit den neuesten wissenschaftlichen Erkenntnissen zur Ernährung veröffentlicht. Das Angebot umfasst bereits mehr als 2000 Videos zu allen Bereichen einer gesunden Ernährung, und täglich kommen neue Videos und Artikel hinzu. Wie diese App ist auch die gesamte Website werbefrei und kostenlos.		
android_store_whatsnew		Adds language support for language_name_here.	Unterstützt nun auch die deutsche Sprache.	Replace language_name_here with the translated language name for this translation.	
