key_droid	key_apple	base_value	lang_value	base_comment
beverages	dozeBeverages	Beverages	Ροφήματα	
whole_grains	dozeWholeGrains	Whole Grains	Ολικής Αλέσεως	
beans	dozeBeans	Beans	Όσπρια	
other_vegetables	dozeVegetablesOther	Other Vegetables	Άλλα Λαχανικά	
exercise	dozeExercise	Exercise	Γυμναστική	
other_fruits	dozeFruitsOther	Other Fruits	Άλλα Φρούτα	
spices	dozeSpices	Herbs and Spices	Μπαχαρικά	
greens	dozeGreens	Greens	Πράσινα Φυλλώδη	
berries	dozeBerries	Berries	Μούρα	
cruciferous_vegetables	dozeVegetablesCruciferous	Cruciferous Vegetables	Σταυρανθή Λαχανικά	
nuts	dozeNuts	Nuts and Seeds	Ξηροί Καρποί	
vitamin_b12	otherVitaminB12	Vitamin B12	Βιταμίνη B12	
flaxseeds	dozeFlaxseeds	Flaxseeds	Λιναρόσπορος	
food_info_serving_sizes_beans[imperial][0]	dozeBeansServing[imperial][0]	¼ cup of hummus or bean dip	¼ φλιτζάνι χούμους ή ντιπ φασολιού	  
food_info_serving_sizes_beans[metric][0]	dozeBeansServing[metric][0]	60 g of hummus or bean dip	60 γραμμάρια χούμους ή ντιπ φασολιού	  
food_info_serving_sizes_beans[imperial][1]	dozeBeansServing[imperial][1]	½ cup cooked beans, split peas, lentils, tofu, or tempeh	½ φλιτζάνι μαγειρεμένα φασόλια, φάβα, φακές, τόφου, ή τέμπε	  
food_info_serving_sizes_beans[metric][1]	dozeBeansServing[metric][1]	130 g cooked beans, split peas, lentils, tofu, or tempeh	130 γραμμάρια μαγειρεμένα φασόλια, φάβα, φακές, τόφου, ή τέμπε	  
food_info_serving_sizes_beans[imperial][2]	dozeBeansServing[imperial][2]	1 cup of fresh peas or sprouted lentils	1 φλιτζάνι αρακά ή φακές φυτρωμένες	  
food_info_serving_sizes_beans[metric][2]	dozeBeansServing[metric][2]	150 g of fresh peas or sprouted lentils	150 γραμμάρια αρακά ή φακές φυτρωμένες	  
food_info_serving_sizes_flaxseeds[imperial][0]	dozeFlaxseedsServing[imperial][0]	1 tablespoon ground	1 κουταλιά της σούπας αλεσμένο	  
food_info_serving_sizes_flaxseeds[metric][0]	dozeFlaxseedsServing[metric][0]	1 tablespoon ground	1 κουταλιά της σούπας αλεσμένο	  
food_info_serving_sizes_beverages[imperial][0]	dozeBeveragesServing[imperial][0]	One glass (12 ounces)	Ένα ποτήρι (12 Ουγγιές)	  
food_info_serving_sizes_beverages[metric][0]	dozeBeveragesServing[metric][0]	One glass (350 ml)	Ένα ποτήρι (350 ml)	  
food_info_serving_sizes_spices[imperial][0]	dozeSpicesServing[imperial][0]	¼ teaspoon of turmeric	¼ κουταλάκι του γλυκού κουρκουμά	  
food_info_serving_sizes_spices[metric][0]	dozeSpicesServing[metric][0]	¼ teaspoon of turmeric	¼ κουταλάκι του γλυκού κουρκουμά	  
food_info_serving_sizes_spices[imperial][1]	dozeSpicesServing[imperial][1]	Any other (salt-free) herbs and spices you enjoy	Ότι άλλο (χωρίς αλάτι) βότανο και μπαχαρικό σας αρέσει	  
food_info_serving_sizes_spices[metric][1]	dozeSpicesServing[metric][1]	Any other (salt-free) herbs and spices you enjoy	Ότι άλλο (χωρίς αλάτι) βότανο και μπαχαρικό σας αρέσει	  
