key_droid	key_apple	base_value	lang_value	base_note	lang_note
food_info_serving_sizes_cruciferous_vegetables_imperial.1	dozeVegetablesCruciferous.Serving.imperial.1	½ cup Brussels sprouts	½ φλιτζάνι λαχανάκια Βρυξελλών		
food_info_serving_sizes_cruciferous_vegetables_imperial.2	dozeVegetablesCruciferous.Serving.imperial.2	¼ cup Broccoli sprouts	¼ φλιτζάνι φύτρα μπρόκολου		
food_info_serving_sizes_cruciferous_vegetables_imperial.3	dozeVegetablesCruciferous.Serving.imperial.3	1 tablespoon horseradish	1 κουταλιά της σούπας χρένο		
food_info_serving_sizes_cruciferous_vegetables_metric.1	dozeVegetablesCruciferous.Serving.metric.1	78 g Brussels sprouts	78 γραμμάρια λαχανάκια Βρυξελλών		
food_info_serving_sizes_cruciferous_vegetables_metric.2	dozeVegetablesCruciferous.Serving.metric.2	14 g Broccoli sprouts	14 γραμμάρια φύτρα μπρόκολου		
food_info_serving_sizes_cruciferous_vegetables_metric.3	dozeVegetablesCruciferous.Serving.metric.3	1 tablespoon horseradish	1 κουταλιά της σούπας χρένο		
about_translators	info_app_about_translators	Special thanks to our volunteer translators: Petar & Tsveti Enchev (bg), Ricard Soler Roger (ca), Luděk Bouška (cs,sk), Lenka Lukacová (cs), Anke Schliessmann (de), Ángela Graña (es), Doron Barak (he), Ruth Levy (he), Annalisa Guerrini-Körner (it), Ilaria Zanini (it), Hanna Gurzeda (pl), Joanna Klopotek (pl), Tania Bassi (pt-BR), João Madureira (pt-PT), Evgeniya Lyakh (ru), Katarína Mocáková (sk).	Ιδιαίτερες ευχαριστίες στους εθελοντές μεταφραστές μας: Petar & Tsveti Enchev (bg), Ricard Soler Roger (ca), Luděk Bouška (cs,sk), Lenka Lukacová (cs), Anke Schliessmann (de), Ángela Graña (es), Doron Barak (he), Ruth Levy (he), Annalisa Guerrini-Körner (it), Ilaria Zanini (it), Hanna Gurzeda (pl), Joanna Klopotek (pl), Tania Bassi (pt-BR), João Madureira (pt-PT), Evgeniya Lyakh (ru), Katarína Mocáková (sk).	Info About View: Contributing Translators List (language code)  See https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes	
	setting_analytics_body	Enable anonymous usage information to be collected to help improve this application.	Ενεργοποιήστε τη συλλογή ανώνυμων πληροφοριών χρήσης για τη βελτίωση αυτής της εφαρμογής.	Google Firebase Analytics	Enable the collection of anonymous usage information to improve this app
	setting_analytics_enable	Enable Analytics	Ενεργοποιήστε τα αναλυτικά στοιχεία	Google Firebase Analytics	Turn on analytics
		Turn on analytics	Ενεργοποιήστε τα αναλυτικά στοιχεία		Turn on analytics
	setting_analytics_opt_in	Opt In	Συμμετοχή	Google Firebase Analytics "Accept"	Participation
	setting_analytics_opt_out	Opt Out	Εξαίρεση	Google Firebase Analytics "Decline"	Exception
		Opt Out Buton	Κουμπί εξαίρεσης		Opt-out button
		Opt out of cookies	Εξαίρεση από τα cookies		Exclusion from cookies
	setting_analytics_title	Analytics	αναλυτικά στοιχεία	Google Firebase Analytics	detailed information
		Firebase Analytics	Αναλύσεις Firebase		
