key_droid	key_apple	base_value	lang_value	base_note	lang_note
food_info_serving_sizes_cruciferous_vegetables_imperial.1	dozeVegetablesCruciferous.Serving.imperial.1	½ cup Brussels sprouts	½ φλιτζάνι λαχανάκια Βρυξελλών		
food_info_serving_sizes_cruciferous_vegetables_imperial.2	dozeVegetablesCruciferous.Serving.imperial.2	¼ cup Broccoli sprouts	¼ φλιτζάνι φύτρα μπρόκολου		
food_info_serving_sizes_cruciferous_vegetables_imperial.3	dozeVegetablesCruciferous.Serving.imperial.3	1 tablespoon horseradish	1 κουταλιά της σούπας χρένο		
food_info_serving_sizes_cruciferous_vegetables_metric.1	dozeVegetablesCruciferous.Serving.metric.1	78 g Brussels sprouts	78 γραμμάρια λαχανάκια Βρυξελλών		
food_info_serving_sizes_cruciferous_vegetables_metric.2	dozeVegetablesCruciferous.Serving.metric.2	14 g Broccoli sprouts	14 γραμμάρια φύτρα μπρόκολου		
food_info_serving_sizes_cruciferous_vegetables_metric.3	dozeVegetablesCruciferous.Serving.metric.3	1 tablespoon horseradish	1 κουταλιά της σούπας χρένο		
about_translators	info_app_about_translators	Special thanks to our volunteer translators: Ricard Soler Roger (ca), Luděk Bouška (cs), Lenka Lukacová (cs), Anke Schliessmann (de), Doron Barak (he), Ruth Levy (he), Joanna Klopotek (pl), Tania Bassi (pt-BR), João Madureira (pt-PT), Evgeniya Lyakh (ru).	Ιδιαίτερες ευχαριστίες στους εθελοντές μεταφραστές μας: Ricard Soler Roger (ca), Luděk Bouška (cs), Lenka Lukacová (cs), Anke Schliessmann (de), Doron Barak (he), Ruth Levy (he), Joanna Klopotek (pl), Tania Bassi (pt-BR), João Madureira (pt-PT), Evgeniya Lyakh (ru).	Info About View: Contributing Translators List	
	setting_analytics_body	Enable anonymous usage information to be collected to help improve this application.	Enable anonymous usage information to be collected to help improve this application.	Google Firebase Analytics	
	setting_analytics_enable	Enable Analytics	Enable Analytics	Google Firebase Analytics	
	setting_analytics_opt_in	Opt In	Opt In	Google Firebase Analytics	
	setting_analytics_opt_out	Opt Out	Opt Out	Google Firebase Analytics	
	setting_analytics_title	Analytics	Analytics	Google Firebase Analytics	
