key_droid	key_apple	base_value	lang_value	base_note	lang_note
serving_sizes	doze_detail_section_sizes	Serving Sizes (Suggested)	Μεγέθη σερβιρίσματος (Προτεινόμενα)	Doze Detail View subheading: ‘Serving Sizes’	Serving Sizes (Recommended)
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup hummus or bean dip	¼ φλιτζάνι ντιπ χούμους ή φασολιών		¼ cup hummus or bean dip
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, or lentils	½ φλιτζάνι μαγειρεμένα φασόλια, μπιζέλια ή φακές		½ cup cooked beans, peas, or lentils
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	½ cup tofu or tempeh	½ φλιτζάνι τόφου ή τέμπε		
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or snow peas	1 φλιτζάνι φρέσκο αρακά ή αρακά χιονιού		
food_info_serving_sizes_beans_imperial.4	dozeBeans.Serving.imperial.4	1 cup fresh bean sprouts (lentils, mung)	1 φλιτζάνι φύτρα φρέσκων φασολιών (φακές, mung)		1 cup fresh bean sprouts (lentils, mung beans)
		bean sprouts			
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g hummus or bean dip	60 γραμμάρια χούμους ή ντιπ φασολιών		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	90 g cooked beans, split peas, or lentils	90 γραμμάρια μαγειρεμένα φασόλια, σπαστά μπιζέλια ή φακές		90g cooked beans, split peas or lentils
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	100 g tofu or tempeh	100 g τόφου ή τέμπε		
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	130 g fresh peas or snow peas	130 γραμμάρια φρέσκου αρακά ή αρακά χιονιού		
food_info_serving_sizes_beans_metric.4	dozeBeans.Serving.metric.4	100 g fresh bean sprouts (lentils, mung)	100 g φύτρα φρέσκων φασολιών (φακές, mung)		100 g fresh bean sprouts (lentils, mung beans)
faq_adapt_question	faq_adapt_question	The Daily Dozen is too much/too little food for me! Can I adapt it?	Το Daily Dozen είναι πάρα πολύ/λίγο φαγητό για μένα! Μπορώ να το προσαρμόσω;		The Daily Dozen is too much/too little food for me! Can I customize it?
faq_adapt_response	faq_adapt_response	Yes, the Daily Dozen is simply meant to be a guide of the healthiest foods that we strive to include every day. It’s not a meal plan and is not meant to be prescriptive. Do your best to eat a diverse array of whole plant foods and adapt the Daily Dozen to the quantities that work for you.	Ναι, το Daily Dozen προορίζεται απλώς να είναι ένας οδηγός για τα πιο υγιεινά τρόφιμα που προσπαθούμε να συμπεριλάβουμε καθημερινά. Δεν είναι ένα πρόγραμμα γευμάτων και δεν προορίζεται να είναι συνταγογραφικό. Κάντε ό,τι καλύτερο μπορείτε για να φάτε μια ποικιλία από ολόκληρα φυτικά τρόφιμα και προσαρμόστε το Daily Dozen στις ποσότητες που σας εξυπηρετούν.		Yes, the Daily Dozen is just meant to be a guide to the healthiest foods we try to include every day. It is not a meal plan and is not intended to be prescriptive. Do your best to eat a variety of whole plant foods and adjust the Daily Dozen to the amounts that work for you.
faq_age_question	faq_age_question	Is this adaptable for children, adolescents, and teens?	Είναι αυτό προσαρμόσιμο για παιδιά, εφήβους και εφήβους;		Is this adaptable for children, teens and tweens?
faq_age_response.0	faq_age_response.0	Children, adolescents, and teenagers have different caloric needs throughout their lifecycle. These needs change to support growth and development at each stage.	Τα παιδιά, οι έφηβοι και οι έφηβοι έχουν διαφορετικές θερμιδικές ανάγκες σε όλη τη διάρκεια του κύκλου ζωής τους. Αυτές οι ανάγκες αλλάζουν για να υποστηρίξουν την ανάπτυξη και την ανάπτυξη σε κάθε στάδιο.		Children, adolescents and young adults have different caloric needs throughout their life cycle. These needs change to support growth and development at each stage.
faq_age_response.1	faq_age_response.1	The Daily Dozen was designed as a guide to help people include some of the healthiest foods into their daily routine. While the same framework can be used for most people throughout the lifecycle, the amount of food one needs to eat will vary based on a number of factors like age and activity level. Since we can’t provide specific nutrition or medical advice for your growing child, parents should use this guide as they see best for their child’s needs and/or consult with a registered dietitian or other healthcare provider to help determine what is best for their individual needs.	Το Daily Dozen σχεδιάστηκε ως οδηγός για να βοηθήσει τους ανθρώπους να εντάξουν μερικές από τις πιο υγιεινές τροφές στην καθημερινότητά τους. Ενώ το ίδιο πλαίσιο μπορεί να χρησιμοποιηθεί για τους περισσότερους ανθρώπους σε όλη τη διάρκεια του κύκλου ζωής, η ποσότητα τροφής που χρειάζεται να φάει κάποιος θα ποικίλλει ανάλογα με διάφορους παράγοντες όπως η ηλικία και το επίπεδο δραστηριότητας. Δεδομένου ότι δεν μπορούμε να παρέχουμε συγκεκριμένες διατροφικές ή ιατρικές συμβουλές για το παιδί σας που μεγαλώνει, οι γονείς θα πρέπει να χρησιμοποιήσουν αυτόν τον οδηγό όπως βλέπουν καλύτερα για τις ανάγκες του παιδιού τους ή/και να συμβουλευτούν έναν εγγεγραμμένο διαιτολόγο ή άλλο πάροχο υγειονομικής περίθαλψης για να καθορίσουν τι είναι καλύτερο για το άτομο τους ανάγκες των.		The Daily Dozen was designed as a guide to help people incorporate some of the healthiest foods into their daily lives. While the same framework can be used for most people throughout the lifespan, the amount of food someone needs to eat will vary based on a number of factors such as age and activity level. Since we cannot provide specific nutritional or medical advice for your growing child, parents should use this guide as they see best for their child's needs and/or consult a registered dietitian or other health care provider for to determine what is best for the individual their needs.
faq_calories_question	faq_calories_question	How many calories are in the Daily Dozen?	Πόσες θερμίδες έχει το Daily Dozen;		How many calories are in the Daily Dozen?
faq_calories_response.0	faq_calories_response.0	The Daily Dozen averages about 1,200 calories, but given the wide array of food choices in each category, it can range anywhere from 800-1800. Consider the Other Vegetables category: a cup of bell peppers has a much lower caloric density than a cup of cooked sweet potatoes, therefore the caloric range will depend on your specific food choices. That’s the great thing about the Daily Dozen Checklist—it’s not a one size fits all approach, and can be adapted to your needs.	Το Daily Dozen έχει κατά μέσο όρο περίπου 1.200 θερμίδες, αλλά δεδομένης της ευρείας ποικιλίας διατροφικών επιλογών σε κάθε κατηγορία, μπορεί να κυμαίνεται από 800-1800. Σκεφτείτε την κατηγορία Άλλα λαχανικά: ένα φλιτζάνι πιπεριές έχει πολύ χαμηλότερη θερμιδική πυκνότητα από ένα φλιτζάνι μαγειρεμένες γλυκοπατάτες, επομένως το εύρος θερμίδων θα εξαρτηθεί από τις συγκεκριμένες διατροφικές σας επιλογές. Αυτό είναι το υπέροχο με τη λίστα ελέγχου Daily Dozen—δεν είναι μια προσέγγιση που ταιριάζει σε όλους και μπορεί να προσαρμοστεί στις ανάγκες σας.		The Daily Dozen averages around 1,200 calories, but given the wide variety of nutritional options in each category, it can range from 800-1,800. Consider the Other Vegetables category: one cup of bell peppers has a much lower caloric density than one cup of cooked sweet potatoes, so the calorie range will depend on your specific dietary choices. That's the great thing about the Daily Dozen checklist—it's not a one-size-fits-all approach and can be tailored to your needs.
faq_calories_response.1	faq_calories_response.1	If your goal is weight loss, you can find more information in “How Not to Diet” and the accompanying Twenty-One Tweaks. In “How Not to Diet”, I noted: “A systematic review of successful weight-loss strategies concluded that given the metabolic slowing and increased appetite that accompanies weight loss, to achieve significant weight loss, calorie counts may need to drop as low as 1,200 calories a day for women and 1,500 calories a day for men.”	Εάν ο στόχος σας είναι η απώλεια βάρους, μπορείτε να βρείτε περισσότερες πληροφορίες στο «Πώς να μην κάνετε δίαιτα» και στα συνοδευτικά Twenty-One Tweaks. Στο «How Not to Diet», σημείωσα: «Μια συστηματική ανασκόπηση επιτυχημένων στρατηγικών απώλειας βάρους κατέληξε στο συμπέρασμα ότι δεδομένης της μεταβολικής επιβράδυνσης και της αυξημένης όρεξης που συνοδεύει την απώλεια βάρους, για να επιτευχθεί σημαντική απώλεια βάρους, ο αριθμός των θερμίδων μπορεί να χρειαστεί να μειωθεί τόσο χαμηλά όσο 1.200 θερμίδες την ημέρα για τις γυναίκες και 1.500 θερμίδες την ημέρα για τους άνδρες».		If your goal is weight loss, you can find more information in How Not to Diet and the accompanying Twenty-One Tweaks. In How Not to Diet, I noted: “A systematic review of successful weight loss strategies concluded that given the metabolic slowdown and increased appetite that accompany weight loss, to achieve significant weight loss, the number of calories may need to drop as low as 1,200 calories a day for women and 1,500 calories a day for men.”
faq_calories_response.2	faq_calories_response.2	On the other hand, if your goal is weight gain, then you may want to focus on adding in more calorie-dense foods, such as sweet potatoes, avocados, nuts, and soy products.	Από την άλλη πλευρά, εάν ο στόχος σας είναι η αύξηση βάρους, τότε μπορεί να θέλετε να εστιάσετε στην προσθήκη τροφών με περισσότερες θερμίδες, όπως γλυκοπατάτες, αβοκάντο, ξηρούς καρπούς και προϊόντα σόγιας.		On the other hand, if your goal is to gain weight, then you may want to focus on adding higher-calorie foods such as sweet potatoes, avocados, nuts, and soy products.
faq_mother_question	faq_mother_question	Can I do this while pregnant or breastfeeding?	Μπορώ να το κάνω κατά τη διάρκεια της εγκυμοσύνης ή του θηλασμού;		Can I do it during pregnancy or breastfeeding?
faq_mother_response	faq_mother_response	People who are pregnant or breastfeeding have different caloric and nutritional needs than people who are not. As a reminder, the Daily Dozen is not a meal plan and should not be the only foods consumed within a day. People who are pregnant or breastfeeding should consult with their health care practitioner or a registered dietician for assistance with meeting their specific caloric requirements and nutritional needs.	Τα άτομα που είναι έγκυες ή θηλάζουν έχουν διαφορετικές θερμιδικές και διατροφικές ανάγκες από τα άτομα που δεν είναι. Υπενθυμίζουμε ότι το Daily Dozen δεν είναι ένα πρόγραμμα γευμάτων και δεν πρέπει να είναι τα μόνα τρόφιμα που καταναλώνονται μέσα σε μια ημέρα. Τα άτομα που είναι έγκυες ή θηλάζουν θα πρέπει να συμβουλεύονται τον γιατρό τους ή έναν εγγεγραμμένο διαιτολόγο για βοήθεια σχετικά με την κάλυψη των ειδικών θερμιδικών απαιτήσεων και των διατροφικών τους αναγκών.		People who are pregnant or breastfeeding have different caloric and nutritional needs than people who are not. We remind you that the Daily Dozen is not a meal plan and should not be the only foods consumed in a day. Individuals who are pregnant or breastfeeding should consult their physician or a registered dietitian for assistance in meeting their specific caloric requirements and nutritional needs.
faq_supplements_question	faq_supplements_question	I thought that Dr. Greger recommends taking Vitamin D and DHA supplements. Why aren’t they included?	Νόμιζα ότι ο Δρ Γκρέγκερ συνιστά τη λήψη συμπληρωμάτων βιταμίνης D και DHA. Γιατί δεν περιλαμβάνονται;		I thought Dr. Greger was recommending vitamin D and DHA supplements. Why are they not included?
