key_droid	key_apple	base_value	lang_value	base_note	lang_note
	CFBundleDisplayName	DailyDozen	DailyDozen	User-visible application name. Visible under icon. Used by Siri.	
	CFBundleName	DailyDozen	DailyDozen	User-visible application short name (15 Characters max)	
back_to_today	dateBackButtonTitle	Back to today	Επιστροφή στο σήμερα	Date Button Title: ‘Back to today’	
	dateButtonTitle.today	Today	Today	Date Button Title: ‘Today’	
serving_sizes	doze_detail_section_sizes	Serving Sizes (Suggested)	Μεγέθη σερβιρίσματος (Προτεινόμενα)	Doze Detail View subheading: ‘Serving Sizes’	Serving Sizes (Recommended)
types	doze_detail_section_types	Types	Τύποι	Doze Detail View subheading: ‘Types’	
servings	doze_entry_header	Servings	Μερίδες	Doze Entry View heading: ‘Servings’	
beans	dozeBeans.heading	Beans	Όσπρια	heading for daily data entry item	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup hummus or bean dip	¼ φλιτζάνι ντιπ χούμους ή φασολιών		¼ cup hummus or bean dip
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, or lentils	½ φλιτζάνι μαγειρεμένα φασόλια, μπιζέλια ή φακές		½ cup cooked beans, peas, or lentils
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	½ cup tofu or tempeh	½ φλιτζάνι τόφου ή τέμπε		½ cup tofu or tempeh
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or snow peas	1 φλιτζάνι φρέσκο αρακά ή αρακά χιονιού		1 cup fresh peas or snow peas
food_info_serving_sizes_beans_imperial.4	dozeBeans.Serving.imperial.4	1 cup fresh sprouted beans (lentils, mung beans)	1 φλιτζάνι φύτρα φρέσκων φασολιών (φακές, mung)		1 cup fresh bean sprouts (lentils, mung beans)
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g hummus or bean dip	60 γραμμάρια χούμους ή ντιπ φασολιών		60 grams of hummus or bean dip
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	90 g cooked beans, split peas, or lentils	90 γραμμάρια μαγειρεμένα φασόλια, σπαστά μπιζέλια ή φακές		90g cooked beans, split peas or lentils
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	100 g tofu or tempeh	100 g τόφου ή τέμπε		100 g of tofu or tempeh
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	130 g fresh peas or snow peas	130 γραμμάρια φρέσκου αρακά ή αρακά χιονιού		130 grams of fresh peas or snow peas
food_info_serving_sizes_beans_metric.4	dozeBeans.Serving.metric.4	100 g fresh sprouted beans (lentils, mung beans)	100 g φύτρα φρέσκων φασολιών (φακές, mung)		100 g fresh bean sprouts (lentils, mung beans)
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	Μαύρα		
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas	Μαυρομάτικα		
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans	Χάντρες (μπαρμπούνια)		
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans	Γίγαντες		
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans	Ρεβίθια		
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame	Ενταμάμε		
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas	Αρακάς		
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans	Μεγάλα βόρεια		
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans	Κόκκινα		
food_info_types_beans.9	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)	Φακές (μαύρες beluga, γαλλικές, και κόκκινες ποικιλίες)		
food_info_types_beans.10	dozeBeans.Variety.Text.10	Miso	Μίσο		
food_info_types_beans.11	dozeBeans.Variety.Text.11	Navy beans	Νέιβι		
food_info_types_beans.12	dozeBeans.Variety.Text.12	Pinto beans	Πίντο		
food_info_types_beans.13	dozeBeans.Variety.Text.13	Small red beans	Μικρά κόκκινα		
food_info_types_beans.14	dozeBeans.Variety.Text.14	Split peas (yellow or green)	Φάβα (κίτρινη ή πράσινη)		
food_info_types_beans.15	dozeBeans.Variety.Text.15	Tempeh	Τέμπε		
berries	dozeBerries.heading	Berries	Μούρα	heading for daily data entry item	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup fresh or frozen	½ φλιτζάνι φρέσκα ή κατεψυγμένα		
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup dried	¼ φλιτζανιού αποξηραμένα		
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	60 g fresh or frozen	60 γραμμάρια φρέσκα ή κατεψυγμένα		
food_info_serving_sizes_berries_metric.1	dozeBerries.Serving.metric.1	40 g dried	40 γραμμάρια αποξηραμένα		
food_info_types_berries.0	dozeBerries.Variety.Text.0	Acai berries	Ασάι		
food_info_types_berries.1	dozeBerries.Variety.Text.1	Barberries	Βερβερίς		
food_info_types_berries.2	dozeBerries.Variety.Text.2	Blackberries	Βατόμουρα		
food_info_types_berries.3	dozeBerries.Variety.Text.3	Blueberries	Μύρτιλα		
food_info_types_berries.4	dozeBerries.Variety.Text.4	Cherries (sweet or tart)	Κεράσια (γλυκά ή ξινά)		
food_info_types_berries.5	dozeBerries.Variety.Text.5	Concord grapes	Κονκόρντ σταφύλια		
food_info_types_berries.6	dozeBerries.Variety.Text.6	Cranberries	Φίγγι		
food_info_types_berries.7	dozeBerries.Variety.Text.7	Goji berries	Γκότζι μπέρι		
food_info_types_berries.8	dozeBerries.Variety.Text.8	Kumquats	Φορτουνέλλα		
food_info_types_berries.9	dozeBerries.Variety.Text.9	Mulberries	Μορέα		
food_info_types_berries.10	dozeBerries.Variety.Text.10	Raspberries (black or red)	Βατόμουρα (μαύρα ή κόκκινα)		
food_info_types_berries.11	dozeBerries.Variety.Text.11	Strawberries	Φράουλες		
beverages	dozeBeverages.heading	Beverages	Ροφήματα	heading for daily data entry item	
food_info_serving_sizes_beverages_imperial.0	dozeBeverages.Serving.imperial.0	One glass (12 ounces)	Ένα ποτήρι (12 Ουγγιές)		
food_info_serving_sizes_beverages_metric.0	dozeBeverages.Serving.metric.0	One glass (350 ml)	Ένα ποτήρι (350 ml)		
food_info_types_beverages.0	dozeBeverages.Variety.Text.0	Black tea	Μαύρο τσάι		
food_info_types_beverages.1	dozeBeverages.Variety.Text.1	Chai tea	Τσάι μασάλα		
food_info_types_beverages.2	dozeBeverages.Variety.Text.2	Vanilla chamomile tea	Βανίλια χαμομήλι		
food_info_types_beverages.3	dozeBeverages.Variety.Text.3	Coffee	Καφές		
food_info_types_beverages.4	dozeBeverages.Variety.Text.4	Earl grey tea	Τσάι Earl Grey		
food_info_types_beverages.5	dozeBeverages.Variety.Text.5	Green tea	Πράσινο τσάι		
food_info_types_beverages.6	dozeBeverages.Variety.Text.6	Hibiscus tea	Τσάι υβίσκου		
food_info_types_beverages.7	dozeBeverages.Variety.Text.7	Hot chocolate	Ζεστή σοκολάτα		
food_info_types_beverages.8	dozeBeverages.Variety.Text.8	Jasmine tea	Τσάι γιασεμί		
food_info_types_beverages.9	dozeBeverages.Variety.Text.9	Lemon balm tea	Τσάι με λεμόνι βάλσαμο		
food_info_types_beverages.10	dozeBeverages.Variety.Text.10	Matcha tea	Τσάι μάτσα		
food_info_types_beverages.11	dozeBeverages.Variety.Text.11	Almond blossom oolong tea	Τσάι ούλονγκ		
food_info_types_beverages.12	dozeBeverages.Variety.Text.12	Peppermint tea	Τσάι μίνθη		
food_info_types_beverages.13	dozeBeverages.Variety.Text.13	Rooibos tea	Τσάι Ρόιμπος		
food_info_types_beverages.14	dozeBeverages.Variety.Text.14	Water	Νερό		
food_info_types_beverages.15	dozeBeverages.Variety.Text.15	White tea	Λευκό τσάι		
exercise	dozeExercise.heading	Exercise	Γυμναστική	heading for daily data entry item	
food_info_serving_sizes_exercise_imperial.0	dozeExercise.Serving.imperial.0	90 minutes of moderate-intensity activity	90 λεπτά δραστηριότητα μέτριας έντασης		
food_info_serving_sizes_exercise_imperial.1	dozeExercise.Serving.imperial.1	40 minutes of vigorous-intensity activity	40 λεπτά δραστηριότητα έντονης έντασης		
food_info_serving_sizes_exercise_metric.0	dozeExercise.Serving.metric.0	90 minutes of moderate-intensity activity	90 λεπτά δραστηριότητα μέτριας έντασης		
