key_droid	key_apple	base_value	lang_value	base_note
	apple.info.about.0	Welcome to my Daily Dozen!	ברוכים הבאים לתריסר השבועי שלי!	
	apple.info.about.1	Use this app on a daily basis to keep track of the foods and advice I recommend for optimal health and longevity in my books How Not to Die and How Not to Diet.	השתמשו באפליקציה זו על בסיס יומי כדי לעקוב אחר המזונות והעצות שאני ממליץ עליהן לבריאות ואריכות ימים בצורה אופטימלית בספרים שלי "איך לא למות" ו"איך לא לעשות דיאטה".	
	apple.info.about.2	Daily Dozen	התריסר היומי	
	apple.info.about.3	version 3.2.3	ורסיה 3.2.3	
	apple.info.about.4	This app was created by: NutritionFacts.org, Christi Richards, Konstantin Khokhlov, and Marc Campbell	אפליקציה זו נוצרה על ידי: NutritionFacts.org, כריסטי ריצ'רדס, קונסטנטין חוחלוב ומארק קמפבל	
	apple.info.about.5	The following open source libraries are used: RealmSwift, Charts, FSCalendar, SimpleAnimation, ActiveLabel.	נעשה שימוש בספריות הקוד הפתוח שלהלן: RealmSwift, תרשימים, FSCalendar, SimpleAnimation, ActiveLabel.	
OK	dozeOtherInfo.confirm	OK	טוב	
	dozeOtherInfo.message	Vitamin B12 is essential for your health but does not count towards your daily servings.\n\nVitamin B12 is included in this app to provide you with an easy way to track your intake.	ויטמין B12 חיוני לבריאותכם אך אינו נכנס לתוך המנות היומיומיות שלכם. \ n \ n ויטמין B12 כלול באפליקציה זו כדי לספק לכם דרך קלה לעקוב אחר צריכתכם.	
	dozeOtherInfo.section	Supplements	תוספי תזונה	
	dozeOtherInfo.title	Supplements	תוספי תזונה	
	historyRecordDoze.heading	Servings History	הסטוריית המנות	
	historyRecordDoze.legend	Servings	מנות	
	historyRecordTweak.heading	Tweaks History	שינויים בהסטוריה	
tweaks	historyRecordTweak.legend	Tweaks	שינויים  	
weight_history	historyRecordWeight.heading	Weight History	הסטוריית המשקל	
evening	historyRecordWeight.legendEvening	Evening	ערב	
morning	historyRecordWeight.legendMorning	Morning	בוקר	
	historyRecordWeight.titleImperial	Weight (lbs)	משקל (ליברות)	
	historyRecordWeight.titleMetric	Weight (kg)	משקל (ק"ג)	
about_this_app	info.about.title	About this app	בקשר לאפליקציה זו	
	navtab.doze	Daily Dozen	התריסר היומי	
	navtab.info	Information	מידע	
	navtab.preferences	Preferences	העדפות	
	navtab.tweaks	21 Tweaks	21 שינויים	
format_num_days	streakDaysFormat	%d days	%d ימים	Formatted string %d days
imperial	unitToggle.imperial	imperial	קיסרי	
metric	unitToggle.metric	metric	מטרי	
videos	videos.link.label	VIDEOS	סרטונים	Keyword for link to video topics
weight	weightEntry.heading	Weight	משקל	
	weightEntry.kilograms	kg	ק"ג	
	weightEntry.pounds	lbs	ליברות	
about_tweak		About Tweak	לגבי שינוי	
android.about_text_lines.0		This app was created by John Slavick.	אפליקציה זו נוצרה ע"י ג'והן סלביק	
android.about_text_lines.1		The following open source libraries are used: ActiveAndroid, android-iconify, ButterKnife, EventBus, LikeAnimation, and MPAndroidChart.	נעשה שימוש בספריות הקוד הפתוחות הבאות: ActiveAndroid, android-iconify, ButterKnife, EventBus, LikeAnimation ו- MPAndroidChart.	
android.about_text_lines.2		Special thanks to the volunteer efforts of the creators of the previous app: Chan Kruse, Allan Portera, and Sangeeta Kumar."	תודה מיוחדת למאמצי ההתנדבות של יוצרי האפליקציה הקודמת: צ'אן קרוזה, אלן פורטרה וסנג'טה קומאר ".	
average_weight_on_day		Average weight on day	המשקל הממוצע ביום	
backup		Backup	גיבוי	
backup_failed		Backup failed	הגיבוי נכשל	
backup_instructions_lines.0		Follow these steps to restore this backup in the Daily Dozen app	בצע את השלבים הבאים כדי לשחזר גיבוי זה באפליקציית "התריסר היומי"	
backup_instructions_lines.1				
backup_instructions_lines.2		1. The Daily Dozen app must be installed on your Android phone. You can download it here: https://play.google.com/store/apps/details?id=org.nutritionfacts.dailydozen	1. יש להתקין את אפליקציית Daily Dozen בטלפון Android שלכם. אתם יכולים להוריד אותה כאן: https://play.google.com/store/apps/details?id=org.nutritionfacts.dailydozen	
backup_instructions_lines.3				
backup_instructions_lines.4		2. Tap on the backup file attached to this email.	2. הקישו על קובץ הגיבוי המצורף לדוא"ל זה.	
backup_instructions_lines.5				
backup_instructions_lines.6		3. Select Open with Daily Dozen	3. בחרו פתח עם תריסר יומי	
backup_success		Backup successful	גיבוי מוצלח	
channel_reminders_name		Reminders	תזכורות	
daily_servings_history		Daily Servings History	היסטוריית מנות יומית	
daily_tweaks_history		Daily Tweaks History	הסטוריית שינויים יומית	
debug		Debug	לנפות	
debug_clear_data		Clear all data	נקו את כל הנתונים	
debug_clear_data_message		This will delete all entered Servings. Do you wish to continue?	פעולה זו תמחק את כל המנות שהוזנו. האם אתם רוצים להמשיך?	
debug_generate_data_message		All existing data will be replaced. Do you wish to continue?	כל הנתונים הקיימים יוחלפו. האם אתם רוצים להמשיך?	
debug_generate_full_data		Generate full data	יצירת נתונים מלאים	
debug_generate_random_data		Generate random data	יצירת נתונים אקראיים	
debug_generate_weight_data		Generate Weight Data	יצירת נתוני משקל	
dialog_ask_user_to_rate_app_message		Please give us feedback in the Play Store.	אנא תנו לנו משוב בחנות Play.	
dialog_ask_user_to_rate_app_title		Do you like this app?	האם אתם אוהבים את האפליקציה הזו?	
dialog_no_email_apps_message		Backing up your data requires you to have an email app installed so you can email the .csv backup file to yourself. Please install an email app and try again.	גיבוי הנתונים שלכם מחייב התקנת יישום דוא"ל כדי שתוכלו לשלוח לעצמכם את קובץ הגיבוי .csv בדוא"ל. התקן יישום דוא"ל ונסה שוב.	
dialog_no_email_apps_title		No email apps found	לא נמצאה אפליקציית email	
