key_droid	key_apple	base_value	lang_value	base_note	lang_note
	CFBundleDisplayName	DailyDozen	DailyDozen	User-visible application name. Visible under icon. Used by Siri.	
	CFBundleName	DailyDozen	DailyDozen	User-visible application short name (15 Characters max)	
back_to_today	dateBackButtonTitle	Back to today	חזור להיום	Date Button Title: ‘Back to today’	
	dateButtonTitle.today	Today	היום	Date Button Title: ‘Today’	
serving_sizes	doze_detail_section_sizes	Serving Sizes (Suggested)	גודל מנה (מוצע)	Doze Detail View subheading: ‘Serving Sizes’	כותרת משנה מבט פרטי מינון: "גודל מנות"
types	doze_detail_section_types	Types	סוגים	Doze Detail View subheading: ‘Types’	
servings	doze_entry_header	Servings	מנות	Doze Entry View heading: ‘Servings’	
beans	dozeBeans.heading	Beans	שעועית	heading for daily data entry item	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup hummus or bean dip	1/4 כוס חומוס או מתבל קיטניות		
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, or lentils	1/2 כוס שעועית, אפונה יבשה, או עדשים- מבושלות		
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	½ cup tofu or tempeh	1/2 כוס טופו או טמפה		
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or snow peas	1 כוס אפונה טריה או אפונת שלג		
food_info_serving_sizes_beans_imperial.4	dozeBeans.Serving.imperial.4	1 cup fresh sprouted beans (lentils, mung beans)	1 כוס  קטניות מונבטות (עדשים, שעועית מש)		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g hummus or bean dip	60 גרם חומוס או מתבל קיטניות		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	90 g cooked beans, split peas, or lentils	90 גרם שעועית, אפונה יבשה, או עדשים- מבושלות		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	100 g tofu or tempeh	100 גרם טופו או טמפה		
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	130 g fresh peas or snow peas	130 גרם אפונה טריה או אפונת שלג		
food_info_serving_sizes_beans_metric.4	dozeBeans.Serving.metric.4	100 g fresh sprouted beans (lentils, mung beans)	100 גרם קטניות מונבטות (עדשים, שעועית מש)		
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	שעועית שחורה		
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas	לוביה		
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans	שעועית לבנה		
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans	שעועית קנליני		
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans	גרגרי חומוס		
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame	אדממה		
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas	אפונה ירוקה טריה		
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans	שעועית צפונית גדולה		
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans	שעועית אדומה		
food_info_types_beans.9	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)	עדשים (שחורות ירוקות ואדומות)		
food_info_types_beans.10	dozeBeans.Variety.Text.10	Miso	מיסו		
food_info_types_beans.11	dozeBeans.Variety.Text.11	Navy beans	שעועית לבנה		
food_info_types_beans.12	dozeBeans.Variety.Text.12	Pinto beans	שעועית מנוקדת		
food_info_types_beans.13	dozeBeans.Variety.Text.13	Small red beans	שעועית אדומה קטנה		
food_info_types_beans.14	dozeBeans.Variety.Text.14	Split peas (yellow or green)	אפונה יבשה (צהובה או ירוקה)		
food_info_types_beans.15	dozeBeans.Variety.Text.15	Tempeh	טמפה		
berries	dozeBerries.heading	Berries	פירות יער	heading for daily data entry item	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup fresh or frozen	½ כוס טרי או קפוא		
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup dried	¼ כוס יבשים		
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	60 g fresh or frozen	60 גרם טרי או קפוא		
food_info_serving_sizes_berries_metric.1	dozeBerries.Serving.metric.1	40 g dried	40 גרם יבשים		
food_info_types_berries.0	dozeBerries.Variety.Text.0	Acai berries	אסאי		
food_info_types_berries.1	dozeBerries.Variety.Text.1	Barberries	ברברית (פירות יער אדומים)		
food_info_types_berries.2	dozeBerries.Variety.Text.2	Blackberries	אוסנה (פרי יער שחור)		
food_info_types_berries.3	dozeBerries.Variety.Text.3	Blueberries	אוכמניות		
food_info_types_berries.4	dozeBerries.Variety.Text.4	Cherries (sweet or tart)	דובדבנים		
food_info_types_berries.5	dozeBerries.Variety.Text.5	Concord grapes	ענבים שחורים		
food_info_types_berries.6	dozeBerries.Variety.Text.6	Cranberries	חמוציות		
food_info_types_berries.7	dozeBerries.Variety.Text.7	Goji berries	גוג'י ברי		
food_info_types_berries.8	dozeBerries.Variety.Text.8	Kumquats	תפוז סיני		
food_info_types_berries.9	dozeBerries.Variety.Text.9	Mulberries	תות עץ		
food_info_types_berries.10	dozeBerries.Variety.Text.10	Raspberries (black or red)	פטל שחור או אדום		
food_info_types_berries.11	dozeBerries.Variety.Text.11	Strawberries	תות שדה		
beverages	dozeBeverages.heading	Beverages	משקאות קלים	heading for daily data entry item	
food_info_serving_sizes_beverages_imperial.0	dozeBeverages.Serving.imperial.0	One glass (12 ounces)	כוס אחת (350 גרם)		
food_info_serving_sizes_beverages_metric.0	dozeBeverages.Serving.metric.0	One glass (350 ml)	כוס אחת (350 מ"ל)		
food_info_types_beverages.0	dozeBeverages.Variety.Text.0	Black tea	תה שחור		
food_info_types_beverages.1	dozeBeverages.Variety.Text.1	Chai tea	צ'אי		
food_info_types_beverages.2	dozeBeverages.Variety.Text.2	Vanilla chamomile tea	תה קמומיל-וניל		
food_info_types_beverages.3	dozeBeverages.Variety.Text.3	Coffee	קפה		
food_info_types_beverages.4	dozeBeverages.Variety.Text.4	Earl grey tea	תה ארל-גריי		
food_info_types_beverages.5	dozeBeverages.Variety.Text.5	Green tea	תה ירוק		
food_info_types_beverages.6	dozeBeverages.Variety.Text.6	Hibiscus tea	תה היביסקוס		
food_info_types_beverages.7	dozeBeverages.Variety.Text.7	Hot chocolate	קקאו חם		
food_info_types_beverages.8	dozeBeverages.Variety.Text.8	Jasmine tea	תה יסמין		
food_info_types_beverages.9	dozeBeverages.Variety.Text.9	Lemon balm tea	תה מליסה		
food_info_types_beverages.10	dozeBeverages.Variety.Text.10	Matcha tea	תה מאצ'ה		
food_info_types_beverages.11	dozeBeverages.Variety.Text.11	Almond blossom oolong tea	תה אולונג		
food_info_types_beverages.12	dozeBeverages.Variety.Text.12	Peppermint tea	תה מנטה		
food_info_types_beverages.13	dozeBeverages.Variety.Text.13	Rooibos tea	תה רויבוש		
food_info_types_beverages.14	dozeBeverages.Variety.Text.14	Water	מים		
food_info_types_beverages.15	dozeBeverages.Variety.Text.15	White tea	תה לבן		
exercise	dozeExercise.heading	Exercise	תרגול גופני	heading for daily data entry item	
food_info_serving_sizes_exercise_imperial.0	dozeExercise.Serving.imperial.0	90 minutes of moderate-intensity activity	90 דקות פעילות בעצימות בינונית		
food_info_serving_sizes_exercise_imperial.1	dozeExercise.Serving.imperial.1	40 minutes of vigorous-intensity activity	40 דקות פעילות בעצימות גבוהה		
food_info_serving_sizes_exercise_metric.0	dozeExercise.Serving.metric.0	90 minutes of moderate-intensity activity	90 דקות פעילות בעצימות בינונית		
food_info_serving_sizes_exercise_metric.1	dozeExercise.Serving.metric.1	40 minutes of vigorous-intensity activity	40 דקות פעילות בעצימות גבוהה		
food_info_types_exercise.0	dozeExercise.Variety.Text.0	Bicycling	רכיבה על אופניים		
food_info_types_exercise.1	dozeExercise.Variety.Text.1	Canoeing	חתירה בקאנו		
food_info_types_exercise.2	dozeExercise.Variety.Text.2	Dancing	ריקוד		
food_info_types_exercise.3	dozeExercise.Variety.Text.3	Dodgeball	מחניים		
food_info_types_exercise.4	dozeExercise.Variety.Text.4	Downhill skiing	סקי במורד 		
food_info_types_exercise.5	dozeExercise.Variety.Text.5	Fencing	סייף		
food_info_types_exercise.6	dozeExercise.Variety.Text.6	Hiking	סיורי הליכה		
food_info_types_exercise.7	dozeExercise.Variety.Text.7	Housework	עבודות בית		
