key_droid	key_apple	base_value	lang_value	base_note	lang_note
	CFBundleDisplayName	DailyDozen	Napi Tucat	User-visible application name. Visible under icon. Used by Siri.	
	CFBundleName	DailyDozen	Napi Tucat	User-visible application short name (15 Characters max)	
back_to_today	dateBackButtonTitle	Back to today	Vissza a mai naphoz	Date Button Title: ‘Back to today’	
	dateButtonTitle.today	Today	Ma	Date Button Title: ‘Today’	
serving_sizes	doze_detail_section_sizes	Serving Sizes (Suggested)	Adagok mérete	Doze Detail View subheading: ‘Serving Sizes’	
types	doze_detail_section_types	Types	Típusok	Doze Detail View subheading: ‘Types’	
servings	doze_entry_header	Servings	Adagok	Doze Entry View heading: ‘Servings’	
beans	dozeBeans.heading	Beans	Babfélék	heading for daily data entry item	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup hummus or bean dip	¼ csésze humusz vagy babkrém		
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, or lentils	½ csésze főtt bab, sárgaborsó vagy lencse		
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	⅓ cup tofu or tempeh	½ csésze tofu vagy tempeh		
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or sprouted lentils	1 csésze friss borsó vagy hóborsó		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	70 g hummus or bean dip	70 g humusz vagy babkrém		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	100 g cooked beans, split peas, or lentils	100 g főtt bab, sárgaborsó vagy lencse		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	80 g tofu or tempeh	80 g tofu vagy tempeh		
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	100 g fresh peas or sprouted lentils	100 g friss borsó vagy hóborsó		
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	Fekete bab		
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas	Fekete szemű bab		
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans	Vajbab		
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans	Cannellini bab		
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans	Csicseriborsó/Garbanzo bab		
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame	Edamame		
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas	Zöldborsó		
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans	Nagyszemű északi fehérbab		
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans	Vesebab		
food_info_types_beans.9	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)	Lencsék (beluga, francialencse és vöröslencse fajták)		
food_info_types_beans.10	dozeBeans.Variety.Text.10	Navy beans	Apró fehérbab		
food_info_types_beans.11	dozeBeans.Variety.Text.11	Pinto beans	Tarkabab		
food_info_types_beans.12	dozeBeans.Variety.Text.12	Small red beans	Kis vörösbab		
food_info_types_beans.13	dozeBeans.Variety.Text.13	Split peas (yellow or green)	Felesborsó (sárga vagy zöld)		
food_info_types_beans.14	dozeBeans.Variety.Text.14	Tempeh	Tempeh		
berries	dozeBerries.heading	Berries	Bogyós gyümölcsök	heading for daily data entry item	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup fresh or frozen	½ csésze frissen vagy fagyasztva		
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup dried	¼ csésze szárított		
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	70 g fresh or frozen	70 g friss vagy fagyasztott		
food_info_serving_sizes_berries_metric.1	dozeBerries.Serving.metric.1	40 g dried	40 g szárított		
food_info_types_berries.0	dozeBerries.Variety.Text.0	Acai berries	Acai bogyó		
food_info_types_berries.1	dozeBerries.Variety.Text.1	Barberries	Borbolya		
food_info_types_berries.2	dozeBerries.Variety.Text.2	Blackberries	Szeder		
food_info_types_berries.3	dozeBerries.Variety.Text.3	Blueberries	Áfonya		
food_info_types_berries.4	dozeBerries.Variety.Text.4	Cherries (sweet or tart)	Cseresznye vagy meggy		
food_info_types_berries.5	dozeBerries.Variety.Text.5	Concord grapes	Konkord (kék) szőlő		
food_info_types_berries.6	dozeBerries.Variety.Text.6	Cranberries	Vörösáfonya		
