key_droid	key_apple	base_value	lang_value	base_note	lang_note
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, or lentils	½ csésze főtt bab, sárgaborsó vagy lencse		
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	½ cup tofu or tempeh	½ csésze tofu vagy tempeh		
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or snow peas	1 csésze zöldborsó vagy hóborsó		
food_info_serving_sizes_beans_imperial.4	dozeBeans.Serving.imperial.4	1 cup fresh sprouted beans (lentils, mung beans)	1 csésze friss csíráztatott bab (lencse, mungóbab)		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	90 g cooked beans, split peas, or lentils	90 g főtt bab, sárgaborsó vagy lencse		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	100 g tofu or tempeh	100 g tofu vagy tempeh		
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	130 g fresh peas or snow peas	130 g friss borsó vagy hóborsó		
food_info_serving_sizes_beans_metric.4	dozeBeans.Serving.metric.4	100 g fresh sprouted beans (lentils, mung beans)	100 g friss csíráztatott bab (lencse, mungóbab)		
food_info_types_nuts.7	dozeNuts.Variety.Text.7	Peanuts	mogyoró		
food_info_serving_sizes_cruciferous_vegetables_imperial.1	dozeVegetablesCruciferous.Serving.imperial.1	½ cup Brussels sprouts	½ csésze kelbimbó		
food_info_serving_sizes_cruciferous_vegetables_imperial.2	dozeVegetablesCruciferous.Serving.imperial.2	¼ cup Broccoli sprouts	¼ csésze brokkolicsíra		
food_info_serving_sizes_cruciferous_vegetables_metric.1	dozeVegetablesCruciferous.Serving.metric.1	80 g Brussels sprouts	80 g kelbimbó		
food_info_serving_sizes_cruciferous_vegetables_metric.2	dozeVegetablesCruciferous.Serving.metric.2	15 g Broccoli sprouts	15 g brokkoli csíra		
faq_adapt_question	faq_adapt_question	The Daily Dozen is too much/too little food for me! Can I adapt it?	A Napi Tucat túl sok/túl kevés nekem! Alakíthatok rajta?		
faq_adapt_response	faq_adapt_response	Yes, the Daily Dozen is simply meant to be a guide of the healthiest foods that we strive to include every day. It’s not a meal plan and is not meant to be prescriptive. Do your best to eat a diverse array of whole plant foods and adapt the Daily Dozen to the quantities that work for you.	Igen, a Napi Tucatot csak egy útmutatónak szántuk, ami megmutatja legegészségesebb ételeket, amiknek a napi fogyasztására törekednünk kell. Nem előírás és nem étkezési terv. Törekedjen változatos növényi étrendre és alakítsa a Napi Tucat mennyiségeit a saját igényeihez!		
faq_age_question	faq_age_question	Is this adaptable for children, adolescents, and teens?	Alkalmazható gyermekek, serdülők és tinédzserek számára is? 		
faq_age_response.0	faq_age_response.0	Children, adolescents, and teenagers have different caloric needs throughout their lifecycle. These needs change to support growth and development at each stage.	A gyermekeknek, serdülőknek és tinédzsereknek életciklusonként eltérő a kalóriaigényük. Ezek a változó szükségletek biztosítják számukra minden szakaszban a megfelelő növekedést és fejlődést.		
faq_age_response.1	faq_age_response.1	The Daily Dozen was designed as a guide to help people include some of the healthiest foods into their daily routine. While the same framework can be used for most people throughout the lifecycle, the amount of food one needs to eat will vary based on a number of factors like age and activity level. Since we can’t provide specific nutrition or medical advice for your growing child, parents should use this guide as they see best for their child’s needs and/or consult with a registered dietitian or other healthcare provider to help determine what is best for their individual needs.	A Napi Tucatot útmutatónak szántuk, hogy segítsen beépíteni a legegészségesebb ételeket a napi étkezéseinkbe. Bár a rendszer a legtöbb ember számára az egész életciklus során használható, a szükséges ételmennyiséget számos tényező befolyásolhatja, például az életkor és az aktivitási szint. Mivel nem tudunk konkrét táplálkozási vagy orvosi tanácsot adni a növésben lévő gyermek számára, a szülőknek kell ezt az útmutatót a gyermekük igényeihez igazítaniuk és/vagy konzultálniuk egy regisztrált dietetikussal vagy más egészségügyi szakemberrel és az ő segítségével meghatározni a gyermek egyéni igényeit.		
faq_calories_question	faq_calories_question	How many calories are in the Daily Dozen?	Hány kalória van a Napi Tucatban?		
faq_calories_response.0	faq_calories_response.0	The Daily Dozen averages about 1,200 calories, but given the wide array of food choices in each category, it can range anywhere from 800-1800. Consider the Other Vegetables category: a cup of bell peppers has a much lower caloric density than a cup of cooked sweet potatoes, therefore the caloric range will depend on your specific food choices. That’s the great thing about the Daily Dozen Checklist—it’s not a one size fits all approach, and can be adapted to your needs.	A Napi Tucat átlagosan körülbelül 1200 kalóriát tartalmaz, de mivel minden kategóriában széles a választható ételek köre, ez az érték 800 és 1800 kalória között mozoghat. Vegyük például az "egyéb zöldségek" kategóriát, egy csésze kaliforniai paprikának sokkal kisebb a kalóriasűrűsége, mint egy csésze főtt édesburgonyának, a kalóriamennyiség az Ön döntésétől függ. Ez a nagyszerű a Napi Tucat rendszerben, hogy nem egyetlen univerzális megoldást akar mindenkire ráerőltetni, hanem mindenki a saját igényeihez alakíthatja.		
faq_calories_response.1	faq_calories_response.1	If your goal is weight loss, you can find more information in “How Not to Diet” and the accompanying Twenty-One Tweaks. In “How Not to Diet”, I noted: “A systematic review of successful weight-loss strategies concluded that given the metabolic slowing and increased appetite that accompanies weight loss, to achieve significant weight loss, calorie counts may need to drop as low as 1,200 calories a day for women and 1,500 calories a day for men.”	Ha fogyni szeretne, további információkat talál a „Hogyan ne diétázz” című könyvemben és a benne foglalt „Huszonegy Trükk” fejezetben. A „Hogyan ne diétázz” című könyvben megjegyeztem: „A sikeres fogyókúrás stratégiák szisztematikus áttekintése arra az eredményre jutott, hogy a fogyással járó anyagcsere-lassulás és megnövekedett étvágy miatt jelentős fogyás eléréséhez a napi kalóriabevitelt akár napi 1200 kalóriára is le kell csökkenteni a nők, illetve 1500 kalóriára a férfiak esetében.”		
faq_calories_response.2	faq_calories_response.2	On the other hand, if your goal is weight gain, then you may want to focus on adding in more calorie-dense foods, such as sweet potatoes, avocados, nuts, and soy products.	Másrészt, ha a súlygyarapodás a cél, akkor érdemes lehet gyakrabban, kalóriadúsabb ételeket, például édesburgonyát, avokádót, dióféléket és szójatermékeket fogyasztani.		
faq_mother_question	faq_mother_question	Can I do this while pregnant or breastfeeding?	Követhetem a Napi Tucatot terhesség vagy szoptatás idején is?		
faq_mother_response	faq_mother_response	People who are pregnant or breastfeeding have different caloric and nutritional needs than people who are not. As a reminder, the Daily Dozen is not a meal plan and should not be the only foods consumed within a day. People who are pregnant or breastfeeding should consult with their health care practitioner or a registered dietician for assistance with meeting their specific caloric requirements and nutritional needs.	A terhes vagy szoptató nők kalória- és tápanyagigénye eltér a többiekétől. Emlékeztetőül: a Napi Tucat nem étkezési terv, és nem szabad kizárólag erre alapozni a napi táplálkozást. A várandós vagy szoptató nők konzultáljanak egészségügyi szakemberrel vagy regisztrált dietetikussal, hogy megfelelően kielégíthessék az egyéni kalória- és táplálkozási igényeiket.		
faq_scaling_question	faq_scaling_question	I can’t possibly eat that many beans/grains/etc.!	Egyszerűen képtelen vagyok ennyi babot, gabonát, stb. megenni!		
