key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple_store_description.0	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, “How Not to Die”, and now his new book, “How Not to Diet”.	Kövesse Dr. Greger táplálkozási ajánlásait a New York Times bestseller „Hogy ne halj meg!” című könyv és az újabb, „Egyél úgy, hogy ne halj meg” című könyv segítségével.	Use language-applicable quotation marks for book titles.	
	apple_store_description.1	The 21 Tweaks feature, based on “How Not to Diet”, also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.	Az „Egyél úgy, hogy ne halj meg” című könyvön alapuló 21 Trükk funkció egy testsúly követőt is tartalmaz. A testsúly követő használható Apple Healt szoftverrel, manuálisan megadott testsúly adatokkal, vagy egy Apple Health-et használó okos mérleg adataival.	Use language-applicable quotation marks for book titles.	
	apple_store_description.2	In the years of research required to create the more than two-thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	Az éveken át tartó kutatómunka során Dr. Greger (FACLM a „Fellow of the American College of Lifestyle Medicine” rövidítése, vagyis Az Amerikai Életmódorvosi Akadémia Tagja) ezernél több tény-alapú videót készített a weboldalára, a NutritionFacts.org-ra. Ezek alapján állította össze az egészséges napi étrend szempontjából legfontosabb élelmiszerek listáját.		
	apple_store_description.3	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book “How Not to Die”.	Dr Greger Napi Tucat rendszere részletezi a legegészségesebb ételeket, és hogy ezekből mennyit kellene kipipálnunk naponta. A részletes magyarázatok a „Hogy ne halj meg!” című könyvben találhatók.	Use language-applicable quotation marks for book titles.	
	apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	A könyvekből, a DVD-kből és az előadásokból származó bevételeket jótékony célra ajánlja fel.		
	apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	 A NutritionFacts.org egy non-profit, nem üzleti alapú és tudományos alapú közhasznú szolgáltatás, ahol Dr. Greger rövid videókban a dietetikai kutatások legfrissebb híreiről tájékoztat ingyenesen. Már közel ezer videót készített az egészséges táplálkozás minden aspektusáról és további videókat és cikkeket tölt fel minden nap.		
	apple_store_description.6	Like this app, everything on the website is both free of ads and free of charge.	 Ehhez az alkalmazáshoz hasonlóan a weboldal teljes tartalma is reklámmentes és ingyenes.		
	apple_store_description.7	Application level language selection, via Settings, requires iOS 13 or newer.	Az alkalmazáson belüli nyelvváltás a beállítások segítségével csak az iOS 13 vagy annál újabb rendszerekben lehetséges.		
	apple_store_promotion	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, “How Not to Diet”.	Próbálja ki a Napi Tucat legújabb funkcióját! Tartalmazza a 21 Trükköt az új „Egyél úgy, hogy ne halj meg” című könyv alapján.	Use language-applicable quotation marks for book titles.	
	apple_store_subtitle	NutritionFacts.org	NutritionFacts.org	Must be a maximum of 30 characters	
android_store_title	apple_store_title	Dr. Greger’s Daily Dozen	Dr. Greger-féle Napi Tucat	Must be a maximum of 30 characters	
	apple_store_whatsnew	Adds language support for language_name_here.	Magyar nyelvi támogatás hozzáadása.	Replace language_name_here with the translated language name for this translation.	
android_store_whatsnew_analytics	apple_store_whatsnew_analytics	Adds anonymous opt-in analytics to support product improvement.	Névtelen feliratkozásos elemzéseket ad hozzá a termékfejlesztés támogatásához.	What's New Item	
	apple_store_whatsnew_darkmode	Adds support for Dark Mode.	Sötét mód hozzáadásának támogatása.	What's New Item	
	apple_store_whatsnew_export	Adds support to export history data.	Előzményadatok exportálásának támogatása.	What's New Item	
android_store_whatsnew_faq	apple_store_whatsnew_faq	Adds Frequently Asked Questions (FAQ)	Gyakran Ismétlődő Kérdések (GYIK) hozzáadása.	What's New Item	
	apple_store_whatsnew_import	Adds support to import history data.	Előzményadatok importálásának támogatása.	What's New Item	
android_store_whatsnew_improvement	apple_store_whatsnew_improvement	General software quality improvements.	Általános szoftverminőség-javítások.	What's New Item	
store_keywords	store_keywords	vegan, nutrition, food, vegetarian, health, healthy	vegán, táplálkozás, étel, vegetáriánus, egészség, egészséges		
store_screen.0	store_screen.0	Eat. Track. Repeat. No calorie counting or macro tracking required.	Egyél. Kövesd nyomon. Ismételd. Nincs szükség kalóriaszámlálásra vagy makrókövetésre.		
store_screen.1	store_screen.1	All for free!	Mindez teljesen ingyen!		
store_screen.2	store_screen.2	Eat delicious meals that include Daily Dozen foods.	Egyél finom ételeket, amelyek tartalmazzák a Napi Tucat ételeket.		
store_screen.3	store_screen.3	Track your daily servings in the app.	Kövesd nyomon a napi adagokat az alkalmazásban.		
store_screen.4	store_screen.4	Repeat until healthy eating becomes second nature.	Ismételd addig, amíg az egészséges étkezés természetessé nem válik.		
store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen - It’s your regular routine that determines your long-term health. Download today!	Dr. Greger Napi Tucatja - A napi rutinod határozza meg a hosszú távú egészségedet. Töltsd le még ma!		
android_store_description.0		Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day from his book “How Not Die”—now including the 21 Tweaks from “How Not to Diet”—weight-loss accelerators to help maximize our natural fat-burning capabilities.	Dr. Greger Napi Tucatja részletesen ismerteti a legegészségesebb ételeket, és azt, hogy mindegyikből hány adagot kellene megpróbálnunk naponta elfogyasztani a „Egyél úgy, hogy ne halj meg” című könyvéből – amely mostantól tartalmazza a „Egyél úgy, hogy ne halj meg” 21 trükkjét is –, és olyan súlycsökkentő módszereket tartalmaz, amelyek segítenek maximalizálni természetes zsírégető képességünket.	Use language-applicable quotation marks for book titles.	
android_store_description.1		All proceeds from his books, DVDs, and speaking engagements are donated to charity.	A könyvekből, a DVD-kből és az előadásokból származó bevételeket jótékony célra ajánlja fel.		
android_store_description.2		NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	A NutritionFacts.org egy non-profit, tudományos alapú közszolgáltatás, amelyet Dr. Greger biztosít, és napi ingyenes frissítéseket nyújt a legfrissebb táplálkozási kutatásokról rövid videók formájában. Közel ezer videót készített az egészséges táplálkozás minden aspektusáról, amit naponta új videókkal és cikkekkel bővít. Az alkalmazáshoz hasonlóan a weboldalon minden hirdetésmentes és ingyenes.		
android_store_whatsnew		Adds language support for language_name_here.	Magyar nyelvi támogatás hozzáadása.	Replace language_name_here with the translated language name for this translation.	
