key_droid	key_apple	base_value	lang_value	base_note	lang_note
	CFBundleDisplayName	DailyDozen	DailyDozen	User-visible application name. Visible under icon. Used by Siri.	
	CFBundleName	DailyDozen	DailyDozen	User-visible application short name (15 Characters max)	
back_to_today	dateBackButtonTitle	Back to today	Torna a Oggi	Date Button Title: ‘Back to today’	
	dateButtonTitle.today	Today	Today	Date Button Title: ‘Today’	
serving_sizes	doze_detail_section_sizes	Serving Sizes	Porzioni	Doze Detail View subheading: ‘Serving Sizes’	
types	doze_detail_section_types	Types	Tipi	Doze Detail View subheading: ‘Types’	
servings	doze_entry_header	Servings	Porzioni	Doze Entry View heading: ‘Servings’	
beans	dozeBeans.heading	Beans	Legumi	heading for daily data entry item	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup hummus or bean dip	¼ tazza di hummus o salsa di soia,		
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, lentils, tofu, or tempeh	½ tazza di fagioli cotti, piselli, lenticchie, tofu o tempé		
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	1 cup fresh peas or sprouted lentils	1 tazza di piselli freschi o germogli di lenticchia		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g hummus or bean dip	60 g di hummus o salsa di soia,		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	130 g cooked beans, split peas, lentils, tofu, or tempeh	130 g di fagioli cotti, piselli, lenticchie, tofu o tempé		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	150 g fresh peas or sprouted lentils	150 g di piselli freschi o germogli di lenticchia		
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	Fagioli neri		
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas	Fagioli dall’occhio		
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans	Fagioli		
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans	Fagioli Cannellini		
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans	Ceci		
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame	Fagioli di soia (edamame)		
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas	Taccole, piselli dolci		
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans	Ceci		
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans	Fagioli spagna		
food_info_types_beans.9	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)	Fagioli rossi		
food_info_types_beans.10	dozeBeans.Variety.Text.10	Miso	Lenticchie (es. beluga, francese e varietà rossa)		
food_info_types_beans.11	dozeBeans.Variety.Text.11	Navy beans	Miso		
food_info_types_beans.12	dozeBeans.Variety.Text.12	Pinto beans	Fagioli tondini		
food_info_types_beans.13	dozeBeans.Variety.Text.13	Small red beans	Fagiolo borlotti		
food_info_types_beans.14	dozeBeans.Variety.Text.14	Split peas (yellow or green)	Piccoli fagioli rossi		
food_info_types_beans.15	dozeBeans.Variety.Text.15	Tempeh	Piselli Secchi (gialli o verdi)		
berries	dozeBerries.heading	Berries	Frutti Di Bosco	heading for daily data entry item	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup fresh or frozen	½ tazza freschi o congelati		
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup dried	¼ tazza essiccato		
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	60 g fresh or frozen	60 g freschi o congelati		
food_info_serving_sizes_berries_metric.1	dozeBerries.Serving.metric.1	40 g dried	40 g essiccato		
food_info_types_berries.0	dozeBerries.Variety.Text.0	Acai berries	Bacche d'Acai		
food_info_types_berries.1	dozeBerries.Variety.Text.1	Barberries	Berberis		
food_info_types_berries.2	dozeBerries.Variety.Text.2	Blackberries	More		
food_info_types_berries.3	dozeBerries.Variety.Text.3	Blueberries	Mirtilli		
food_info_types_berries.4	dozeBerries.Variety.Text.4	Cherries (sweet or tart)	Ciliegie (dolci o aspre)		
food_info_types_berries.5	dozeBerries.Variety.Text.5	Concord grapes	Uva Concordia		
food_info_types_berries.6	dozeBerries.Variety.Text.6	Cranberries	Mirtilli		
food_info_types_berries.7	dozeBerries.Variety.Text.7	Goji berries	Bacche di Goji		
food_info_types_berries.8	dozeBerries.Variety.Text.8	Kumquats	Kumquat		
food_info_types_berries.9	dozeBerries.Variety.Text.9	Mulberries	Gelsi		
food_info_types_berries.10	dozeBerries.Variety.Text.10	Raspberries (black or red)	Lamponi (nero o rosso)		
food_info_types_berries.11	dozeBerries.Variety.Text.11	Strawberries	Fragole		
beverages	dozeBeverages.heading	Beverages	Bevande	heading for daily data entry item	
food_info_serving_sizes_beverages_imperial.0	dozeBeverages.Serving.imperial.0	One glass (12 ounces)	Un bicchiere (12 once)		
food_info_serving_sizes_beverages_metric.0	dozeBeverages.Serving.metric.0	One glass (350 ml)	Un bicchiere (350 ml)		
food_info_types_beverages.0	dozeBeverages.Variety.Text.0	Black tea	Tè Nero		
food_info_types_beverages.1	dozeBeverages.Variety.Text.1	Chai tea	Tè Chai		
food_info_types_beverages.2	dozeBeverages.Variety.Text.2	Vanilla chamomile tea	Camomilla		
food_info_types_beverages.3	dozeBeverages.Variety.Text.3	Coffee	Caffè		
food_info_types_beverages.4	dozeBeverages.Variety.Text.4	Earl grey tea	Tè Earl Grey		
food_info_types_beverages.5	dozeBeverages.Variety.Text.5	Green tea	Tè Verde		
food_info_types_beverages.6	dozeBeverages.Variety.Text.6	Hibiscus tea	Carcadè		
food_info_types_beverages.7	dozeBeverages.Variety.Text.7	Hot chocolate	Cioccolata Calda		
food_info_types_beverages.8	dozeBeverages.Variety.Text.8	Jasmine tea	Tè al Gelsomino		
food_info_types_beverages.9	dozeBeverages.Variety.Text.9	Lemon balm tea	Tè Melissa		
food_info_types_beverages.10	dozeBeverages.Variety.Text.10	Matcha tea	Tè Matcha		
food_info_types_beverages.11	dozeBeverages.Variety.Text.11	Almond blossom oolong tea	Tè Oolong Mandorlo in Fiore		
food_info_types_beverages.12	dozeBeverages.Variety.Text.12	Peppermint tea	Tè alla menta		
food_info_types_beverages.13	dozeBeverages.Variety.Text.13	Rooibos tea	Tè Rooibos		
food_info_types_beverages.14	dozeBeverages.Variety.Text.14	Water	Acqua		
food_info_types_beverages.15	dozeBeverages.Variety.Text.15	White tea	Tè Bianco		
exercise	dozeExercise.heading	Exercise	Esercizio fisico	heading for daily data entry item	
food_info_serving_sizes_exercise_imperial.0	dozeExercise.Serving.imperial.0	90 minutes of moderate-intensity activity	90 minuti di attività a moderata intensità		
food_info_serving_sizes_exercise_imperial.1	dozeExercise.Serving.imperial.1	40 minutes of vigorous-intensity activity	40 minuti di attività ad alta intensità		
food_info_serving_sizes_exercise_metric.0	dozeExercise.Serving.metric.0	90 minutes of moderate-intensity activity	90 minuti di attività a moderata intensità		
food_info_serving_sizes_exercise_metric.1	dozeExercise.Serving.metric.1	40 minutes of vigorous-intensity activity	40 minuti di attività ad alta intensità		
food_info_types_exercise.0	dozeExercise.Variety.Text.0	Bicycling	Andare in bicicletta		
food_info_types_exercise.1	dozeExercise.Variety.Text.1	Canoeing	Canottaggio		
food_info_types_exercise.2	dozeExercise.Variety.Text.2	Dancing	Danza		
food_info_types_exercise.3	dozeExercise.Variety.Text.3	Dodgeball	Dodgeball		
food_info_types_exercise.4	dozeExercise.Variety.Text.4	Downhill skiing	Sci alpino		
food_info_types_exercise.5	dozeExercise.Variety.Text.5	Fencing	Scherma		
food_info_types_exercise.6	dozeExercise.Variety.Text.6	Hiking	Escursionismo		
food_info_types_exercise.7	dozeExercise.Variety.Text.7	Housework	Lavori domestici		
food_info_types_exercise.8	dozeExercise.Variety.Text.8	Ice-skating	Pattinaggio sul ghiaccio		
food_info_types_exercise.9	dozeExercise.Variety.Text.9	Inline skating	Pattinaggio in linea		
food_info_types_exercise.10	dozeExercise.Variety.Text.10	Juggling	Giocoleria		
food_info_types_exercise.11	dozeExercise.Variety.Text.11	Jumping on a trampoline	Saltando dal trampolino		
food_info_types_exercise.12	dozeExercise.Variety.Text.12	Paddle boating	Canottaggio		
food_info_types_exercise.13	dozeExercise.Variety.Text.13	Playing frisbee	Giocare a Frisbee		
food_info_types_exercise.14	dozeExercise.Variety.Text.14	Roller-skating	Pattinaggio		
food_info_types_exercise.15	dozeExercise.Variety.Text.15	Shooting baskets	Basket		
