key_droid	key_apple	base_value	lang_value	base_note	lang_note
serving_sizes	doze_detail_section_sizes	Serving Sizes (Suggested)	Porzioni (consigliate)	Doze Detail View subheading: ‘Serving Sizes’	Doze Detail View subheading: ‘Serving Sizes’
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup hummus or bean dip	¼ cup di crema di hummus o di piselli		In segments 3-7 I have translated literally the units, and I am not sure it will be used, because below (segments 8-12) the same amounts are expressed in metric units: did I interpret it correctly? If a revisor has access to the translation of the book, it could be useful to see how it has been managed there.
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, or lentils	½ cup di legumi cotti (fagioli, piselli o lenticchie)		
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	½ cup tofu or tempeh	½ cup di tofu o tempeh		
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or snow peas	1 cup di piselli freschi o taccole		
food_info_serving_sizes_beans_imperial.4	dozeBeans.Serving.imperial.4	1 cup fresh sprouted beans (lentils, mung beans)	1 cup di germogli (soia, fagioli mungo)		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g hummus or bean dip	60 g di crema di hummus o di piselli		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	90 g cooked beans, split peas, or lentils	90 g di legumi cotti (fagioli, piselli o lenticchie)		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	100 g tofu or tempeh	100 g di tofu o tempeh		
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	130 g fresh peas or snow peas	130 g di piselli freschi o taccole		
food_info_serving_sizes_beans_metric.4	dozeBeans.Serving.metric.4	100 g fresh sprouted beans (lentils, mung beans)	100 g di germogli freschi (soia, fagioli mungo)		
faq_adapt_question	faq_adapt_question	The Daily Dozen is too much/too little food for me! Can I adapt it?	La quantità indicata nella Daily Dozen, per me, è troppa/poca! Posso modificarla?		
faq_adapt_response	faq_adapt_response	Yes, the Daily Dozen is simply meant to be a guide of the healthiest foods that we strive to include every day. It’s not a meal plan and is not meant to be prescriptive. Do your best to eat a diverse array of whole plant foods and adapt the Daily Dozen to the quantities that work for you.	Certo. La Daily Dozen offre una guida per assumere ogni giorno gli alimenti più salutari. Non si tratta di un piano alimentare e non è un imperativo. Cerca di assumere alimenti integrali, variandoli, e adattando le quantità della Daily Dozen alle tue esigenze.		
faq_age_question	faq_age_question	Is this adaptable for children, adolescents, and teens?	Si può adattare al fabbisogno di bambini e adolescenti?		
faq_age_response.0	faq_age_response.0	Children, adolescents, and teenagers have different caloric needs throughout their lifecycle. These needs change to support growth and development at each stage.	Bambini e adolescenti presentano un fabbisogno calorico diverso a seconda del momento. Le loro esigenze variano, al fine di sostenerli in ogni fasi della crescita e dello sviluppo.		adolescente e teenager in Italian overlap, therefore I left only the current Italian term. https://www.treccani.it/vocabolario/teen-ager/
faq_age_response.1	faq_age_response.1	The Daily Dozen was designed as a guide to help people include some of the healthiest foods into their daily routine. While the same framework can be used for most people throughout the lifecycle, the amount of food one needs to eat will vary based on a number of factors like age and activity level. Since we can’t provide specific nutrition or medical advice for your growing child, parents should use this guide as they see best for their child’s needs and/or consult with a registered dietitian or other healthcare provider to help determine what is best for their individual needs.	La Daily Dozen è concepita come una guida per aiutarti a includere alcuni degli alimenti più salutari nella tua routine. La maggior parte delle persone può usare questo quadro di riferimento per tutta la vita. Tuttavia le quantità varieranno in base a diversi fattori, quali l’età e il livello di attività fisica. Qui non possiamo dare consigli nutrizionali e medici specifici per l’infanzia: è bene, pertanto, che i genitori usino questa guida a titolo indicativo e/o chiedano il parere di un dietologo o di un medico per definire al meglio le esigenze individuali.		
faq_calories_question	faq_calories_question	How many calories are in the Daily Dozen?	Quante calorie hanno gli alimenti della Daily Dozen?		
