key_droid	key_apple	base_value	lang_value	base_comment
other_vegetables	dozeVegetablesOther	Other Vegetables	Altri Ortaggi e Legumi	
cruciferous_vegetables	dozeVegetablesCruciferous	Cruciferous Vegetables	Verdure Crocifere	
beans	dozeBeans	Beans	Fagioli	
vitamin_b12	otherVitaminB12	Vitamin B12	Vitamina B12	
spices	dozeSpices	Herbs and Spices	Erbe e Spezie	
nuts	dozeNuts	Nuts and Seeds	Noccioline	
berries	dozeBerries	Berries	Frutti Di Bosco	
other_fruits	dozeFruitsOther	Other Fruits	Altri Frutti	
exercise	dozeExercise	Exercise	Esercizi	
greens	dozeGreens	Greens	Verdure	
beverages	dozeBeverages	Beverages	Bevande	
flaxseeds	dozeFlaxseeds	Flaxseeds	Semi Di Lino	
whole_grains	dozeWholeGrains	Whole Grains	Cereali Integrali	
food_info_serving_sizes_spices[imperial][0]	dozeSpicesServing[imperial][0]	¼ teaspoon of turmeric	 cucchiaino di curcuma	  
food_info_serving_sizes_spices[metric][0]	dozeSpicesServing[metric][0]	¼ teaspoon of turmeric	 cucchiaino di curcuma	  
food_info_serving_sizes_spices[imperial][1]	dozeSpicesServing[imperial][1]	Any other (salt-free) herbs and spices you enjoy	Eventuali altre erbe (senza sale) e spezie che ti piacciono	  
food_info_serving_sizes_spices[metric][1]	dozeSpicesServing[metric][1]	Any other (salt-free) herbs and spices you enjoy	Eventuali altre erbe (senza sale) e spezie che ti piacciono	  
food_info_serving_sizes_beverages[imperial][0]	dozeBeveragesServing[imperial][0]	One glass (12 ounces)	Un bicchiere (12 once)	  
food_info_serving_sizes_beverages[metric][0]	dozeBeveragesServing[metric][0]	One glass (350 ml)	Un bicchiere (350 ml)	  
food_info_serving_sizes_beans[imperial][0]	dozeBeansServing[imperial][0]	¼ cup of hummus or bean dip	¼ tazza di hummus o salsa di soia,	  
food_info_serving_sizes_beans[metric][0]	dozeBeansServing[metric][0]	60 g of hummus or bean dip	60 g di hummus o salsa di soia,	  
food_info_serving_sizes_beans[imperial][1]	dozeBeansServing[imperial][1]	½ cup cooked beans, split peas, lentils, tofu, or tempeh	½ tazza di fagioli cotti, piselli, lenticchie, tofu o tempé	  
food_info_serving_sizes_beans[metric][1]	dozeBeansServing[metric][1]	130 g cooked beans, split peas, lentils, tofu, or tempeh	130 g di fagioli cotti, piselli, lenticchie, tofu o tempé	  
food_info_serving_sizes_beans[imperial][2]	dozeBeansServing[imperial][2]	1 cup of fresh peas or sprouted lentils	1 tazza di piselli freschi o germogli di lenticchia	  
food_info_serving_sizes_beans[metric][2]	dozeBeansServing[metric][2]	150 g of fresh peas or sprouted lentils	150 g di piselli freschi o germogli di lenticchia	  
food_info_serving_sizes_other_fruits[imperial][0]	dozeFruitsOtherServing[imperial][0]	1 medium-sized fruit	1 frutto medio	  
food_info_serving_sizes_other_fruits[metric][0]	dozeFruitsOtherServing[metric][0]	1 medium-sized fruit	1 frutto medio	  
food_info_serving_sizes_other_fruits[imperial][1]	dozeFruitsOtherServing[imperial][1]	1 cup cut-up fruit	1 tazza frutta tagliata	  
food_info_serving_sizes_other_fruits[metric][1]	dozeFruitsOtherServing[metric][1]	120 g cut-up fruit	120 g frutta tagliata	  
food_info_serving_sizes_other_fruits[imperial][2]	dozeFruitsOtherServing[imperial][2]	¼ cup dried fruit	¼ tazza frutta secca	  
food_info_serving_sizes_other_fruits[metric][2]	dozeFruitsOtherServing[metric][2]	40 g dried fruit	40 g frutta secca	  
food_info_serving_sizes_whole_grains[imperial][0]	dozeWholeGrainsServing[imperial][0]	½ cup hot cereal or cooked grains, pasta, or corn kernels	½ tazza cereali caldi o cotti, pasta di nocciole o mais	  
