key_droid	key_apple	base_value	lang_value	base_note	lang_note
	CFBundleDisplayName	DailyDozen	Дневна дузина	User-visible application name. Visible under icon. Used by Siri.	
	CFBundleName	DailyDozen	Дневна дузина	User-visible application short name (15 Characters max)	
back_to_today	dateBackButtonTitle	Back to today	Назад кон денес	Date Button Title: ‘Back to today’	
	dateButtonTitle.today	Today	Денес	Date Button Title: ‘Today’	
serving_sizes	doze_detail_section_sizes	Serving Sizes (Suggested)	Големина на порции (препорака)	Doze Detail View subheading: ‘Serving Sizes’	
types	doze_detail_section_types	Types	Видови	Doze Detail View subheading: ‘Types’	
servings	doze_entry_header	Servings	Порции	Doze Entry View heading: ‘Servings’	
beans	dozeBeans.heading	Beans	Графчиња (Мешунки)	heading for daily data entry item	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup hummus or bean dip	¼ шоља хумус или паста од грав		
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, or lentils	½ шоља варен грав, разделен грашок или леќа		
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	½ cup tofu or tempeh	½ шоља тофу или темпе		
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or snow peas	1 шоља свеж или замрзнат грашок		
food_info_serving_sizes_beans_imperial.4	dozeBeans.Serving.imperial.4	1 cup fresh sprouted beans (lentils, mung beans)	1 шоља свежи изртени гравчиња (леќа, мунг грав)		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g hummus or bean dip	60 г хумус или паста од грав		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	90 g cooked beans, split peas, or lentils	90 г варен грав, разделен грашок или леќа		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	100 g tofu or tempeh	100 г тофу или темпе		
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	130 g fresh peas or snow peas	130 г свеж или замрзнат грашок		
food_info_serving_sizes_beans_metric.4	dozeBeans.Serving.metric.4	100 g fresh sprouted beans (lentils, mung beans)	100 г свежи изртени гравчиња (леќа, мунг грав)		
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	Црн грав		
