key_droid	key_apple	base_value	lang_value	base_note	lang_note
faq_adapt_question	faq_adapt_question	The Daily Dozen is too much/too little food for me! Can I adapt it?	«دوازده‌تای روزانه» برای من بیش از حد زیاد/بیش از حد کم است! می‌توانم آن را با شرایط خود مطابقت دهم؟		
faq_adapt_response	faq_adapt_response	Yes, the Daily Dozen is simply meant to be a guide of the healthiest foods that we strive to include every day. It’s not a meal plan and is not meant to be prescriptive. Do your best to eat a diverse array of whole plant foods and adapt the Daily Dozen to the quantities that work for you.	بله، «دوازده‌تای روزانه» صرفاً راهنمای سالم‌ترین غذاهایی است که سعی می‌کنیم آن‌ها را به خوراک روزانه اضافه کنیم. این راهنما، برنامۀ غذایی نیست و قرار نیست تجویزی باشد. همۀ تلاش خود را بکنید تا طیف متنوعی از غذاهای گیاهی کامل را بخورید و «دوازده‌تای روزانه» را، با مقادیری که برایتان مناسب است، مطابقت دهید.		
faq_age_question	faq_age_question	Is this adaptable for children, adolescents, and teens?	آیا «دوازده‌تای روزانه» برای کودکان و نوجوانان هم مناسب است؟		
faq_age_response.0	faq_age_response.0	Children, adolescents, and teenagers have different caloric needs throughout their lifecycle. These needs change to support growth and development at each stage.	کودکان و نوجوانان در سراسر چرخۀ زندگی‌شان نیاز به‌مقدار کالری متفاوتی دارند. این نیازها برای کمک به رشد و تکامل آن‌ها در هر مرحله تغییر می‌کند. 		
faq_age_response.1	faq_age_response.1	The Daily Dozen was designed as a guide to help people include some of the healthiest foods into their daily routine. While the same framework can be used for most people throughout the lifecycle, the amount of food one needs to eat will vary based on a number of factors like age and activity level. Since we can’t provide specific nutrition or medical advice for your growing child, parents should use this guide as they see best for their child’s needs and/or consult with a registered dietitian or other healthcare provider to help determine what is best for their individual needs.	«دوازده‌تای روزانه» طراحی شده تا به مردم کمک کند که بعضی از سالم‌ترین غذاها را در خوراک روزانه‌شان لحاظ کنند. بااینکه همین چارچوب می‌تواند برای اکثر مردم در سراسر چرخه زندگی‌شان مورد استفاده قرار بگیرد، اما میزان غذایی که هر فرد نیاز دارد، بسته به عوامل مختلفی نظیر سن و سطح فعالیت، متفاوت خواهد بود. از آنجایی که ما نمی‌توانیم برای فرزند در حال رشدتان توصیه‌های تغذیه‌ای یا پزشکی مخصوصی ارائه دهیم، والدین باید از این راهنما به نحوی استفاده کنند که به‌نظرشان برای فرزندشان بهتر است و/یا با یک متخصص رسمی تغذیه یا دیگر ارائه‌دهندگان خدمات بهداشتی و درمانی برای تعیین آنچه برای نیازهای فردی فرزندشان بهتر است مشورت بگیرند.		
faq_calories_question	faq_calories_question	How many calories are in the Daily Dozen?	«دوازده‌تای روزانه» چه مقدار کالری دارد؟		
faq_calories_response.0	faq_calories_response.0	The Daily Dozen averages about 1,200 calories, but given the wide array of food choices in each category, it can range anywhere from 800-1800. Consider the Other Vegetables category: a cup of bell peppers has a much lower caloric density than a cup of cooked sweet potatoes, therefore the caloric range will depend on your specific food choices. That’s the great thing about the Daily Dozen Checklist—it’s not a one size fits all approach, and can be adapted to your needs.	«دوازده‌تای روزانه» به‌طور متوسط ۱۲۰۰ کالری دارد، اما باتوجه به طیف گسترده‌ای از انتخاب‌های غذایی در هر دسته، می‌تواند از ۸۰۰ تا ۱۸۰۰ کالری متغیر باشد. به‌عنوان مثال، دسته‌بندی «سایر سبزیجات» را در نظر بگیرید: یک فنجان فلفل دلمه‌ای نسبت به یک فنجان سیب‌زمینی شیرین پخته تراکم کالری بسیار کمتری دارد، بنابراین محدودۀ کالری این راهنما به انتخاب‌های غذایی خاص شما بستگی دارد. این نکته‌ای عالی در مورد فهرست بازبینی «دوازده‌تای روزانه» است که یک نسخۀ واحد برای همه نیست و می‌تواند با نیازهای هر فرد تطابق پیدا کند.		
faq_calories_response.1	faq_calories_response.1	If your goal is weight loss, you can find more information in “How Not to Diet” and the accompanying Twenty-One Tweaks. In “How Not to Diet”, I noted: “A systematic review of successful weight-loss strategies concluded that given the metabolic slowing and increased appetite that accompanies weight loss, to achieve significant weight loss, calorie counts may need to drop as low as 1,200 calories a day for women and 1,500 calories a day for men.”	اگر هدفتان کاهش وزن باشد، می‌توانید در کتاب «چگونه رژیم نگیریم» به همراه «۲۱ ترفند»، اطلاعات بیشتری در این مورد پیدا کنید. در کتاب «چگونه رژیم نگیریم» آورده‌ام که: «یک بررسی نظام‌مند از راهبردهای موفق برای کاهش وزن، نشان می‌دهد که با توجه به کُند شدن سوخت‌و‌ساز بدن و افزایش اشتها، که هر دو در حین کاهش وزن رخ می‌دهند، برای آنکه به کاهش وزن قابل توجهی دست یابید، ممکن است نیاز باشد که میزان کالری‌های دریافتی به حداقل ۱۲۰۰ کالری در روز برای زنان و ۱۵۰۰ کالری در روز برای مردان کاهش یابد.»		
faq_calories_response.2	faq_calories_response.2	On the other hand, if your goal is weight gain, then you may want to focus on adding in more calorie-dense foods, such as sweet potatoes, avocados, nuts, and soy products.	از‌طرف‌دیگر، اگر هدفتان افزایش وزن باشد، پس ممکن است بخواهید روی افزودن غذاهای پرکالری، نظیر سیب‌زمینی شیرین، آووکادو، آجیل، و فرآورده‌های سویا، متمرکز شوید.		
faq_mother_question	faq_mother_question	Can I do this while pregnant or breastfeeding?	می‌توانم در دوران بارداری یا شیردهی از این راهنما استفاده کنم؟		
faq_mother_response	faq_mother_response	People who are pregnant or breastfeeding have different caloric and nutritional needs than people who are not. As a reminder, the Daily Dozen is not a meal plan and should not be the only foods consumed within a day. People who are pregnant or breastfeeding should consult with their health care practitioner or a registered dietician for assistance with meeting their specific caloric requirements and nutritional needs.	افرادی که باردار هستند یا در دوران شیردهی قرار دارند نسبت به سایر افراد مواد غذایی و میزان کالری متفاوتی نیاز دارند. به‌عنوان یادآوری عرض می‌شود که «دوازده‌تای روزانه» یک برنامۀ غذایی نیست و بهتر است تنها غذاهایی نباشد که روزانه مصرف می‌شود. زنان باردار یا شیرده، برای کمک به تأمین کالری و نیازهای غذایی خود، باید با پزشک یا یک متخصص رسمی تغذیه مشورت کنند.		
faq_scaling_question	faq_scaling_question	I can’t possibly eat that many beans/grains/etc.!	امکان ندارد که بتوانم آن‌همه حبوبات/غلات/همانند آن‌ها را بخورم!		
faq_scaling_response	faq_scaling_response	That’s okay! The Daily Dozen is an aspirational guide. Do your best to incorporate as many of these healthy plant foods as possible. If you are new to eating a lot of beans (or grains, greens, etc!), you may need to start with smaller amounts and slowly increase the quantity in order to give your microbiome a chance to adjust. You can also get creative: for example, add some beans to your morning oatmeal. If you load it up with berries, flax seeds, and nuts, you won’t even notice the beans. You can also mash beans into a sandwich spread, or make my [BROL](https://nutritionfacts.org/recipe/basic-brol-barley-rye-oats-and-lentils)—barley, rye, oat groats, and lentils—that I use as a base for many meals and is a simple way to get a variety of whole grains with a built-in serving of legumes.	اشکالی ندارد! «دوازده‌تای روزانه» یک راهنمای آرمانی است. همه تلاش خود را بکنید تا هرقدر که برایتان ممکن است از این غذاهای گیاهی سالم مصرف کنید. اگر در خوردن مقدار زیادی حبوبات (یا غلات، سبزیجات، و همانند آن‌ها!) تازه‌کار هستید، ممکن است لازم باشد که با مقادیر کمتر شروع کنید و به‌تدریج مقدار را افزایش دهید تا به‌این‌ترتیب به میکروبیومتان فرصت هماهنگ شدن بدهید. می‌توانید خلاقیت نیز به خرج دهید: برای مثال، به غلات صبحانه‌تان مقداری حبوبات اضافه کنید. اگر غلات صبحانه‌تان را سرشار از توت، تخم کتان، و آجیل کرده باشید، اصلا متوجه وجود حبوبات در آن نخواهید شد. همچنین می‌توانید حبوبات کوبیده‌شده را ساندویچ کنید، یا این [غذای] (https://nutritionfacts.org/recipe/basic-brol-barley-rye-oats-and-lentils) من را درست کنید که ترکیبی از جو، چاودار، بلغور جو دوسر، و عدس است، و من از آن به‌عنوان بخش اصلی بسیاری از وعده‌های غذایی استفاده می‌کنم که راه ساده‌ای برای دریافت انواع غلات کامل همراه با سهمی از حبوبات است.		
faq_supplements_question	faq_supplements_question	I thought that Dr. Greger recommends taking Vitamin D and DHA supplements. Why aren’t they included?	فکر می‌کردم دکتر گرِگِر مصرف قرص‌های مکمل غذایی ویتامین دی و دی‌اِچ‌اِی را توصیه می‌کند. چرا این مکمل‌ها در این راهنما لحاظ نشده‌اند؟		
