key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple_store_description.2	In the years of research required to create the more than two-thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	مایکل گرِگِر، پزشک و عضوِ کالجِ آمریکاییِ پزشکیِ مبتنی‌بر سبکِ زندگی، طیِ سال‌ها پژوهش که لازمۀ تولیدِ بیش از یک هزار ویدئوی مستند بر روی وبسایتش NutritionFacts.org بود، به فهرستی دست‌ یافته است که ازنظرِ او حاویِ مهمترین غذاها در رژیمِ غذاییِ سالمِ روزانه است.		
	apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	تمامِ درآمدِ حاصل از کتاب‌ها، دی‌وی‌دی‌ها، و سخنرانی‌های ایشان به امورِ خیریه اهدا می‌شوند.		
	apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	وبسایتِ NutritionFacts.org یک خدمتِ عمومیِ غیرتجاری، غیرانتفاعی و مبتنی‌بر علم است که از طرفِ دکتر گرِگِر ارائه شده و هرروزه ویدئو‌های کوتاهِ رایگانی دربارۀ جدیدترین تحقیقاتِ انجام‌شده در حوزۀ تغذیه منتشر می‌کند. ایشان نزدیک به هزار ویدئو در‌رابطه‌با تمامِ جنبه‌های تغذیۀ سالم دارد، همراه با ویدئوها و مقالات تازه‌ای که هر روز بر روی وبسایت آپلود می‌شوند.		
android_store_whatsnew_analytics	apple_store_whatsnew_analytics	Adds anonymous opt-in analytics to support product improvement.	Adds anonymous opt-in analytics to support product improvement.	What's New Item	
	apple_store_whatsnew_darkmode	Adds support for Dark Mode.	Adds support for Dark Mode.	What's New Item	
	apple_store_whatsnew_export	Adds support to export history data.	Adds support to export history data.	What's New Item	
android_store_whatsnew_faq	apple_store_whatsnew_faq	Adds Frequently Asked Questions (FAQ)	Adds Frequently Asked Questions (FAQ)	What's New Item	
	apple_store_whatsnew_import	Adds support to import history data.	Adds support to import history data.	What's New Item	
android_store_whatsnew_improvement	apple_store_whatsnew_improvement	General software quality improvements.	General software quality improvements.	What's New Item	
store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen - It’s your regular routine that determines your long-term health. Download today!	«دوازده‌تای روزانۀ دکتر گرِگِر» روالِ منظمی است که پیروی از آن سلامتِ شما را در بلندمدت به همراه خواهد داشت. همین امروز آن را دانلود کنید!		
android_store_description.1		All proceeds from his books, DVDs, and speaking engagements are donated to charity.	تمامِ درآمدِ حاصل از کتاب‌ها، دی‌وی‌دی‌ها، و سخنرانی‌های ایشان به امورِ خیریه اهدا می‌شوند.		
android_store_description.2		NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	وبسایتِ NutritionFacts.org یک خدمتِ عمومیِ غیرتجاری، غیرانتفاعی و مبتنی‌بر علم است که از طرفِ دکتر گرِگِر ارائه شده و هرروزه ویدئو‌های کوتاهِ رایگانی دربارۀ جدیدترین تحقیقاتِ انجام‌شده در حوزۀ تغذیه منتشر می‌کند. ایشان نزدیک به هزار ویدئو در رابطه با تمامِ جنبه‌های تغذیۀ سالم دارد، همراه با ویدئوها و مقالات تازه‌ای که هر روز بر روی وبسایت آپلود می‌شوند. همانندِ این اپ، هرآنچه که در وبسایت ارائه‌شده نیز رایگان و خالی از تبلیغات است.		
