key_droid	key_apple	base_value	lang_value	base_note	lang_note
	CFBundleDisplayName	DailyDozen	DailyDozen	User-visible application name. Visible under icon. Used by Siri.	
	CFBundleName	DailyDozen	DailyDozen	User-visible application short name (15 Characters max)	
back_to_today	dateBackButtonTitle	Back to today	Powrót do dzisiaj	Date Button Title: ‘Back to today’	
	dateButtonTitle.today	Today	Dzisiaj	Date Button Title: ‘Today’	
serving_sizes	doze_detail_section_sizes	Serving Sizes	Rozmiar porcji	Doze Detail View subheading: ‘Serving Sizes’	
types	doze_detail_section_types	Types	Rodzaje	Doze Detail View subheading: ‘Types’	
servings	doze_entry_header	Servings	Porcje	Doze Entry View heading: ‘Servings’	
beans	dozeBeans.heading	Beans	Fasola	heading for daily data entry item	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup hummus or bean dip	¼ szklanki humusu lub dipu z fasoli		
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, lentils, tofu, or tempeh	½ szklanki ugotowanej fasoli, grochu łuskanego, soczewicy, tofu lub tempeh		
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	1 cup fresh peas or sprouted lentils	1 szklanka świeżego groszku lub kiełków soczewicy		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g hummus or bean dip	60 g humusu lub dipu z fasoli		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	130 g cooked beans, split peas, lentils, tofu, or tempeh	130 g ugotowanej fasoli, grochu łuskanego, soczewicy, tofu lub tempeh		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	150 g fresh peas or sprouted lentils	150 g świeżego groszku lub kiełków soczewicy		
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	Fasola czana		
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas	Fasola czarne oczko		
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans	Fasola limeńska		
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans	Fasola Cannellini		
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans	Ciecierzyca		
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame	Fasola Edamame		
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas	Groszek zwyczajny		
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans	Fasola Great northern		
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans	Fasola czerwona kidney		
food_info_types_beans.9	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)	Soczewica (beluga, francuska du Puy i czerwone odmiany)		
food_info_types_beans.10	dozeBeans.Variety.Text.10	Miso	Miso		
food_info_types_beans.11	dozeBeans.Variety.Text.11	Navy beans	Fasola garbanzo		
food_info_types_beans.12	dozeBeans.Variety.Text.12	Pinto beans	Fasola Pinto		
food_info_types_beans.13	dozeBeans.Variety.Text.13	Small red beans	Fasola (mała czerwona)		
food_info_types_beans.14	dozeBeans.Variety.Text.14	Split peas (yellow or green)	Groch (żółty lub zielony)		
food_info_types_beans.15	dozeBeans.Variety.Text.15	Tempeh	Tempeh		
berries	dozeBerries.heading	Berries	Owoce Jagodowe	heading for daily data entry item	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup fresh or frozen	½ szklanki świeżych lub mrożonych		
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup dried	¼ szklanki susznych		
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	60 g fresh or frozen	60 g świeżych lub mrożonych		
food_info_serving_sizes_berries_metric.1	dozeBerries.Serving.metric.1	40 g dried	40 g susznych		
food_info_types_berries.0	dozeBerries.Variety.Text.0	Acai berries	Jagody Acai		
food_info_types_berries.1	dozeBerries.Variety.Text.1	Barberries	Berberys		
food_info_types_berries.2	dozeBerries.Variety.Text.2	Blackberries	Jeżyny		
food_info_types_berries.3	dozeBerries.Variety.Text.3	Blueberries	Jagody		
food_info_types_berries.4	dozeBerries.Variety.Text.4	Cherries (sweet or tart)	Wiśnie i Czereśnie		
food_info_types_berries.5	dozeBerries.Variety.Text.5	Concord grapes	Winogrona Concord		
food_info_types_berries.6	dozeBerries.Variety.Text.6	Cranberries	Żurawina		
food_info_types_berries.7	dozeBerries.Variety.Text.7	Goji berries	Jagody Goji		
food_info_types_berries.8	dozeBerries.Variety.Text.8	Kumquats	Kumkwat		
food_info_types_berries.9	dozeBerries.Variety.Text.9	Mulberries	Morwa		
food_info_types_berries.10	dozeBerries.Variety.Text.10	Raspberries (black or red)	Maliny (czarne lub czerwone)		
food_info_types_berries.11	dozeBerries.Variety.Text.11	Strawberries	Truskawki		
beverages	dozeBeverages.heading	Beverages	Napoje	heading for daily data entry item	
food_info_serving_sizes_beverages_imperial.0	dozeBeverages.Serving.imperial.0	One glass (12 ounces)	Jedna szklanka (340 g)		
food_info_serving_sizes_beverages_metric.0	dozeBeverages.Serving.metric.0	One glass (350 ml)	Jedna szklanka (350 ml)		
food_info_types_beverages.0	dozeBeverages.Variety.Text.0	Black tea	Czarna herbata		
food_info_types_beverages.1	dozeBeverages.Variety.Text.1	Chai tea	Herbata chai		
food_info_types_beverages.2	dozeBeverages.Variety.Text.2	Vanilla chamomile tea	Herbata z rumianku i wanilii		
food_info_types_beverages.3	dozeBeverages.Variety.Text.3	Coffee	Kawa		
food_info_types_beverages.4	dozeBeverages.Variety.Text.4	Earl grey tea	Czarna herbata Earl Grey		
food_info_types_beverages.5	dozeBeverages.Variety.Text.5	Green tea	Zielona herbata		
food_info_types_beverages.6	dozeBeverages.Variety.Text.6	Hibiscus tea	Herbata z hibiskusa		
food_info_types_beverages.7	dozeBeverages.Variety.Text.7	Hot chocolate	Gorąca czekolada		
food_info_types_beverages.8	dozeBeverages.Variety.Text.8	Jasmine tea	Herbata jaśminowa		
food_info_types_beverages.9	dozeBeverages.Variety.Text.9	Lemon balm tea	Herbata z melisy		
food_info_types_beverages.10	dozeBeverages.Variety.Text.10	Matcha tea	Herbata matcha		
food_info_types_beverages.11	dozeBeverages.Variety.Text.11	Almond blossom oolong tea	Herbata oolong z kwiatu migdałowca		
food_info_types_beverages.12	dozeBeverages.Variety.Text.12	Peppermint tea	Herbata miętowa		
food_info_types_beverages.13	dozeBeverages.Variety.Text.13	Rooibos tea	Herbata rooibos		
food_info_types_beverages.14	dozeBeverages.Variety.Text.14	Water	Woda		
food_info_types_beverages.15	dozeBeverages.Variety.Text.15	White tea	Biała herbata		
exercise	dozeExercise.heading	Exercise	Ćwiczenia	heading for daily data entry item	
food_info_serving_sizes_exercise_imperial.0	dozeExercise.Serving.imperial.0	90 minutes of moderate-intensity activity	90 minut aktywności o umiarkowanej intensywności		
food_info_serving_sizes_exercise_imperial.1	dozeExercise.Serving.imperial.1	40 minutes of vigorous-intensity activity	40 minut intensywnej aktywności		
food_info_serving_sizes_exercise_metric.0	dozeExercise.Serving.metric.0	90 minutes of moderate-intensity activity	90 minut aktywności o umiarkowanej intensywności		
food_info_serving_sizes_exercise_metric.1	dozeExercise.Serving.metric.1	40 minutes of vigorous-intensity activity	40 minut intensywnej aktywności		
food_info_types_exercise.0	dozeExercise.Variety.Text.0	Bicycling	Jazda na rowerze		
food_info_types_exercise.1	dozeExercise.Variety.Text.1	Canoeing	Kajakarstwo		
food_info_types_exercise.2	dozeExercise.Variety.Text.2	Dancing	Taniec		
food_info_types_exercise.3	dozeExercise.Variety.Text.3	Dodgeball	Gra w dwa ognie		
food_info_types_exercise.4	dozeExercise.Variety.Text.4	Downhill skiing	Narciarstwo zjazdowe		
food_info_types_exercise.5	dozeExercise.Variety.Text.5	Fencing	Szermierka		
food_info_types_exercise.6	dozeExercise.Variety.Text.6	Hiking	Piesze wędrówki		
food_info_types_exercise.7	dozeExercise.Variety.Text.7	Housework	Prace domowe		
food_info_types_exercise.8	dozeExercise.Variety.Text.8	Ice-skating	Jazda na łyżwach		
food_info_types_exercise.9	dozeExercise.Variety.Text.9	Inline skating	Jazda na rolkach		
food_info_types_exercise.10	dozeExercise.Variety.Text.10	Juggling	Żonglerka		
food_info_types_exercise.11	dozeExercise.Variety.Text.11	Jumping on a trampoline	Skakanie na trampolinie		
food_info_types_exercise.12	dozeExercise.Variety.Text.12	Paddle boating	Żeglarstwo wiosłowe		
