key_droid	key_apple	base_value	lang_value	base_comment
other_vegetables	dozeVegetablesOther	Other Vegetables	Inne warzywa	
flaxseeds	dozeFlaxseeds	Flaxseeds	Siemię lniane	
spices	dozeSpices	Herbs and Spices	Zioła i przyprawy	
berries	dozeBerries	Berries	Jagody	
cruciferous_vegetables	dozeVegetablesCruciferous	Cruciferous Vegetables	Warzywa kapustne	
exercise	dozeExercise	Exercise	Ćwiczenia	
beverages	dozeBeverages	Beverages	Napoje	
other_fruits	dozeFruitsOther	Other Fruits	Inne owoce	
greens	dozeGreens	Greens	Warzywa liściaste	
nuts	dozeNuts	Nuts and Seeds	Orzechy i nasiona	
beans	dozeBeans	Beans	Rośliny strączkowe	
whole_grains	dozeWholeGrains	Whole Grains	Pełnoziarniste zboża	
vitamin_b12	otherVitaminB12	Vitamin B12	Witamina B12	
food_info_serving_sizes_exercise[imperial][0]	dozeExerciseServing[imperial][0]	90 minutes of moderate-intensity activity	90 minut aktywności o umiarkowanej intensywności	
food_info_serving_sizes_exercise[metric][0]	dozeExerciseServing[metric][0]	90 minutes of moderate-intensity activity	90 minut aktywności o umiarkowanej intensywności	
food_info_serving_sizes_exercise[imperial][1]	dozeExerciseServing[imperial][1]	40 minutes of vigorous-intensity activity	40 minut intensywnej aktywności	
food_info_serving_sizes_exercise[metric][1]	dozeExerciseServing[metric][1]	40 minutes of vigorous-intensity activity	40 minut intensywnej aktywności	
food_info_serving_sizes_other_vegetables[imperial][0]	dozeVegetablesOtherServing[imperial][0]	1 cup raw leafy vegetables	1 szklanka surowych warzyw liściastych	
food_info_serving_sizes_other_vegetables[metric][0]	dozeVegetablesOtherServing[metric][0]	60 g raw leafy vegetables	60 g surowych warzyw liściastych	
food_info_serving_sizes_other_vegetables[imperial][1]	dozeVegetablesOtherServing[imperial][1]	½ cup raw or cooked nonleafy vegetables	½ szklanki surowych lub gotowanych warzyw nieliściastych	
food_info_serving_sizes_other_vegetables[metric][1]	dozeVegetablesOtherServing[metric][1]	50 g raw or cooked nonleafy vegetables	50 g surowych lub gotowanych warzyw nieliściastych	
food_info_serving_sizes_other_vegetables[imperial][2]	dozeVegetablesOtherServing[imperial][2]	½ cup vegetable juice	½ szklanki soku warzywnego	
food_info_serving_sizes_other_vegetables[metric][2]	dozeVegetablesOtherServing[metric][2]	125 ml vegetable juice	125 ml soku warzywnego	
food_info_serving_sizes_other_vegetables[imperial][3]	dozeVegetablesOtherServing[imperial][3]	¼ cup dried mushrooms	¼ szklanki suszonych grzybów	
food_info_serving_sizes_other_vegetables[metric][3]	dozeVegetablesOtherServing[metric][3]	7 g dried mushrooms	7 g suszonych grzybów	
food_info_serving_sizes_spices[imperial][0]	dozeSpicesServing[imperial][0]	¼ teaspoon of turmeric	¼ łyżeczki kurkumy	
food_info_serving_sizes_spices[metric][0]	dozeSpicesServing[metric][0]	¼ teaspoon of turmeric	¼ łyżeczki kurkumy	
food_info_serving_sizes_spices[imperial][1]	dozeSpicesServing[imperial][1]	Any other (salt-free) herbs and spices you enjoy	Wszelkie inne (pozbawione soli) zioła i przyprawy, które lubisz	
food_info_serving_sizes_spices[metric][1]	dozeSpicesServing[metric][1]	Any other (salt-free) herbs and spices you enjoy	Wszelkie inne (pozbawione soli) zioła i przyprawy, które lubisz	
food_info_serving_sizes_cruciferous_vegetables[imperial][0]	dozeVegetablesCruciferousServing[imperial][0]	½ cup chopped	½ szklanki posiekanych	
food_info_serving_sizes_cruciferous_vegetables[metric][0]	dozeVegetablesCruciferousServing[metric][0]	30–80 g chopped	30–80 g posiekanych	
food_info_serving_sizes_cruciferous_vegetables[imperial][1]	dozeVegetablesCruciferousServing[imperial][1]	¼ cup Brussels or broccoli sprouts	¼ szklanki brukselek lub kiełków brokułu	
food_info_serving_sizes_cruciferous_vegetables[metric][1]	dozeVegetablesCruciferousServing[metric][1]	12 g Brussels or broccoli sprouts	12 g brukselek lub kiełków brokułu	
food_info_serving_sizes_cruciferous_vegetables[imperial][2]	dozeVegetablesCruciferousServing[imperial][2]	1 tablespoon horseradish	1 łyżka chrzanu	
food_info_serving_sizes_cruciferous_vegetables[metric][2]	dozeVegetablesCruciferousServing[metric][2]	1 tablespoon horseradish	1 łyżka chrzanu	
food_info_serving_sizes_nuts[imperial][0]	dozeNutsServing[imperial][0]	¼ cup nuts or seeds	¼ szklanki orzechów lub nasion	
food_info_serving_sizes_nuts[metric][0]	dozeNutsServing[metric][0]	30 g nuts or seeds	30 g orzechów lub nasion	
food_info_serving_sizes_nuts[imperial][1]	dozeNutsServing[imperial][1]	2 tablespoons nut or seed butter	2 łyżki masła z orzechów lub z nasion	
food_info_serving_sizes_nuts[metric][1]	dozeNutsServing[metric][1]	2 tablespoons nut or seed butter	2 łyżki masła z orzechów lub z nasion	
food_info_serving_sizes_greens[imperial][0]	dozeGreensServing[imperial][0]	1 cup raw	1 szklanka surowych	
food_info_serving_sizes_greens[metric][0]	dozeGreensServing[metric][0]	60 g raw	60 g surowych	
food_info_serving_sizes_greens[imperial][1]	dozeGreensServing[imperial][1]	½ cup cooked	½ szklanki gotowanych	
food_info_serving_sizes_greens[metric][1]	dozeGreensServing[metric][1]	90 g cooked	90 g gotowanych	
food_info_serving_sizes_whole_grains[imperial][0]	dozeWholeGrainsServing[imperial][0]	½ cup hot cereal or cooked grains, pasta, or corn kernels	½ szklanki gorących płatków zbożowych lub gotowanych ziaren, makaronu lub ziaren kukurydzy	
food_info_serving_sizes_whole_grains[metric][0]	dozeWholeGrainsServing[metric][0]	100 g hot cereal or cooked grains, pasta, or corn kernels	100 g gorących płatków zbożowych lub gotowanych ziaren, makaronu lub ziaren kukurydzy	
food_info_serving_sizes_whole_grains[imperial][1]	dozeWholeGrainsServing[imperial][1]	1 cup cold cereal	1 szklanka zimnych płatków śniadaniowych	
food_info_serving_sizes_whole_grains[metric][1]	dozeWholeGrainsServing[metric][1]	50 g cold cereal	50 g zimnych płatków śniadaniowych	
food_info_serving_sizes_whole_grains[imperial][2]	dozeWholeGrainsServing[imperial][2]	1 tortilla or slice of bread	1 tortilla lub kromka chleba	
food_info_serving_sizes_whole_grains[metric][2]	dozeWholeGrainsServing[metric][2]	1 tortilla or slice of bread	1 tortilla lub kromka chleba	
food_info_serving_sizes_whole_grains[imperial][3]	dozeWholeGrainsServing[imperial][3]	½ a bagel or English muffin	½ bajgla lub angielskiego muffina	
food_info_serving_sizes_whole_grains[metric][3]	dozeWholeGrainsServing[metric][3]	½ a bagel or English muffin	½ bajgla lub angielskiego muffina	
food_info_serving_sizes_whole_grains[imperial][4]	dozeWholeGrainsServing[imperial][4]	3 cups popped popcorn	3 filiżanki popcornu	
food_info_serving_sizes_whole_grains[metric][4]	dozeWholeGrainsServing[metric][4]	30 g popped popcorn	30 g popcornu	
food_info_serving_sizes_berries[imperial][0]	dozeBerriesServing[imperial][0]	½ cup fresh or frozen	½ szklanki świeżych lub mrożonych	
food_info_serving_sizes_berries[metric][0]	dozeBerriesServing[metric][0]	60 g fresh or frozen	60 g świeżych lub mrożonych	
food_info_serving_sizes_berries[imperial][1]	dozeBerriesServing[imperial][1]	¼ cup dried	¼ szklanki susznych	
food_info_serving_sizes_berries[metric][1]	dozeBerriesServing[metric][1]	40 g dried	40 g susznych	
food_info_serving_sizes_beverages[imperial][0]	dozeBeveragesServing[imperial][0]	One glass (12 ounces)	Jedna szklanka (12 uncji)	
food_info_serving_sizes_beverages[metric][0]	dozeBeveragesServing[metric][0]	One glass (350 ml)	Jedna szklanka  (350 ml)	
food_info_serving_sizes_flaxseeds[imperial][0]	dozeFlaxseedsServing[imperial][0]	1 tablespoon ground	1 łyżka mielonych	
food_info_serving_sizes_flaxseeds[metric][0]	dozeFlaxseedsServing[metric][0]	1 tablespoon ground	1 łyżka mielonych	
food_info_serving_sizes_beans[imperial][0]	dozeBeansServing[imperial][0]	¼ cup of hummus or bean dip	¼ szklanki humusu lub dipu ze strączków	
food_info_serving_sizes_beans[metric][0]	dozeBeansServing[metric][0]	60 g of hummus or bean dip	60 g humusu lub dipu ze strączków	
food_info_serving_sizes_beans[imperial][1]	dozeBeansServing[imperial][1]	½ cup cooked beans, split peas, lentils, tofu, or tempeh	½ szklanki ugotowanych strączków, groszku, soczewicy, tofu lub tempehu	
food_info_serving_sizes_beans[metric][1]	dozeBeansServing[metric][1]	130 g cooked beans, split peas, lentils, tofu, or tempeh	130 g ugotowanych strączków, groszku, soczewicy, tofu lub tempehu	
food_info_serving_sizes_beans[imperial][2]	dozeBeansServing[imperial][2]	1 cup of fresh peas or sprouted lentils	1 szklanka świeżego groszku lub kiełków soczewicy	
food_info_serving_sizes_beans[metric][2]	dozeBeansServing[metric][2]	150 g of fresh peas or sprouted lentils	150 g świeżego groszku lub kiełków soczewicy	
food_info_serving_sizes_other_fruits[imperial][0]	dozeFruitsOtherServing[imperial][0]	1 medium-sized fruit	1 średniej wielkości owoc	
food_info_serving_sizes_other_fruits[metric][0]	dozeFruitsOtherServing[metric][0]	1 medium-sized fruit	1 średniej wielkości owoc	
food_info_serving_sizes_other_fruits[imperial][1]	dozeFruitsOtherServing[imperial][1]	1 cup cut-up fruit	1 szklanka pokrojonych owoców	
food_info_serving_sizes_other_fruits[metric][1]	dozeFruitsOtherServing[metric][1]	120 g cut-up fruit	120 g pokrojonych owoców	
food_info_serving_sizes_other_fruits[imperial][2]	dozeFruitsOtherServing[imperial][2]	¼ cup dried fruit	¼ szklanki suszonych owoców	
food_info_serving_sizes_other_fruits[metric][2]	dozeFruitsOtherServing[metric][2]	40 g dried fruit	40 g suszonych owoców	
food_info_types_spices[0]	dozeSpicesVarietyText[0]	Allspice	Ziele angielskie	
food_info_types_spices[1]	dozeSpicesVarietyText[1]	Barberries	Berberys	
food_info_types_spices[2]	dozeSpicesVarietyText[2]	Basil	Bazylia	
food_info_types_spices[3]	dozeSpicesVarietyText[3]	Bay leaves	Liście laurowe	
food_info_types_spices[4]	dozeSpicesVarietyText[4]	Cardamom	Kardamon	
