key_droid	key_apple	base_value	lang_value	base_comment
OK		OK	OK	
about_this_app		About this app	O tej aplikacji	
about_tweak		About Tweak	O wskazówce	
average_weight_on_day		Average weight on day	Średnia waga w dniu	
backup		Backup	Backup	
backup_failed		Backup failed	Backup nieudany	
backup_instructions_lines.0		Follow these steps to restore this backup in the Daily Dozen app	Wykonuj następujące kroki by odtworzy swój backup(kopię zapasową) w aplikacji Daily Dozen	
backup_instructions_lines.1				
backup_instructions_lines.2		1. The Daily Dozen app must be installed on your Android phone. You can download it here: https://play.google.com/store/apps/details?id=org.nutritionfacts.dailydozen	1. Aplikacja The Daily Dozen musi być zainstalowana na twoim telefonie z Androidem. Możesz ją pobrać z: https://play.google.com/store/apps/details?id=org.nutritionfacts.dailydozen	
backup_instructions_lines.3				
backup_instructions_lines.4		2. Tap on the backup file attached to this email.	2. Naciśnij plik backupu dołączony do tego maila.	
backup_instructions_lines.5				
backup_instructions_lines.6		3. Select Open with Daily Dozen	3. Wybierz otwórz z Daily Dozen	
backup_success		Backup successful	Backup udany	
channel_reminders_name		Reminders	Przypomnienia	
daily_servings_history		Daily Servings History	Historia dziennych porcji	
daily_tweaks_history		Daily Tweaks History	Dzienna historia adaptacji	
debug		Debug	Debug (poszukiwanie błędu)	
debug_clear_data		Clear all data	Wyczyść wszystkie dane	
debug_clear_data_message		This will delete all entered Servings. Do you wish to continue?	To usunie wszystkie wprowadzone porcje. Czy chcesz kontunuować?	
debug_generate_data_message		All existing data will be replaced. Do you wish to continue?	Wszystkie istniejące dane będą zastąpione. Czy chcesz kontynuować?	
debug_generate_full_data		Generate full data	Wygeneruj wszystie dane	
debug_generate_random_data		Generate random data	Wygeneruj losowe dane	
debug_generate_weight_data		Generate Weight Data	Wytwórz pomiary wagi	
dialog_ask_user_to_rate_app_message		Please give us feedback in the Play Store.	Proszę day nam informację zwrotną w sklepie Play.	
dialog_ask_user_to_rate_app_title		Do you like this app?	Czy lubisz naszą aplikację?	
dialog_no_email_apps_message		Backing up your data requires you to have an email app installed so you can email the .csv backup file to yourself. Please install an email app and try again.	"Stworzenie kopi bezpieczeństwa (backupu) wymaga zainstaowania aplikacji do wysyłania maili, żeby można było wysłać plik .csv do siebie. Proszę zainstalować program do wysyłania maili i spróbować ponownie."	
dialog_no_email_apps_title		No email apps found	Nie znaleziono adresu email aplikacji	
dialog_streaks_message		Your database will now be upgraded to support the new streaks feature.	Twoja baza będzie uaktualniona by wspierać nową funkcję nawyków.	
dialog_streaks_title		New feature: Streaks!	Nowa funkcja: Nawyki!	
error_cannot_handle_url		Could not open url. Please install a browser.	Nie można otworzyć adresy URL. Proszę zainstalować przeglądarkę.	
evening		Evening	Popołudnie	
food_history		Food History	Historia jedzenia	
food_info		Food Info	Informacja o jedzeniu	
format_version		version %s	wersja %s	
history_to_generate		History to Generate	Historia do wygenerowania	
history_to_generate_choices.0		1 month	1 miesiąc	
history_to_generate_choices.1		3 months	3 miesiące	
history_to_generate_choices.2		6 months	6 miesiące	
history_to_generate_choices.3		1 year	1 rok	
history_to_generate_choices.4		2 years	2 lata	
history_to_generate_choices.5		5 years	5 lat	
library_butterknife		ButterKnife	ButterKnife	
morning		Morning	Ranek	
moving_average		Moving Average	Średnia ruchu	
no		No	Nie	
no_servings_recorded		You have not recorded any servings yet!	Jeszcze nie zapisałeś żadnych porcji!	
no_weights_recorded		You have not recorded any weights yet!	Nie zapisałeś żadnej wagi!	
not_now		Not Now	Nie teraz	
permission_needed_to_write_storage		Can\'t backup without permission to write to storage	Nie można wykonać backupu bez prawa do zapisu na danym obszarze	
rate_now		Give Feedback	Dostacz nam informacji zwrotnych	
restore_confirm_message		Any existing data will be deleted before restoring from backup. Do you wish to continue?	Wszystkie istniejące dane będą usunięte przed przywóceniem backupu(kopi bezpieczeństwa). Czy chcesz kontynuować?	
restore_confirm_title		Restore Backup	Przywracanie Backup	
restore_failed		Restore failed	Przywracanie nieudane	
restore_success		Restore successful	Przywracanie udane	
task_backup_title		Backing up	Backupowanie	
task_calculating_streaks_title		Calculating streaks	Obliczanie nawyków	
task_generating_random_data		Generating random data	Tworzenie losowych danych	
task_loading_servings_history_title		Loading Servings History	Ładowanie historii porcji	
task_loading_weights_history_title		Loading Weights History	Ładowanie histori pomiarów wagi	
task_restore_title		Restoring	Przywracanie	
title_cookbook		Cookbook		
title_how_not_to_die		How Not to Die		
title_how_not_to_diet		How Not to Diet		
tweak_group_daily		Every Day	Każdego dnia	
tweak_group_dailydoses		Take your daily doses	Weź swoje dzienne dawki	
tweak_group_meal		At Each Meal	Przy każdym posiłku	
tweak_group_nightly		Every Night	Każdej nocy	
tweaks		Tweaks	adaptacji	
weight		Weight	Waga	
weight_history		Weight History	Historia pomiarów wagi	
yes		Yes	Tak	
