key_droid	key_apple	base_value	lang_value	base_note
OK		OK	OK	
about_this_app	info.about.title	About this app	O aplikacji	
about_tweak		About Tweak	O Adaptacji	
average_weight_on_day		Average weight on day	Średnia waga w dniu	
backup		Backup	Kopia zapasowa	
backup_failed		Backup failed	Kopia zapasowa nie utworzona	
backup_instructions_lines.0		Follow these steps to restore this backup in the Daily Dozen app	"Wykonaj następujące kroki, aby przywrócić swoją kopię zapasową w aplikacji Codzienny Tuzin."	
backup_instructions_lines.1				
backup_instructions_lines.2		1. The Daily Dozen app must be installed on your Android phone. You can download it here: https://play.google.com/store/apps/details?id=org.nutritionfacts.dailydozen	1. Aplikacja Codzienny Tuzin musi być zainstalowana na telefonie z systemem Android. Możesz ją pobrać tutaj: : https://play.google.com/store/apps/details?id=org.nutritionfacts.dailydozen	
backup_instructions_lines.3				
backup_instructions_lines.4		2. Tap on the backup file attached to this email.	2. Stuknij w plik kopii zapasowej załączony w tym e-mailu.	
backup_instructions_lines.5				
backup_instructions_lines.6		3. Select Open with Daily Dozen	3. Wybierz opcję „Otwórz przy pomocy Codzienny Tuzin”.	
backup_success		Backup successful	Kopia zapasowa utworzona	
channel_reminders_name		Reminders	Przypomnienia	
daily_servings_history		Daily Servings History	Historia dziennych porcji	
daily_tweaks_history		Daily Tweaks History	Dzienna historia adaptacji	
debug		Debug	Debugowanie	
debug_clear_data		Clear all data	Wyczyść wszystkie dane	
debug_clear_data_message		This will delete all entered Servings. Do you wish to continue?	To usunie wszystkie wprowadzone porcje. Czy chcesz kontunuować?	
debug_generate_data_message		All existing data will be replaced. Do you wish to continue?	Wszystkie istniejące dane zostaną zastąpione. Czy chcesz kontynuować?	
debug_generate_full_data		Generate full data	Wygeneruj wszystie dane	
debug_generate_random_data		Generate random data	Wygeneruj losowe dane	
debug_generate_weight_data		Generate Weight Data	Stwórz pomiary wagi	
dialog_ask_user_to_rate_app_message		Please give us feedback in the Play Store.	Zostaw nam opinię w sklepie Play.	
dialog_ask_user_to_rate_app_title		Do you like this app?	Czy lubisz tę aplikację?	
dialog_no_email_apps_message		Backing up your data requires you to have an email app installed so you can email the .csv backup file to yourself. Please install an email app and try again.	"Tworzenie kopii zapasowych twoich danych wymaga zainstalowania aplikacji do obsługi poczty e-mail, aby można było wysłać do siebie plik kopii zapasowej "".csv"" . Zainstaluj aplikację e-mail i spróbuj ponownie."	
dialog_no_email_apps_title		No email apps found	Nie znaleziono aplikacji poczty e-mail	
dialog_streaks_message		Your database will now be upgraded to support the new progress feature.	Twoja baza danych zostanie uaktualniona by wspierać nową funkcję postępu.	
dialog_streaks_title		New progress feature added!	Dodano nową funkcję postępu!	
error_cannot_handle_url		Could not open url. Please install a browser.	Nie można otworzyć adresu URL. Proszę zainstalować przeglądarkę.	
evening	historyRecordWeight.legendEvening	Evening	Wieczór.	
food_history		Food History	Historia jedzenia	
food_info		Food Info	Informacja o jedzeniu	
format_version		version %s	wersja %s	
history_to_generate		History to Generate	Historia do wygenerowania	
history_to_generate_choices.0		1 month	1 miesiąc	
history_to_generate_choices.1		3 months	3 miesiące	
history_to_generate_choices.2		6 months	6 miesięcy	
history_to_generate_choices.3		1 year	1 rok	
history_to_generate_choices.4		2 years	2 lata	
history_to_generate_choices.5		5 years	5 lat	
library_butterknife		ButterKnife	ButterKnife	
morning	historyRecordWeight.legendMorning	Morning	Ranek	
moving_average		Moving Average	Średnia ruchoma	
no		No	Nie	
no_servings_recorded		You have not recorded any servings yet!	Jeszcze nie zapisałeś żadnych porcji!	
no_weights_recorded		You have not recorded any weights yet!	Nie zapisałeś żadnej wagi!	
not_now		Not Now	Nie teraz	
permission_needed_to_write_storage		Can\'t backup without permission to write to storage	Nie można wykonać kopii zapasowej bez zgody na zapis w pamięci urządzenia.	
rate_now		Give Feedback	Zostaw opinię	
restore_confirm_message		Any existing data will be deleted before restoring from backup. Do you wish to continue?	Wszystkie istniejące dane będą usunięte przed przywróceniem kopii zapasowej. Czy chcesz kontynuować?	
restore_confirm_title		Restore Backup	Przywróć kopię zapasową	
restore_failed		Restore failed	Przywracanie kopii nieudane	
restore_success		Restore successful	Przywracanie kopii udane	
task_backup_title		Backing up	Tworzenie kopii zapasowej	
task_calculating_streaks_title		Calculating progress	Obliczanie postępu	
task_generating_random_data		Generating random data	Tworzenie losowych danych	
task_loading_servings_history_title		Loading Servings History	Ładowanie historii porcji	
task_loading_weights_history_title		Loading Weights History	Ładowanie historii pomiarów wagi	
task_restore_title		Restoring	Przywracanie	
title_cookbook		Cookbook		
title_how_not_to_die		How Not to Die		
title_how_not_to_diet		How Not to Diet		
tweak_group_daily		Every Day	Każdego dnia	
tweak_group_dailydoses		Take your daily doses	Przyjmij swoje dzienne dawki	
tweak_group_meal		At Each Meal	Przy każdym posiłku	
tweak_group_nightly		Every Night	Każdej nocy	
tweaks	historyRecordTweak.legend	Tweaks	Adaptacje	
weight	weightEntry.heading	Weight	Waga	
weight_history	historyRecordWeight.heading	Weight History	Historia pomiarów wagi	
yes		Yes	Tak	
	navtab.doze	Daily Dozen	Codzienny Tuzin	primary navigation tab title
	navtab.info	Information	Informacja	primary navigation tab title. translate
	navtab.preferences	Preferences	Ustawienia	primary navigation tab title. translate as settings or preferences
	navtab.tweaks	21 Tweaks	21 Adaptacji	primary navigation tab title. primary navigation tab
	dozeOtherInfo.title	Supplements	Supplements	
	dozeOtherInfo.message	"Vitamin B12 is essential for your health but does not count towards your daily servings.\n\nVitamin B12 is included in this app to provide you with an easy way to track your intake."	"Vitamin B12 is essential for your health but does not count towards your daily servings.\n\nVitamin B12 is included in this app to provide you with an easy way to track your intake."	
	dozeOtherInfo.confirm	OK	OK	button title for dismissing message
	historyRecordDoze.heading	Servings History	Historial de porciones	Historia porcji	
	historyRecordDoze.legend	Servings	Porcje	
	historyRecordTweak.heading	Tweaks History	Historia adaptacji	
	historyRecordWeight.titleImperial	Weight (lbs)	Waga (funt)	
	historyRecordWeight.titleMetric	Weight (kg)	Waga (kg)	
	weightEntry.pounds	lbs	funt	
	weightEntry.kilograms	kg	kg	
