key_droid	key_apple	base_value	lang_value	base_comment
android.store.title	apple.store.title	Dr. Greger's Daily Dozen	Daily Dozen doktora Gregera	Even though in the text below I use the abbreviation "dr", it is best in my opinion to leave a full word here for a better comprehension. It also looks more natural in Polish.
	apple.store.subtitle	Track the foods recommended by NutritionFacts.org	Śledź żywność zalecaną przez NutritionFacts.org	
	apple.store.keywords			
android.store.description		Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day from his book How Not Die—now including the 21 Tweaks from How Not to Diet—weight-loss accelerators to help maximize our natural fat-burning capabilities.  All his proceeds from his books, DVDs, and speaking engagements is all donated to charity.  NutritionFacts.org is a non-commercial, nonprofit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	Daily Dozen doktora Gregera szczegółowo opisuje najzdrowsze produkty i ile porcji każdego z nich powinniśmy spożywać każdego dnia, w oparciu o jego książkę „Jak nie umrzeć przedwcześnie”. Teraz zawiera również 21 Adaptacji z „How Not to Diet” - to przyspieszacze utraty wagi, które pomogą nam jak najbardziej wykorzystać nasze naturalne zdolności spalania tłuszczu.  Cały dochód ze sprzedaży jego książek, płyt DVD i wystąpień jest przekazywany na cele charytatywne.  NutritionFacts.org to niekomercyjna, non-profit usługa publiczna, oparta na nauce i świadczona przez dr. Gregera. Zapewnia codzienne bezpłatne aktualizacje na temat najnowszych badań żywieniowych w formie krótkich filmów. Dr Greger ma prawie tysiąc nagrań na temat każdego aspektu zdrowego odżywiania, a każdego dnia przesyłane są nowe filmy i artykuły. Podobnie jak w przypadku tej aplikacji, wszystko na stronie jest wolne od reklam i bezpłatne.	In some cases "dr" is going to appear here with a "." (dot) and in some other not - it is a subject of Polish orthography rules. It all depends on the grammatical case (there are 7 in Polish).
android.store.whatsnew		Adds language support of [place translated language name here].	Dodaje obsługę języka polskiego.	
	apple.store.promotion	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, How Not to Diet.	Sprawdź zupełnie nową funkcjonalność Daily Dozen! Zawiera 21 Adaptacji z nowej książki „How Not to Diet”.	
	apple.store.description	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, How Not to Die, and now his new book, How Not to Diet.  The 21 Tweaks feature, based on How Not to Diet, also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.  In the years of research required to create the more than a thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.  Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book How Not to Die.  All his proceeds from his books, DVDs, and speaking engagements are all donated to charity.  NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.  Like this app, everything on the website is both free of ads and free of charge.  Application level language selection, via Settings, requires iOS 13 or newer.	Śledź jaką żywność zaleca dr Greger w swojej bestsellerowej książce New York Times „Jak nie umrzeć przedwcześnie” , a teraz także w swojej nowej książce „How Not to Diet”.  Funkcja 21 Adaptacji, oparta na „How Not to Diet”, zapewnia również monitor wagi. Monitor może używać aplikacji HealthKit tak do zapisu ręcznie wprowadzonych wartości, jak również do odczytywania danych dotyczących wagi z wag obsługujących aplikację HealthKit.  Podczas lat badań potrzebnych do stworzenia ponad tysiąca, popartych dowodami, nagrań wideo na swoją stronę NutritionFacts.org, Michael Greger (lekarz, współzałożyciel i członek honorowy American College of Lifestyle Medicine) opracował listę tego, co uważa za najważniejsze produkty spożywcze, które należy uwzględnić w zdrowej codziennej diecie.  Daily Dozen dr. Gregera szczegółowo opisuje najzdrowsze pokarmy i ile porcji każdego z nich powinniśmy spożywać każdego dnia. Swoje uzasadnienie przedstawia w swojej książce „Jak nie umrzeć przedwcześnie”.  Cały dochód ze sprzedaży jego książek, płyt DVD i wystąpień jest przekazywany na cele charytatywne.  NutritionFacts.org to niekomercyjna, non-profit usługa publiczna, oparta na nauce i świadczona przez dr. Gregera. Zapewnia codzienne bezpłatne aktualizacje na temat najnowszych badań żywieniowych w formie krótkich filmów. Dr Greger ma prawie tysiąc nagrań na temat każdego aspektu zdrowego odżywiania, a każdego dnia przesyłane są nowe filmy i artykuły.  Podobnie jak w przypadku tej aplikacji, wszystko na stronie jest wolne od reklam i bezpłatne.  Wybór języka z poziomu aplikacji, w „Ustawieniach”, wymaga systemu iOS 13 lub nowszego.	
	apple.store.whatsnew	Adds language support of [place translated language name here].	Dodaje obsługę języka polskiego.	
				
android.about_text_lines		This app was created by John Slavick.  The following open source libraries are used: ActiveAndroid, android-iconify, ButterKnife, EventBus, LikeAnimation, and MPAndroidChart.  Special thanks to the volunteer efforts of the creators of the previous app: Chan Kruse, Allan Portera, and Sangeeta Kumar.	Aplikacja została stworzona przez Johna Slavicka.  Używane są następujące biblioteki open source: ActiveAndroid, android-iconify, ButterKnife, EventBus, LikeAnimation i MPAndroidChart.  Specjalne podziękowania za wolontariacki wysiłek twórców poprzedniej aplikacji: Chana Kruse, Allana Portera i Sangeeta Kumara.	
