key_droid	key_apple	base_value	lang_value	base_note	lang_note
	history_data_alert_cancel	Cancel	Anuluj	History Data Alert: Cancel button	
	history_data_alert_clear	Clear	Wyczyść	History Data Alert: Clear button	
	history_data_alert_import	Import	Importuj	History Data Alert: Import buttom	
	history_data_alert_ok	OK	OK	History Data Alert: OK button	
	history_data_export_btn	Export History Data	Eksportuj dane	History Data: export action button	
	history_data_export_text	Export has been written to:	Dane wyeksportowano do:	History Data: export description text	
	history_data_import_btn	Import History Data	Importuj dane	History Data: import action button	
	history_data_import_caution_text	Caution: This import will overwrite all history data currently in this Daily Dozen application. Would you like to proceed with the import?	Uwaga: Ten import spowoduje, że wszystkie dane znajdujące się obecnie w tej aplikacji Codzienny Tuzin zostaną zastąpione. Czy chcesz kontynuować import?	History Data: import caution text	
	history_data_import_error_text	Error: The import was not performed because of a data error. The existing data has remained unchanged.	Błąd: Importowanie nie powiodło się z powodu błędu danych. Dotychczasowe dane nie uległy zmianie.	History Data: import data error text	
	history_data_import_notfound_text	Did not find a valid import file in the Daily Dozen Documents folder.	Nie znaleziono prawidłowego pliku importu w folderze Dokumenty Codziennego Tuzina.	History Data: import not found text	
	history_data_title	History	Historia	History Data: preferences header & title	
