key_droid	key_apple	base_value	lang_value	base_note	lang_note
serving_sizes	doze_detail_section_sizes	Serving Sizes (Suggested)	Rozmiar porcji (Sugerowany)	Doze Detail View subheading: ‘Serving Sizes’	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup hummus or bean dip	¼ szklanki hummusu lub dipu z fasoli		
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, or lentils	½ szklanki ugotowanej fasoli, grochu łuskanego, lub soczewicy		
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	½ cup tofu or tempeh	½ szklanki tofu lub tempehu		
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or snow peas	1 szklanka świeżego groszku lub groszku młodego cukrowego		
food_info_serving_sizes_beans_imperial.4	dozeBeans.Serving.imperial.4	1 cup fresh sprouted beans (lentils, mung beans)	1 szklanka świeżych kiełków strączków (soczewica, fasola mung)		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g hummus or bean dip	60 g hummusu lub dipu z fasoli		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	90 g cooked beans, split peas, or lentils	90 g ugotowanej fasoli, grochu łuskanego, lub soczewicy		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	100 g tofu or tempeh	100 g tofu lub tempehu		
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	130 g fresh peas or snow peas	130 g świeżego groszku lub groszku młodego cukrowego		
food_info_serving_sizes_beans_metric.4	dozeBeans.Serving.metric.4	100 g fresh sprouted beans (lentils, mung beans)	100 g świeżych kiełków strączków (soczewica, fasola mung)		
faq_scaling_question	faq_scaling_question	The Daily Dozen is too much/too little food for me! Can I adapt it?	Codzienny Tuzin to dla mnie za dużo/za mało jedzenia! Czy mogę to dostosować?		
faq_scaling_response	faq_scaling_response	Yes, the Daily Dozen is simply meant to be a guide of the healthiest foods that we strive to include every day. It’s not a meal plan and is not meant to be prescriptive. Do your best to eat a diverse array of whole plant foods and adapt the Daily Dozen to the quantities that work for you.	Tak, Codzienny Tuzin ma być po prostu przewodnikiem po najzdrowszej żywności, którą staramy się włączać do naszej diety każdego dnia. To nie jest plan posiłków i nie ma na celu niczego narzucać. Staraj się jeść różnorodną gamę pełnowartościowych pokarmów roślinnych i dostosuj Codzienny Tuzin do ilości, które ci odpowiadają.		
faq_age_question	faq_age_question	Is this adaptable for children, adolescents, and teens?	Czy Codzienny Tuzin można dostosować pod dzieci i młodzież?		
faq_age_response.0	faq_age_response.0	Children, adolescents, and teenagers have different caloric needs throughout their lifecycle. These needs change to support growth and development at each stage.	Dzieci i młodzież mają różne zapotrzebowanie kaloryczne w okresie dorastania. Zmienia się ono, aby wspierać wzrost i rozwój na każdym etapie.		
faq_age_response.1	faq_age_response.1	The Daily Dozen was designed as a guide to help people include some of the healthiest foods into their daily routine. While the same framework can be used for most people throughout the lifecycle, the amount of food one needs to eat will vary based on a number of factors like age and activity level. Since we can’t provide specific nutrition or medical advice for your growing child, parents should use this guide as they see best for their child’s needs and/or consult with a registered dietitian or other healthcare provider to help determine what is best for their individual needs.	Codzienny Tuzin został stworzony jako przewodnik mający pomóc ludziom włączyć niektóre z najzdrowszych pokarmów do ich codziennej diety. Chociaż te same wytyczne mogą być stosowane przez większość ludzi przez cały ich cykl życia, ilość żywności, którą należy zjeść, będzie się różnić w zależności od wielu czynników, takich jak wiek i poziom aktywności fizycznej. Ponieważ nie możemy zapewnić konkretnych porad żywieniowych ani medycznych dla twojego rosnącego dziecka, rodzice powinni korzystać z tego przewodnika tak, jak uznają to za najlepsze dla potrzeb ich dziecka i/lub skonsultować się z dietetykiem lub innym pracownikiem służby zdrowia, który pomoże określić, co jest najlepsze dla ich indywidualnych potrzeb.		
faq_calories_question	faq_calories_question	How many calories are in the Daily Dozen?	Ile kalorii pokrywa Codzienny Tuzin?		
faq_calories_response.0	faq_calories_response.0	The Daily Dozen averages about 1,200 calories, but given the wide array of food choices in each category, it can range anywhere from 800-1800. Consider the Other Vegetables category: a cup of bell peppers has a much lower caloric density than a cup of cooked sweet potatoes, therefore the caloric range will depend on your specific food choices. That’s the great thing about the Daily Dozen Checklist—it’s not a one size fits all approach, and can be adapted to your needs.	Codzienny Tuzin średnio pokrywa około 1200 kalorii, ale biorąc pod uwagę szeroki wybór żywności w każdej kategorii, ten zakres może wahać się od 800 do 1800 kalorii. Weź pod uwagę kategorię "Inne Warzywa": szklanka papryki ma znacznie niższą gęstość kaloryczną niż szklanka gotowanych słodkich ziemniaków, dlatego zakres kaloryczny będzie zależał od twoich konkretnych wyborów żywieniowych. To właśnie jest wspaniałe w Liście kontrolnej Codziennego Tuzina — można je dostosować do własnych potrzeb.		
faq_calories_response.1	faq_calories_response.1	If your goal is weight loss, you can find more information in “How Not to Diet” and the accompanying Twenty-One Tweaks. In “How Not to Diet”, I noted: “A systematic review of successful weight-loss strategies concluded that given the metabolic slowing and increased appetite that accompanies weight loss, to achieve significant weight loss, calorie counts may need to drop as low as 1,200 calories a day for women and 1,500 calories a day for men.”	Jeśli twoim celem jest utrata masy ciała, więcej informacji znajdziesz w linku do książki „How Not to Diet” i w zakładce "21 Adaptacji". W „How Not to Diet” wspomniałem: „Systematyczny przegląd skutecznych strategii odchudzania wykazał, że biorąc pod uwagę spowolnienie metabolizmu i zwiększony apetyt, który towarzyszy utracie wagi, aby osiągnąć znaczną utratę wagi, liczba kalorii może wymagać spadku nawet do 1200 kalorii dziennie dla kobiet i 1500 kalorii dziennie dla mężczyzn."		
faq_calories_response.2	faq_calories_response.2	On the other hand, if your goal is weight gain, then you may want to focus on adding in more calorie-dense foods, such as sweet potatoes, avocados, nuts, and soy products.	Z kolei, jeśli twoim celem jest przybranie na wadze, możesz skupić się na dodawaniu pokarmów o większej zawartości kalorii, takich jak słodkie ziemniaki, awokado, orzechy i produkty sojowe.		
faq_mother_question	faq_mother_question	Can I do this while pregnant or breastfeeding?	Czy mogę stosować się do Codziennego Tuzina w czasie ciąży lub karmienia piersią?		
faq_mother_response	faq_mother_response	People who are pregnant or breastfeeding have different caloric and nutritional needs than people who are not. As a reminder, the Daily Dozen is not a meal plan and should not be the only foods consumed within a day. People who are pregnant or breastfeeding should consult with their health care practitioner or a registered dietician for assistance with meeting their specific caloric requirements and nutritional needs.	Osoby w ciąży lub karmiące piersią mają inne potrzeby kaloryczne i żywieniowe niż osoby niebędące w ciąży. Przypominamy, że Codzienny Tuzin nie jest planem posiłków i produkty z Listy kontrolnej nie powinny być jedynymi produktami spożywanymi w ciągu dnia. Osoby w ciąży lub karmiące piersią powinny skonsultować się ze swoim lekarzem lub dietetykiem w celu uzyskania pomocy w spełnieniu ich określonych wymagań kalorycznych i potrzeb żywieniowych.		
faq_supplements_question	faq_supplements_question	I thought that Dr. Greger recommends taking Vitamin D and DHA supplements. Why aren’t they included?	Myślałem/-am, że dr Greger zaleca przyjmowanie suplementów witaminy D i kwasu DHA. Dlaczego nie są one uwzględnione?		
faq_supplements_response	faq_supplements_response	We have updated the Daily Dozen app to reflect only required supplements. For example, Vitamin D is only needed for people who get inadequate sun exposure. Our goal is to share the science with you so you can make your own informed decisions. You can see all of my recommendations on the [Optimum Nutrient](https://nutritionfacts.org/optimum-nutrient-recommendations) page.	Zaktualizowaliśmy aplikację Codzienny Tuzin, aby zawierała tylko wymagane suplementy. Na przykład witamina D jest potrzebna tylko osobom, które mają niewystarczającą ekspozycję na słońce. Naszym celem jest dzielenie się z tobą nauką, abyś mógł/-a podejmować własne, świadome decyzje. Możesz zobaczyć wszystkie moje zalecenia na stronie [Optimum Nutrient](https://nutritionfacts.org/optimum-nutrient-recommendations).		
faq_scaling_question	faq_scaling_question	I can’t possibly eat that many beans/grains/etc.!	Nie jestem w stanie zjeść tak dużo warzyw strączkowych/zbóż/itd.!		
faq_scaling_response	faq_scaling_response	That’s okay! The Daily Dozen is an aspirational guide. Do your best to incorporate as many of these healthy plant foods as possible. If you are new to eating a lot of beans (or grains, greens, etc!), you may need to start with smaller amounts and slowly increase the quantity in order to give your microbiome a chance to adjust. You can also get creative: for example, add some beans to your morning oatmeal. If you load it up with berries, flax seeds, and nuts, you won’t even notice the beans. You can also mash beans into a sandwich spread, or make my [BROL](https://nutritionfacts.org/recipe/basic-brol-barley-rye-oats-and-lentils)—barley, rye, oat groats, and lentils—that I use as a base for many meals and is a simple way to get a variety of whole grains with a built-in serving of legumes.	W porządku! Codzienny Tuzin to tylko przewodnik z inspiracjami, do których możesz dążyć. Postaraj się włączyć do swojej diety jak najwięcej z tych zdrowych pokarmów roślinnych. Jeśli dopiero zaczynasz jeść dużo strączków (lub zbóż, zieleniny itp.!), być może będziesz musiał/-a zacząć od mniejszych ilości, powoli je zwiększając, aby dać swojemu mikrobiomowi szansę na dostosowanie się. Możesz także wykazać się kreatywnością: na przykład dodaj trochę fasoli do porannej owsianki. Jeśli dodasz także jagody, siemię lniane i orzechy, nawet nie zauważysz fasoli. Możesz też zmiksować fasolę na pastę do kanapek lub zrobić mój [BROL](https://nutritionfacts.org/recipe/basic-brol-barley-rye-oats-and-lentils) – obłuszczone ziarno jęczmienia, ziarno żyta, kasza owsiana pęczak i soczewica — tego używam jako bazę do wielu posiłków. Jest ona prostym sposobem na włączenie do diety różnorodnych pełnych ziaren i roślin strączkowych.		
