key_droid	key_apple	base_value	lang_value	base_note
	NSHealthShareUsageDescription	The 21 Tweaks feature accesses your HealthKit data to provide updates to your daily weight measurements.	A função 21 Ajustes acessa os dados do seu HealthKit para fornecer atualizações às suas medidas diárias de peso.	
	NSHealthUpdateUsageDescription	The 21 Tweaks feature can write weight data to HealthKit to help you keep track of your progress.	A função 21 Ajustes pode escrever dados no HealthKit para te ajudar a acompanhar o seu progresso.	
back_to_today	dateBackButtonTitle	Back to today	Voltar para hoje	
	dateButtonTitle.today	Today	Hoje	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup of hummus or bean dip	¼ xícara de homus ou patê de feijão	
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, lentils, tofu, or tempeh	½ xícara de feijão, ervilha, lentilha, tofu ou tempê cozidos	
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	1 cup of fresh peas or sprouted lentils	1 xícara de ervilha fresca ou lentilha germinada	
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g of hummus or bean dip	60 g de homus ou patê de feijão	
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	130 g cooked beans, split peas, lentils, tofu, or tempeh	130 g de feijão, ervilha, lentilha, tofu ou tempê cozidos	
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	150 g of fresh peas or sprouted lentils	150 g de ervilha fresca ou lentilha germinada	
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	Feijão preto	
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas	Feijão fradinho	
food_info_types_beans.10	dozeBeans.Variety.Text.10	Miso	Missô	
food_info_types_beans.11	dozeBeans.Variety.Text.11	Navy beans	Feijão branco (navy)	
food_info_types_beans.12	dozeBeans.Variety.Text.12	Pinto beans	Feijão carioquinha	
food_info_types_beans.13	dozeBeans.Variety.Text.13	Small red beans	Feijão vermelho pequeno	
food_info_types_beans.14	dozeBeans.Variety.Text.14	Split peas (yellow or green)	Ervilha seca partida (amarela ou verde)	
food_info_types_beans.15	dozeBeans.Variety.Text.15	Tempeh	Tempê	
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans	Feijão branco (lima)	
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans	Feijão branco (cannellini)	
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans	Grão-de-bico	
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame	Edamame	
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas	Ervilha inglesa	
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans	Feijão branco (great northern)	
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans	Feijão vermelho grande	
food_info_types_beans.9	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)	Lentilha (variedades beluga, francesa e vermelha)	
beans	dozeBeans.heading	Beans	Leguminosas	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup fresh or frozen	½ xícara de frutas silvestres frescas ou congeladas	
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup dried	¼ xícara de frutas silvestres secas	
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	60 g fresh or frozen	60 g de frutas silvestres frescas ou congeladas	
