key_droid	key_apple	base_value	lang_value	base_note	lang_note
	history_data_alert_cancel	Cancel	Cancelar	History Data Alert: Cancel button	
	history_data_alert_clear	Clear	Limpar	History Data Alert: Clear button	
	history_data_alert_import	Import	Importar	History Data Alert: Import buttom	
	history_data_alert_ok	OK	Certo	History Data Alert: OK button	
	history_data_export_btn	Export History Data	Exportar Dados do Histórico	History Data: export action button	
	history_data_export_text	Export has been written to:	Dados Exportados foram escritos em:	History Data: export description text	
	history_data_import_btn	Import History Data	Importar Dados do Histórico	History Data: import action button	
	history_data_import_caution_text	Caution: This import will overwrite all history data currently in this Daily Dozen application. Would you like to proceed with the import?	Atenção: esta importação substituirá todos os dados do histórico no aplicativo da Dúzia Diária. Deseja prosseguir com a importação?	History Data: import caution text	
	history_data_import_error_text	Error: The import was not performed because of a data error. The existing data has remained unchanged.	Erro: A importação não foi realizada devido a um erro nos dados. Os dados existentes não foram alterados.	History Data: import data error text	
	history_data_import_notfound_text	Did not find a valid import file in the Daily Dozen Documents folder.	Não foi encontrado um arquivo de importação válido na pasta Documentos da Dúzia Diária.	History Data: import not found text	
	history_data_title	History	Histórico	History Data: preferences header & title	
