key_droid	key_apple	base_value	lang_value	base_note	lang_note
serving_sizes	doze_detail_section_sizes	Serving Sizes (Suggested)	Porções (sugeridas)	Doze Detail View subheading: ‘Serving Sizes’	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup hummus or bean dip	¼ xícara de homus ou patê de feijão		
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, or lentils	½ xícara de feijão, ervilha ou lentilha cozidos		
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	½ cup tofu or tempeh	½ xícara de tofu ou tempê		
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or snow peas	1 xícara de ervilha fresca		
food_info_serving_sizes_beans_imperial.4	dozeBeans.Serving.imperial.4	1 cup fresh sprouted beans (lentils, mung beans)	1 xícara de feijão fresco germinado (lentilha, feijão mungo)		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g hummus or bean dip	60 g de homus ou patê de feijão		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	90 g cooked beans, split peas, or lentils	90 g de feijão, ervilha ou lentilha cozidos		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	100 g tofu or tempeh	100 g de tofu ou tempê		
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	130 g fresh peas or snow peas	130 g de ervilha fresca		
food_info_serving_sizes_beans_metric.4	dozeBeans.Serving.metric.4	100 g fresh sprouted beans (lentils, mung beans)	100 g de feijão fresco germinado (lentilha, feijão mungo)		
faq_adapt_question	faq_adapt_question	The Daily Dozen is too much/too little food for me! Can I adapt it?	A Dúzia Diária é muita/pouca comida para mim! Posso adaptá-la?		
faq_adapt_response	faq_adapt_response	Yes, the Daily Dozen is simply meant to be a guide of the healthiest foods that we strive to include every day. It’s not a meal plan and is not meant to be prescriptive. Do your best to eat a diverse array of whole plant foods and adapt the Daily Dozen to the quantities that work for you.	Sim, a Dúzia Diária é simplesmente um guia dos alimentos mais saudáveis que nos esforçamos para incluir todos os dias. Não é um plano de refeições e não pretende ser prescritivo. Faça o possível para comer uma variedade diversificada de alimentos vegetais integrais e adapte a Dúzia Diária às quantidades que funcionam melhor para você.		
faq_age_question	faq_age_question	Is this adaptable for children, adolescents, and teens?	É adaptável para crianças e adolescentes?		
faq_age_response.0	faq_age_response.0	Children, adolescents, and teenagers have different caloric needs throughout their lifecycle. These needs change to support growth and development at each stage.	Crianças e adolescentes têm diferentes necessidades calóricas ao longo de seu ciclo de vida. Essas necessidades mudam de acordo com o crescimento e o desenvolvimento em cada estágio.		
