key_droid	key_apple	base_value	lang_value	base_note	lang_note
	CFBundleDisplayName	DailyDozen	DailyDozen	User-visible application name. Visible under icon. Used by Siri.	
	CFBundleName	DailyDozen	DailyDozen	User-visible application short name (15 Characters max)	
back_to_today	dateBackButtonTitle	Back to today	Voltar para hoje	Date Button Title: ‘Back to today’	
	dateButtonTitle.today	Today	Hoje	Date Button Title: ‘Today’	
serving_sizes	doze_detail_section_sizes	Serving Sizes (Suggested)	Porções (sugeridas)	Doze Detail View subheading: ‘Serving Sizes’	
types	doze_detail_section_types	Types	Tipos	Doze Detail View subheading: ‘Types’	
servings	doze_entry_header	Servings	Porções	Doze Entry View heading: ‘Servings’	
beans	dozeBeans.heading	Beans	Leguminosas	heading for daily data entry item	
food_info_serving_sizes_beans_imperial.0	dozeBeans.Serving.imperial.0	¼ cup hummus or bean dip	¼ xícara de homus ou patê de feijão		
food_info_serving_sizes_beans_imperial.1	dozeBeans.Serving.imperial.1	½ cup cooked beans, split peas, or lentils	½ xícara de feijão, ervilha ou lentilha cozidos		
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	½ cup tofu or tempeh	½ xícara de tofu ou tempê		
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or snow peas	1 xícara de ervilha fresca		
food_info_serving_sizes_beans_imperial.4	dozeBeans.Serving.imperial.4	1 cup fresh sprouted beans (lentils, mung beans)	1 xícara de feijão fresco germinado (lentilha, feijão mungo)		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	60 g hummus or bean dip	60 g de homus ou patê de feijão		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	90 g cooked beans, split peas, or lentils	90 g de feijão, ervilha ou lentilha cozidos		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	100 g tofu or tempeh	100 g de tofu ou tempê		
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	130 g fresh peas or snow peas	130 g de ervilha fresca		
food_info_serving_sizes_beans_metric.4	dozeBeans.Serving.metric.4	100 g fresh sprouted beans (lentils, mung beans)	100 g de feijão fresco germinado (lentilha, feijão mungo)		
food_info_types_beans.0	dozeBeans.Variety.Text.0	Black beans	Feijão preto		
food_info_types_beans.1	dozeBeans.Variety.Text.1	Black-eyed peas	Feijão fradinho		
food_info_types_beans.2	dozeBeans.Variety.Text.2	Butter beans	Feijão branco (lima)		
food_info_types_beans.3	dozeBeans.Variety.Text.3	Cannellini beans	Feijão branco (cannellini)		
food_info_types_beans.4	dozeBeans.Variety.Text.4	Chickpeas/Garbanzo Beans	Grão-de-bico		
food_info_types_beans.5	dozeBeans.Variety.Text.5	Edamame	Edamame		
food_info_types_beans.6	dozeBeans.Variety.Text.6	English peas	Ervilha inglesa		
food_info_types_beans.7	dozeBeans.Variety.Text.7	Great northern beans	Feijão branco (great northern)		
food_info_types_beans.8	dozeBeans.Variety.Text.8	Kidney beans	Feijão vermelho grande		
food_info_types_beans.9	dozeBeans.Variety.Text.9	Lentils (beluga, french, and red varieties)	Lentilha (variedades beluga, francesa e vermelha)		
food_info_types_beans.10	dozeBeans.Variety.Text.10	Miso	Missô		
food_info_types_beans.11	dozeBeans.Variety.Text.11	Navy beans	Feijão branco (navy)		
food_info_types_beans.12	dozeBeans.Variety.Text.12	Pinto beans	Feijão carioquinha		
food_info_types_beans.13	dozeBeans.Variety.Text.13	Small red beans	Feijão vermelho pequeno		
food_info_types_beans.14	dozeBeans.Variety.Text.14	Split peas (yellow or green)	Ervilha seca partida (amarela ou verde)		
food_info_types_beans.15	dozeBeans.Variety.Text.15	Tempeh	Tempê		
berries	dozeBerries.heading	Berries	Frutas Silvestres	heading for daily data entry item	
food_info_serving_sizes_berries_imperial.0	dozeBerries.Serving.imperial.0	½ cup fresh or frozen	½ xícara de frutas silvestres frescas ou congeladas		
food_info_serving_sizes_berries_imperial.1	dozeBerries.Serving.imperial.1	¼ cup dried	¼ xícara de frutas silvestres secas		
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	60 g fresh or frozen	60 g de frutas silvestres frescas ou congeladas		
food_info_serving_sizes_berries_metric.1	dozeBerries.Serving.metric.1	40 g dried	40 g de frutas silvestres secas		
food_info_types_berries.0	dozeBerries.Variety.Text.0	Acai berries	Açaí		
food_info_types_berries.1	dozeBerries.Variety.Text.1	Barberries	Bérberis		
food_info_types_berries.2	dozeBerries.Variety.Text.2	Blackberries	Amora		
food_info_types_berries.3	dozeBerries.Variety.Text.3	Blueberries	Mirtilo		
food_info_types_berries.4	dozeBerries.Variety.Text.4	Cherries (sweet or tart)	Cereja (doces ou azedas)		
food_info_types_berries.5	dozeBerries.Variety.Text.5	Concord grapes	Uva Concord		
food_info_types_berries.6	dozeBerries.Variety.Text.6	Cranberries	Arando/oxicoco		
food_info_types_berries.7	dozeBerries.Variety.Text.7	Goji berries	Goji		
food_info_types_berries.8	dozeBerries.Variety.Text.8	Kumquats	Kumquat		
food_info_types_berries.9	dozeBerries.Variety.Text.9	Mulberries	Mulberries		
food_info_types_berries.10	dozeBerries.Variety.Text.10	Raspberries (black or red)	Framboesa (preta ou vermelha)		
food_info_types_berries.11	dozeBerries.Variety.Text.11	Strawberries	Morango		
beverages	dozeBeverages.heading	Beverages	Bebidas	heading for daily data entry item	
food_info_serving_sizes_beverages_imperial.0	dozeBeverages.Serving.imperial.0	One glass (12 ounces)	Um copo (12 onças)		
food_info_serving_sizes_beverages_metric.0	dozeBeverages.Serving.metric.0	One glass (350 ml)	Um copo (350 ml)		
food_info_types_beverages.0	dozeBeverages.Variety.Text.0	Black tea	Chá preto		
food_info_types_beverages.1	dozeBeverages.Variety.Text.1	Chai tea	Chá chai		
food_info_types_beverages.2	dozeBeverages.Variety.Text.2	Vanilla chamomile tea	Chá de camomila com baunilha		
food_info_types_beverages.3	dozeBeverages.Variety.Text.3	Coffee	Café		
food_info_types_beverages.4	dozeBeverages.Variety.Text.4	Earl grey tea	Chá Earl Grey		
food_info_types_beverages.5	dozeBeverages.Variety.Text.5	Green tea	Chá verde		
food_info_types_beverages.6	dozeBeverages.Variety.Text.6	Hibiscus tea	Chá de hibisco		
food_info_types_beverages.7	dozeBeverages.Variety.Text.7	Hot chocolate	Chocolate quente		
food_info_types_beverages.8	dozeBeverages.Variety.Text.8	Jasmine tea	Chá verde com aroma de jasmim		
food_info_types_beverages.9	dozeBeverages.Variety.Text.9	Lemon balm tea	Chá de erva-cidreira		
food_info_types_beverages.10	dozeBeverages.Variety.Text.10	Matcha tea	Chá matcha		
food_info_types_beverages.11	dozeBeverages.Variety.Text.11	Almond blossom oolong tea	Chá oolong com aroma de amêndoas		
food_info_types_beverages.12	dozeBeverages.Variety.Text.12	Peppermint tea	Chá de hortelã		
food_info_types_beverages.13	dozeBeverages.Variety.Text.13	Rooibos tea	Chá rooibos		
food_info_types_beverages.14	dozeBeverages.Variety.Text.14	Water	Água		
food_info_types_beverages.15	dozeBeverages.Variety.Text.15	White tea	Chá branco		
exercise	dozeExercise.heading	Exercise	Exercícios	heading for daily data entry item	
food_info_serving_sizes_exercise_imperial.0	dozeExercise.Serving.imperial.0	90 minutes of moderate-intensity activity	90 minutos de atividade de intensidade moderada		
food_info_serving_sizes_exercise_imperial.1	dozeExercise.Serving.imperial.1	40 minutes of vigorous-intensity activity	40 minutos de atividade de intensidade vigorosa		
food_info_serving_sizes_exercise_metric.0	dozeExercise.Serving.metric.0	90 minutes of moderate-intensity activity	90 minutos de atividade de intensidade moderada		
food_info_serving_sizes_exercise_metric.1	dozeExercise.Serving.metric.1	40 minutes of vigorous-intensity activity	40 minutos de atividade de intensidade vigorosa		
food_info_types_exercise.0	dozeExercise.Variety.Text.0	Bicycling	Ciclismo		
food_info_types_exercise.1	dozeExercise.Variety.Text.1	Canoeing	Canoagem		
food_info_types_exercise.2	dozeExercise.Variety.Text.2	Dancing	Dança		
food_info_types_exercise.3	dozeExercise.Variety.Text.3	Dodgeball	Queimada		
food_info_types_exercise.4	dozeExercise.Variety.Text.4	Downhill skiing	Esqui alpino		
food_info_types_exercise.5	dozeExercise.Variety.Text.5	Fencing	Esgrima		
food_info_types_exercise.6	dozeExercise.Variety.Text.6	Hiking	Caminhada		
food_info_types_exercise.7	dozeExercise.Variety.Text.7	Housework	Tarefas domésticas		
food_info_types_exercise.8	dozeExercise.Variety.Text.8	Ice-skating	Patinação no gelo		
